start,end,text
5.26,11.151,"Prior to this operation, we performed another parenchymal wedge resection through video-mediastinoscopy also."
33.748,42.762,"After the diagnostic non-invasive procedures which revealed unsuccessful, first a collar incision was done in order to reset hyperplastic thyroid gland."
43.012,50.401,"After the thyroidectomy, standard cervical video-mediastinoscopy was performed to assess the staging process."
50.882,52.804,All the nerve nodes were revealed no malignancy.
53.204,57.75,Here you can see the right pleuronal opening between the azygus and the brachiocephalic vein.
60.493,65.099,And the video-mediastinoscope was inserted into the thoracic cavity.
65.119,66.22,The lung was exposed.
68.163,70.926,"First, the azygus vein was dissected."
89.114,93.299,"And under the Azegos vein, here you can see the truncus pulmonaris."
98.285,116.708,"After dissecting the Azegos vein with endostepler through video mediastinoscope, now the truncus anterior was dissected."
120.164,150.103,and soon after it was stapled and then superior pulmonary vein was dissected and stapled
151.18,177.947,as usual due to the incomplete minor fissure next steps was done with the aid of other endo-equipe through the fourth intercostal space which soon become a chest tube drainage opening upper lobe bronchus was divided
185.993,210.685,here you can see and the fissure was dissected with stapler as well and the lobe was extracted from the mediastemoscopic incision in the back
