start,end,text
1.722,10.545,This video demonstrates the technique of laparoscopic nascent fundoplication in f.x speed with minimal editing.
11.045,19.429,"Our selection criteria are shown here. They are a patient with typical reflex symptoms, objective evidence of reflux and good response to PPI."
19.929,29.362,This patient is a twenty-three year old gentleman with recurrent episodes of heartburn and regurgitation and grade C esophagitis of endoscopy with a large hiatus hernia.
29.862,39.717,"On manometry, the esophageal motility was acceptable and by definition did not fall in the ineffective esophageal motility category."
40.217,89.208,The operative team setup and port positions are shown in the figure.
89.708,94.03,The video shows a wide hiatus with a visible hiatus hernia.
94.53,107.473,"The surgeon adopts the left crus approach, beginning the procedure by dividing the short gastric vessels and identifying the left crus of the diaphragm."
107.973,186.627,"The assistant lifts the greater omentum near the lower pole of the spleen, while the surgeon applies counter-traction on the stomach near the greater curvature and begins dividing the omentum close to the stomach."
187.127,196.291,Care must be taken to avoid injury to the greater curvature and the posterior fundus.
196.791,279.601,The key is to continue changing the traction and counter traction of the assistant as well as the surgeon to maintain exposure of the operative field.
280.101,333.221,"The surgeon reaches the upper pole of the spleen during dissection and grasps the posterior fundus, shifting focus from the greater curvature."
333.721,371.726,"The assistant grasps the posterior stomach and retracts it caudally and medially, aiding in the exposure of the surgical field."
372.226,466.256,"The surgeon divides the posterior gastric vessels and liberally separates all attachments of the posterior fundus from the left cross, ensuring clear separation of these structures."
466.756,480.377,"The surgeon dissects the hernia sac away from the stomach and esophagus, carefully dividing it to increase the length of the esophagus."
480.877,532.494,"The surgeon divides the phrenosophageal membrane, ensuring clear separation between the esophagus and diaphragm."
532.994,623.237,"The surgeon maintains ventral traction on the stomach, exposing the retroperitoneal attachments of the fundus for further dissection."
623.737,638.375,"The surgeon completes an extensive dissection, preparing the area for esophageal looping from the right side, with visible separation of tissues to facilitate this maneuver."
638.875,652.032,"The surgeon divides the remaining portion of the hernia sac from the esophagus, completing the separation of these structures."
652.532,670.427,"The surgeon observes a well-developed sac associated with a large hiatus hernia, visible in the surgical field."
670.927,686.903,A gauze piece is placed at the base of the left rose to aid in identifying anatomical structures from the right side during the surgical procedure.
687.403,696.075,"The assistant grasps the fundus of the stomach and retracts it ventrally, exposing the retroperitoneal attachments."
696.575,734.928,"The surgeon divides the past flaccida, a thin membrane located in the region of the hiatus hernia, using precise dissection techniques."
735.428,748.779,"The surgeon makes an incision at the base of the right crus, following the division of the sac attached to the esophagus."
749.279,765.378,"The surgeon loops the esophagus, taking advantage of the completed dissection that has exposed the surrounding anatomical structures, making the maneuver straightforward."
765.878,795.042,"The surgeon navigates close to the left crus, carefully avoiding entry into the mediastinum or the left pleura, ensuring precise dissection in the area."
795.542,809.551,"The surgeon loops a tape around the esophagus, demonstrating the technique visually."
810.051,822.292,"The surgeon continues the dissection of the hernia sac on the right side, carefully separating the sac from surrounding tissues."
822.792,861.552,"The surgeon releases the esophagus from surrounding tissue, completing the dissection around the right crus."
862.052,895.69,"The surgeon performs circumferential mediastinal mobilization of the esophagus to increase its intra-abdominal length, carefully manipulating the tissue around the esophagus."
896.19,1064.437,"The surgeon applies alternating traction on the tape positioned on the right and left sides, enhancing exposure for the mediastinal esophageal dissection."
1064.937,1122.159,"It is said that if one is able to see the left cruise from the right side and the right cruise from the left side, the mobilization is adequate."
1122.659,1156.912,The surgeon completes the mediastinal esophageal mobilization and visually estimates the intra-abdominal length of the esophagus.
1157.412,1168.004,"The surgeon performs the shoe shine maneuver to assess the adequacy and tension of the esophageal wrap, ensuring it is properly positioned without excessive tension."
1168.504,1185.937,"The surgeon observes that the fundus from the right side remains stable and does not slip to the left side, indicating that posterior immobilization is visually adequate."
1186.437,1196.506,"The surgeon performs chloroplasty using two zero ethyl bond sutures on a double-arm needle, carefully placing the sutures to repair the anatomical structure."
1197.006,1201.41,"The surgeon divides the thread on both sides, completing the suture placement with visible precision."
1201.91,1489.845,Keep about twenty centimeters length of the thread.
1490.345,1552.503,"After completing the crural repair, the surgeon passes a gastric calibration tube across the gastroesophageal junction to simulate a foot bolus, ensuring the wrap is not excessively tight to prevent postoperative dysphagia."
1553.003,1565.795,"The surgeon applies caudal traction on the tape around the gastroesophageal junction, positioning the wrap securely around the lower esophagus above the junction, ensuring it does not sit at the cardia."
1566.295,1844.897,Performing the wrap at the cardia could be a cause of dysphagia and later on funnel wrap migration also.
1845.397,1861.155,The surgeon demonstrates the correct orientation of the suture line of the wrap at the eleven o'clock position and the cooler closure at the one o'clock position.
1861.655,1865.199,Post-operative course was uneventful and the patient was discharged on post-operative day two.
1865.259,1865.62,Thank you.
