start,end,text
0.812,23.346,"Hi, my name is Abubakar Ali and I'm going to be taking you through a gest tumor that's located in the distal stomach, posterior wall of the distal stomach in the anteropyloric area very closer than sessura, closer to the greater curve. I think with this video we'll have a complete picture of how to deal with difficult gest tumors."
23.406,47.071,"We have a video recently posted by Roxanne Liu and myself, how to deal with the gest tumor close to the G-junction, and another video by Omar Ghanim, though it's a laparoscopic video of how to deal with the gest tumor in the posterior wall of the of the stomach."
47.571,94.276,"The surgeon navigates into the lesser sac, revealing the gest tumor along the lesser curve of the stomach. Adhesions from a previous cholecystectomy are visible in the surgical field."
94.776,144.308,"The surgeon uses a synchro seal instrument for fine dissection and sutures the greater curve of the stomach to the anterior wall, suspending it to expose the tumor located on the posterior wall."
144.808,184.159,"The surgeon uses the synchro seal instrument to dissect through the stomach tissue, aiming to achieve a negative margin around the tumor."
184.659,210.737,I don't know about everyone else but the SyncroSeal is a nice device it just lacks the cutting feature which is sometimes helpful and you can't use as a needle driver but works really fast and
211.237,223.662,"I seem to like it. So, uh, just, uh, uh, fast forward the pathology that come back as a four point five centimeter, I just tumor and all the margins were negative. The closest margin was a five millimeter."
224.162,243.961,The surgeon uses silk sutures for retraction to aid in the exposure of the surgical field.
244.461,276.846,"The surgeon uses silk sutures for retraction, revealing the posterior wall of the stomach. The visible area resembles an oval, with the northern edge positioned at approximately three o'clock. The suturing technique is aimed at creating a stricture at the ends of the sutured area."
277.066,337.108,"The surgeon begins suturing near the pylorus using a V-Loc suture, with visible good blood flow in the area."
337.608,402.488,"The surgeon carefully follows the loop of the suture with the tip of the needle, ensuring it falls forward as it is pulled, preventing it from falling backward during the suturing process."
402.988,425.035,"The surgeon applies a second layer of sutures to the stomach, using the same suture material as before, ensuring the stomach maintains its structure and appearance."
425.535,455.506,"The surgeon releases a suture, revealing a strictured area that appears obstructed, with no visible passage through the tissue. A brief dissection is performed to assess the situation."
456.006,510.788,"The surgeon manipulates the tissue around the duodenum, noting the orientation of the oval structure with its 'north' at three o'clock. Bleeding occurs near the previous suture site. The surgeon attempts to pass a scope through the area but is unable to do so."
511.288,619.713,The surgeon bisects an oval-shaped area and performs a closure using a single layer technique. The closure is oriented vertically in one section and horizontally in another. The stomach appears visibly distressed due to manipulation required to remove the V-lock suture.
620.213,675.023,"The surgeon evaluates the closure, noting it appears improved compared to the first. They focus on the second area near the incisura, closing it from right to left to avoid narrowing the adjacent region."
675.523,702.927,"During this entire time, I was thinking I should have just done a resection of B one. But again, to be honest with you, I thought it was a little bit aggressive for a just tumor."
703.427,739.801,"The surgeon observes the stomach with visible narrowing at the level of the pylorus. An EGD confirms the narrowing, prompting the decision to perform a Heineken Mikkels pyloroplasty to widen the area. The surgeon pulls on a suture located posterior to the pylorus."
740.301,818.992,"The surgeon holds the scope while performing a myotomy, extending approximately five centimeters into the stomach and two centimeters into the duodenum using scissors. The camera is repositioned from the third trocar to the second trocar for better visualization, utilizing the flexibility of the XI robotic system."
819.492,846.328,The surgeon flips the camera to the second trocar and closes the pyloroplasty in one layer using an observable V-lock suture.
846.828,869.297,"Patient did well postoperatively, was immediately started on diet, and was discharged home on pathology, like I said, was just tumor. And then margins were negative, and we were able to pass the scope very easily, as you can see here. Thank you."
