start,end,text
135.848,161.563,"The surgeon observes significant pelvic adhesions, which vary in consistency from flimsy and easily dissectable to hard and challenging to separate, likely due to inflammation."
207.612,230.142,"The small bowel is densely adhered to the adnexal structures, requiring careful dissection to avoid damage. Rapid movements could lead to unnoticed injury to the small bowel."
230.642,240.968,"The surgeon performs slow and steady blunt dissection, gradually revealing the adnexal structures, including the ovary and fallopian tube, located beneath the small bowel."
241.468,254.695,The surgeon carefully identifies anatomical structures before proceeding with blunt dissection to locate a plane beneath the adhesion band that offers minimal resistance.
255.195,263.057,"The surgeon continues the dissection by performing simple blunt dissection along the identified plane, carefully separating the adhered tissues."
281.642,294.309,"The surgeon uses a suction cannula to perform blunt dissection, simultaneously clearing the surgical field of fluids and debris while separating tissue layers."
294.809,301.032,"The surgeon performs gentle blunt dissection, gradually revealing underlying structures as the tissue planes are carefully separated."
301.532,323.369,"The surgeon continues blunt dissection, causing the bowel to separate along its point of least resistance. As flimsy adhesions give way, the pelvis appears to return to a more normal anatomical structure."
323.71,326.393,"The uterus is clearly visible in the surgical field, indicating successful separation of surrounding tissues."
326.893,334.098,"The surgeon has bypassed the first level of adhesions, revealing the ovary or ovarian mass clearly in the surgical field."
334.598,363.888,"The surgeon uses gentle blunt dissection to tease the ovarian mass away from its adhesions on the right adnexa. The ovarian mass is visibly adherent to the posterior surface of the uterus, and the surgeon works to free these adhesions to clarify the anatomical structures."
364.388,369.549,"The surgeon uses gentle blunt dissection to separate the posterior surface of the uterus from the adnexal mass, gradually freeing the adhesions between these structures."
370.049,381.652,"The surgeon applies gentle traction on the body of the uterus while using a suction cannula for counter traction, gradually separating the ovarian mass from the uterus."
382.053,391.175,"The surgeon continues the dissection, clearly demarcating the uterus from the ovarian mass on the left side, with visible separation of the tissues."
410.545,417.267,The surgeon has delineated the ovarian mass and is attempting to separate it from the right adnexae using gentle blunt dissection.
417.767,424.709,"The surgeon observes adhesions between the ovarian mass and the right fallopian tube, avoiding grasping the fallopian tube to prevent damage."
424.889,437.633,The surgeon uses a blunt dissector to gradually reveal the round ligament and the fimbria of the fallopian tube during dissection.
438.073,455.587,"The surgeon uses a suction cannula to dissect between the round ligament, clearing the fallopian tube and removing adhesions from the ovary."
456.087,465.761,"The surgeon returns to the posterior side, where adhesions between the ovary and the small bowel are visible."
466.261,471.249,"The surgeon uses a suction cannula and blunt dissection to clear adhesions from the ovarian mass, separating it from the surrounding structures."
471.749,486.002,"The surgeon uses a suction cannula to clear accumulated blood from the surgical field, ensuring optimal visibility during the procedure."
486.502,497.292,"The surgeon uses irrigation to clear the surgical field, enhancing visibility and allowing for better identification of anatomical structures."
497.792,504.618,"The surgeon separates the left ovary from the bowel, which is adherent to it on the right side, using surgical instruments."
525.978,538.062,"The surgeon firmly pulls the left ovary to the left side while using a suction cannula to dissect between the ovary and the posterior structures, clearing accumulated blood to maintain visibility."
538.562,564.723,"The surgeon identifies the right ovary, which is adherent to the bowel and posterior peritoneum on the right side. Both ovaries have been identified, and the surgeon clears accumulated blood from the pouch of Douglas. The bowel adhesions have been separated, leaving only the ovaries to be separated."
569.992,598.843,"The surgeon separates the right and left ovaries, which are adherent to each other in the midline. The fallopian tube, adherent to the left ovary, is identified and dissected, likely belonging to the right side. Both adnexa are now completely separated."
599.323,620.689,"The surgeon prepares to perform a left-sided ovarian cystectomy, having reached this stage without using any energy sources or cauterization."
