start,end,text
22.795,43.487,"A complete lymph node dissection is performed first beginning with the level 9 lymph node after taking down the inferior pulmonary ligament, removal of the peri-esophageal fat pad and level 8 lymph nodes and extending the dissection up past the carina to remove the level 7 lymph nodes."
85.908,91.133,Great care is taken to completely remove all of the subcarinal nodes.
92.775,100.443,This clearing is easily extended to well beneath the left main stem bronchus as well as from beneath the right main stem bronchus.
109.372,114.177,The posterior hilar dissection is continued by opening the pleura
114.73,121.419,beyond the arch of the azagus vein and over the top of the root of the lung at the hilum.
128.228,141.565,"After opening the pleura just lateral to the superior vena cava, the fatty tissue with contained lymph node packets are excised from level R4."
159.618,177.222,"Then the hilum is opened anteriorly as a continuation of this same dissection plane, and any level R10 lymph nodes are identified and removed, which helps to facilitate the subsequent vascular dissection."
189.503,206.095,The truncus of the right upper lobe pulmonary artery can be removed with a single firing of the stapler if there is adequate space and the dissection clearly identifies the apical branches.
442.24,448.571,Here the superior segmental branch to the lower lobe can be clearly seen and is preserved.
454.662,465.801,"The lower lobe and the middle lobe can clearly be seen insufflated with air, confirming appropriate location for transection of the upper lobe bronchus."
471.569,478.035,"Finally, local anesthetic is injected into the involved inner spaces under direct visualization."
