start,end,text
0.692,10.28,Laparoscopic duodenodigenostomy for superior mesenteric artery syndrome from the Division of Minimally Invasive Surgery at the Penn State College of Medicine Milton S. Hershey Medical Center.
10.78,34.672,"SMA syndrome is an atypical cause of high intestinal obstruction that is formally defined as a trapping of the third portion of the duodenum between the SMA and the aorta. Usual causes include the loss of the infravascular mesenteric fat pad with secondary arterial malpositioning. The diagnosis of SMA syndrome remains controversial in some circles, as symptoms often do not correlate with radiographic or operative findings."
35.172,54.873,"Here we present the case of a fifty-three-year-old woman with progressive symptoms of proximal obstruction. These symptoms were particularly worse when sitting or standing and improved when lying down. She had avoided weight loss by modifying her diet to include mostly liquids. As recommended for all suspected SMA syndrome cases, she had undergone an extensive preoperative evaluation."
55.373,95.826,"An upper GI series from an outside institution revealed a mildly dilated proximal duodenum, and an EGD at our facility showed a high-grade partial obstruction in the third portion of the duodenum with an extrinsic pulsatile presence, as demonstrated in these images. Her CT angiogram was also suggestive of SMA syndrome. The sagittal reconstructions showed a mild degree of duodenal compression under the SMA. Additionally, the angle of takeoff of the SMA was measured at twenty-five degrees. The normal angle ranges from thirty-eight to sixty degrees. The distance between the aorta and the SMA was six millimeters. Normal distance ranges from ten to twenty millimeters, with a high likelihood of SMA symptoms beginning at eight millimeters."
96.326,104.058,"The surgeon uses an optical access trocar to enter the abdomen infraumbilically, introducing a ten-millimeter, thirty-degree laparoscope. Three operative ports are placed under direct visualization: two five-millimeter ports in the right and left lateral abdomen, and a twelve-millimeter port in the left mid-abdomen. Graspers are used to reflect the transverse colon cephalad, exposing the ligament of Treitz."
123.427,178.374,"The surgeon observes the patient's thin mesentery and identifies the superior mesenteric artery by its prominent pulsations. The ligament of Treitz is identified, and the duodenum is traced proximally. Using a harmonic scalpel, the peritoneum overlying the duodenum is lifted and opened. Graspers are employed to bluntly dissect the duodenum from its retroperitoneal attachments. The first and second portions of the duodenum show moderate dilation and a thin duodenal wall. The duodenum is carefully mobilized to facilitate a stapled anastomosis and prevent injury to nearby structures, such as the head of the pancreas."
178.874,207.896,"The surgeon locates the ligament of Treitz and measures a forty-centimeter limb of proximal jejunum. The tension on the jejunal limb is assessed by bringing it to the mobilized duodenum. The duodenum is retracted, and a zero silk suture is used to approximate the anti-mesenteric borders of the duodenal and jejunal limbs."
208.396,227.204,"The surgeon places a suture inferiorly, using it as a handle to retract downward, allowing for the placement of a superior approximation stitch between the duodenal and jejunal limbs."
227.704,260.62,"The surgeon uses the working jaw of the harmonic scalpel to create and widen a jejunal enterotomy, followed by a duodenotomy. Bile promptly effluxes from the partially obstructed duodenum, indicating the release of obstruction."
261.12,288.997,"The surgeon inserts a 45mm linear stapling device with a 2.5mm vascular staple load to the 30mm mark, creating a side-to-side duodenal jejunostomy between the duodenum and jejunum."
289.497,312.137,"The surgeon closes the common opening of the side-to-side anastomosis with a single layer of full-thickness bites using zero silk suture, opting for a sutured closure to avoid narrowing the anastomosis."
312.637,342.741,"The surgeon places multiple interrupted figure-of-eight stitches along the suture line and inspects it for defects. A bowel clamp is positioned ten centimeters distal to the anastomosis, and a bubble leak test is conducted by submerging the anastomosis in saline. The staple line is visually checked for bleeding, and an endoscope is passed beyond the anastomosis to assess its patency."
343.241,368.948,An O silk stitch is placed between the peritoneal lining of the mesentery and the anti-mesenteric border of the proximal jejunal limb to prevent rotation and relieve tension on the anastomosis. A number ten flat JP drain is positioned adjacent to the anastomosis.
369.448,400.065,"The patient's post-operative course was uneventful. She underwent a routine upper GI series with water-soluble contrast on post-operative day number two. This study demonstrated a patent anastomosis, as seen here. Her diet was steadily advanced, and she returned home on post-operative day number three, tolerating solids while experiencing none of her pre-operative symptoms. The patient has since returned to clinic for one- and two-month follow-up appointments. She remains wholly asymptomatic and continues to tolerate her regular diet."
400.565,409.393,We hope you have enjoyed this review of a laparoscopic duodenal jejunostomy from the Division of Minimally Invasive Surgery at the Penn State College of Medicine Milton S. Hershey Medical Center.
