start,end,text
15.97,38.798,"robotic right hemicolectomy with intracorporeal anastomosis by Dr. Andrew Uraniha. This is a sixty-seven-year-old gentleman who previously underwent a robotic appendectomy. However, the pathology came back as adenocarcinoma of the appendix. Therefore, he required to have a completion right hemicolectomy for staging and removing the lymph nodes."
15.97,117.679,"The robotic right hemicolectomy begins with the isolation of the ileocolic vessels. A VVLT lateral approach is used to free the mesentery and right colon from the retroperitoneum, progressing towards the right upper quadrant. The right ureter and duodenum are identified and protected during the procedure."
39.198,117.679,"The surgeon isolates the ileocolic vessels and employs a VVLT lateral approach to free the mesentery and right colon from the retroperitoneum, progressing towards the right upper quadrant. The right ureter and duodenum are identified and protected during this dissection."
118.179,273.827,"The surgeon identifies and isolates the heliocollis vessels, clips them, and divides them. The lateral peritoneal attachments of the terminal ileum and right colon are mobilized. Scar tissue from a previous appendectomy is excised and included in the specimen."
118.179,273.827,"The surgeon identifies and isolates the heliocollis vessels, clipping and dividing them. The lateral peritoneal attachments of the terminal ileum and right colon are mobilized. Scar tissue from the previous appendectomy is excised and included in the specimen."
274.327,424.183,"The surgeon staples off the thermal field using a 3.5 mm staple, followed by stapling the white column off the transverse colon with multiple firings of the staple. The specimen is placed above the liver, then bagged and removed from the abdomen through a trocar site for pathology. The terminal ileum is positioned next to the transverse colon for a primary intracorporeal anastomosis."
274.327,424.183,"The surgeon staples off the thermal field using a 3.5 mm staple. The white column is completely stapled off the transverse colon with multiple firings of the 3.5 mm staple. The specimen is placed above the liver, bagged, and removed from the abdomen through a trocar site for pathology. The terminal ileum is positioned next to the transverse colon for a primary intracorporeal anastomosis."
424.683,738.402,"The surgeon creates an anastomosis between the transverse colon and terminal ileum using two sequential firings of a 3.5mm stapler. The opening of the anastomosis is then closed with a 2-0 absorbable V-lock suture in a running fashion, and the suture line is reinforced with simple interrupted stitches using Ethibond as a second layer."
424.683,738.402,"The surgeon creates an anastomosis between the transverse colon and terminal ileum using two sequential firings of a 3.5 mm stapler. The opening of the anastomosis is then closed with a 2-0 absorbable V-lock suture in a running fashion, and the suture line is reinforced with simple interrupted stitches using Ethibond as a second layer."
738.902,763.664,The surgeon closes the mesenteric defect using a 2-0 V-lock suture in a simple running fashion.
738.902,763.664,The surgeon closes the mesenteric defect using a 2-0 V-lock suture in a simple running fashion.
