start,end,text
92.015,110.826,"The surgeon begins a lateral to medial dissection along the white line of Toldt, medializing the left colon and progressing towards the left side of the rectal mesentery."
165.142,179.894,"The surgeon flips the sigmoid colon over, with the assistant holding it out of the pelvis, and elevates the rectal mesentery."
223.083,243.827,"The robotic setup includes one right arm and two left arms, with the camera positioned to the right and slightly above the umbilicus on the patient."
281.654,313.898,"The surgeon uses robotic arms to dissect the inferior mesenteric artery (IMA) proximal to the takeoff of the superior rectal and left colic arteries, revealing the IMA pedicle."
314.398,359.663,The vessel sealer is used to ligate the inferior mesenteric artery (IMA) pedicle effectively. The surgeon then proceeds to dissect further to isolate the inferior mesenteric vein (IMV).
385.904,495.966,"The surgeon continues the medial to lateral dissection, separating the left colic mesentery from the retroperitoneum, progressing towards the splenic flexure to gain length on the descending colon for the anastomosis."
496.466,579.078,"The surgeon encounters atypical adhesions between the colonica papilloica and omentum at the splenic flexure, carefully taking time to separate these structures to ensure adequate length for the procedure. The lateral mobilization is completed up to the splenic flexure."
579.578,608.522,"The surgeon identifies the proximal resection margin, located at least ten centimeters above the tumor. Using a vessel sealer extend, they begin dissecting through the mesentery starting just above the previously ligated IMA and IMV, ensuring the proximal resection margin is completely cleared."
609.022,635.903,"The surgeon performs specimen extraction through a Pfannenstiel incision, approximately five centimeters in length, due to the large tumor size. The per-string device is used, and the anvil is placed back in position."
656.589,690.166,"The surgeon clears the rectum at the distal resection margin, following the use of a stapler through a twelve millimeter port site."
690.666,706.942,"The surgeon uses indocyanine green (ICG) to assess perfusion at the distal resection margin, then adjusts the camera to evaluate the proximal resection margin, confirming adequate blood flow in both areas."
707.442,748.602,The surgeon uses a stapler with a blue load to transect the rectum at the distal resection margin.
749.102,782.148,"The surgeon checks the reach of the anvil, which appears satisfactory, before undocking the robotic system. A 29mm EEA stapler is used, with the assistant holding the anvil at the bed. The surgeon completes the anastomosis from below."
