start,end,text
5.633,7.095,This is a very good stapler.
8.276,8.937,"Amazing, eh?"
8.957,9.537,Two rows.
10.158,10.678,It's thinner.
10.759,12.18,"For any portal, it's easy to put."
15.404,26.115,One more.
26.916,27.116,Look.
27.557,28.237,Look at the quality.
28.277,29.279,Look at the quality of the stapler.
29.299,29.779,It's very good.
33.803,34.324,You see?
35.384,36.947,"Look, very good."
46.448,49.193,"And it's very easy to handle, you see, because it's 8mm."
50.015,53.242,"So for any portal you have less, more space."
54.124,54.625,It's very good.
79.445,101.96,"Very good quality of stapling, this stapler."
103.142,106.988,It's amazing that being two rows has this quality.
108.942,109.942,"Okay, somebody?"
