start,end,text
0.965,27.576,This is a thirty year old female who had a laparoscopic gastric bypass seven years later who presented to an outside hospital with severe abdominal pain. She was found to have a small bowel obstruction with some dilated loops in the left mid abdomen and some fecalization of the small bowel. She was transferred to our service and taken to the OR for a diagnostic laparoscopy.
28.076,45.583,"The surgeon identifies the roux limb and observes an adhesive band a few centimeters past the gastrojejunostomy (GJ), causing moderate compression on the roux limb."
46.083,66.682,"The surgeon runs the small bowel to locate the obstruction, examining the roux limb up to the jejunojejunostomy (JJ) and identifying a small defect, which is closed later in the procedure."
67.182,109.008,"The surgeon examines the common channel of the small bowel, observing fecalization and potential partially obstructed food mixed with contrast. Distally, an adhesive band is identified as the point of obstruction, wrapping around and causing compression on the common channel."
109.508,128.769,"The surgeon lyses the adhesive band causing the obstruction and continues to run the small bowel past the transition point, visibly relieving the obstruction."
129.269,137.691,"The surgeon runs the distal small bowel to the terminal ileum, observing fecalization within the bowel as they trace backwards."
138.191,198.632,"Dr. Moasis performs the 'Moasis maneuver,' gently milking the common channel of the small bowel to move fecalized contents towards the terminal ileum. He carefully opens the jaws of the instrument, applying just enough pressure to avoid serosal injuries while facilitating the distal movement of intraluminal contents."
199.132,229.113,"The surgeon uses a milking maneuver to push fecalized material into the terminal ileum, repeating the process multiple times to decompress the small bowel. This technique is visually demonstrated as an alternative to enterotomy for managing fecalized material or intussusception."
229.613,256.297,It's important to check and make sure there's no serosal tears as you try this maneuver. And the patient post-operatively had zero pain and tolerated her diet quickly and was discharged within twelve hours.
256.797,260.084,Thank you for watching the video and I appreciate any comments.
