start,end,text
181.821,186.787,We begin by inserting the camera and targeting the robot for optimal arm positioning.
187.488,190.992,The instruments are then inserted as previously described.
192.541,198.707,We commence the operation with dissection of the minor fissure in an effort to identify the central vein.
199.828,212.461,"Here, we move to the anterior hilum to dissect and expose the superior pulmonary vein and separate the vein to the middle lobe, as is demonstrated here."
213.542,221.35,"This maneuver must be done with care in order to avoid injury to the interlobar pulmonary artery, which is present underneath."
223.709,232.981,We then shifted our focus back to completion of the fissure and started by stapling the parenchyma with a 60 mm endogia stapler.
233.842,240.75,This facilitated exposure of the central vein which was then identified and circumferentially dissected.
241.611,247.759,The artery and vein to the middle lobe will also be encountered during dissection of the fissure.
247.739,262.279,It is our belief that the success of this operation is contingent upon identifying and preventing injury to these critical structures before completing the fissure and thus avoiding the need for a more extensive resection.
264.142,267.807,The fissure is then completed by using a robotic stapler.
271.82,277.667,"Next, the lymph nodes surrounding the interlobar pulmonary artery are dissected and removed."
279.689,288.62,"The anterior segmental vein branch was then circumferentially dissected and noted to be draining into the central vein, as shown here."
289.661,294.106,We also see the middle lobe artery and bronchus depicted in this frame.
295.187,300.814,The vein was then divided with a 30 mm vascular load robotic stapler.
309.4,316.509,"As the dissection continued, a second venous branch was also identified, doubly clipped and divided."
325.741,330.587,"Here, station 12 lymph nodes behind the vein are dissected and removed."
331.228,335.273,This facilitated exposure of the anterior segmental bronchus.
343.876,345.738,The bronchus is outlined here.
348.161,351.866,It is encircled and divided with the robotic stapler.
362.68,365.763,"Next, we address the artery to the anterior segment."
366.324,369.428,It is carefully skeletonized with the bipolar Maryland.
371.787,378.966,"In this frame, we can identify clearly the artery, central vein and the stump of the divided bronchus."
381.533,387.349,"Once circumferentially dissected, the artery is divided with a robotic white load stapler."
395.429,406.304,"For the final step of the operation, we divided the parenchyma with 60 millimeter endogia staplers from the bedside, thus completing the anterior segmentectomy."
414.575,420.303,Visualized here is the resected segment with the stapled bronchial and arterial stumps.
421.124,423.327,The specimen was sent for frozen section.
425.686,429.091,"Following this, we performed an intercostal nerve block."
430.152,448.498,"The frozen section was positive for non-small cell lung carcinoma, and so we proceeded with the mediastinal lymph node dissection of station 7, as well as 2R and 4R, followed by a robotic completion right upper lobectomy."
