start,end,text
71.271,72.833,"On putting the laparoscope,"
73.066,79.577,Right subcostal area showed adhesions and a bovine loop was adherent to the scar.
80.659,87.069,Dissection was first started in the epigastric area to make room for placing an epigastric pod.
88.752,94.281,The bovine loop was carefully separated from the underside of the scar.
100.893,105.064,Fibrotic adhesions need a division with a sharp scissor.
108.653,115.611,It is important not to use energy source here as it can cause injury to the bobble wall.
133.951,148.585,"After the bovine loops were separated from the anti-abdominal wall, the area of the gallbladder was exposed and omental adhesions to the inferior surface of the liver were lies using sharp dissection."
159.854,173.889,It is important to stay in the correct plane and avoid injury to the glissis capsule as continuous oozing from the liver will be difficult to control and will stain the tissues causing dissection more difficult.
183.299,186.823,Additions lateral to the gallbladder fossa were also licensed.
202.413,208.561,"After extensive adheologies, something mimicking a gallbladder was identified."
215.491,218.695,This was held at the fundus and retracted upwards.
220.097,224.303,"Lower down, the adhesions were more fibrotic and dense."
232.248,241.253,These additions were taken down carefully without the occasional use of electrocautery.
241.273,245.785,Further dissection was required to completely outline the gallbladder.
257.695,262.541,The gallbladder was identified and the CBD area was also noted.
285.05,286.892,The gallbladder was small.
287.277,291.564,"contracted, fibrotic, the cystic duct was wide."
293.067,302.222,Posterior dissection was performed around the neck of the gallbladder so as to circumferentially dissect the neck of the gallbladder.
304.085,309.775,Extreme care was taken to stay away from the area of the common body duct.
323.98,333.091,The area of the calotte's triangle was dissected and a window was made between the neck of the gallbladder and the inferior surface of the liver.
342.303,346.528,"With further dissection, CVD was clearly identified."
348.128,358.157,"Since the neck of the gallbladder was wide and thick walled, it was suspected that it may have stones in the neck and therefore the neck was divided."
360.082,362.83,Dirty material was seen coming out of the neck.
370.049,379.944,The neck of the gallbladder was milled from the CVD side towards the incision to completely empty it from all the debris and stones.
386.815,388.518,The debris and stone were removed.
392.043,395.989,The cystic duct was clipped medial to the incision.
397.049,403.906,After clipping cystic duct was divided completely and the gallbladder was separated from the liver.
405.029,414.653,This is the final results showing the common bile duct and the clips applied on the cystic duct close to the cystic duct CBD junction.
447.02,448.943,"On insertion of ports,"
449.142,454.247,there were additions in the right upper quadrant with very little space for dissection.
455.769,465.619,Additions of the omentum to the anti-abdominal wall were carefully separated to clear space for insertion of the epigastric trocar.
467.141,477.732,"Once all the trocars were in place, omental additions to the inferior surface of the liver were carefully divided to clear the area"
478.133,479.796,lateral to the gallbladder.
485.965,492.796,The stomach was found adherent to the scar and needed careful dissection to separate it.
492.816,505.997,"The liver was stuck to the anti-abdominal wall and again the additions were lised, taking care not to cause bleeding or injure the diaphragm."
511.107,520.788,"The area medial to the gallbladder comprised of dense adhesions including omentum, duodenum and the falciform ligament."
525.298,531.09,Careful dissection was done to expose the anatomy medial to the gallbladder.
542.377,552.472,"Once the medial additions were divided, duodenum was found stuck to the anterior edge of the liver, covering the gallbladder completely."
557.16,569.278,Duodenum was carefully separated from the liver with sharp dissection without use of energy to avoid any inadvertent injury to the duodenal wall.
584.345,587.91,This exposed the contracted gallbladder.
590.354,602.893,"Again, additions medial to the gallbladder were further separated to expose this area completely"
609.269,625.393,Adhesions were further lies dividing the falciform ligament for the second time to expose the area of the common bile duct and the porta hepatis.
625.413,630.781,The gallbladder was then held at the fundus and retracted towards the diaphragm.
632.664,637.251,The neck of the gallbladder was retracted laterally and dissection commenced
637.619,648.07,to expose the cystic duct.
648.091,655.939,Post-A additions were separated and the area of the Callotte's triangle defined.
659.944,663.087,There were dense additions in the area of the Callotte's triangle.
666.003,673.941,and it needed careful dissection to create a window and define the junction of the cystic duct and the common bile duct.
675.023,680.856,The common hepatic duct was traversing densely adherent to the gallbladder.
691.248,697.136,careful dissection around the neck of the gallbladder enlarge the window in the callotus triangle.
715.699,721.086,It is very important to dissect carefully maintaining hemostasis
721.336,726.047,and avoiding any bleeding so that the anatomy is not obscured.
744.893,751.682,cystic duct was dissected for an adequate length to facilitate placement of clips.
755.227,768.164,"After the anatomy was defined unequivocally and the structures clearly identified, the cystic duct was clipped."
769.626,772.69,Two clips were applied on the CBD side.
772.872,775.096,and one clip on the gallbladder side.
787.319,789.784,The cystic duct stump can be seen clearly.
798.809,803.714,The gallbladder was then separated from its bed using monopolar hook.
820.41,827.517,And that is the final result with securely clipped cystic duct close to the common bile duct.
827.935,830.655,and good hemostasis in the gallbladder fossa.
