start,end,text
0.031,6.679,"Ja, sehr gut, danke."
7.841,8.602,Was stehe ich?
10.765,16.892,"Ich stehe so wie bei der Watz auf der Bauchseite, on the front side."
17.133,20.537,"And you see, this is the sternum, this vertebrae."
21.58,30.032,This is the left arm and this is the triangle of the scapula.
30.052,49.12,Here is the end of the sternum.
49.2,50.142,Okay?
50.162,50.963,Jesus.
61.253,64.017,Wir haben Kotorin.
64.037,65.76,Ist da eine Kotorin?
65.78,67.703,Kotorin?
67.723,68.625,Monopolaris.
68.705,76.517,Ich brauche die Monopolaris.
76.537,82.286,"Okay, ich schau mal."
82.306,83.548,In der Lippenbocken.
100.218,128.993,Sehr starkes Verhältnis.
129.783,144.842,"Das ist das gleiche, was wir machen."
144.862,156.297,Wir haben eine normale Inzision und dann auf dem Boden der Diaphragme versuchen wir die zweite Inzision zu machen.
165.389,166.09,Okay.
167.893,190.789,Okay.
192.355,208.403,"Der dritte Schritt ist, die Kamera nach unten zu wechseln."
208.424,208.604,Start-up.
208.624,209.385,Start-up.
209.405,213.773,You're running.
238.154,258.002,Das war die erste Frage.
260.159,266.195,I would like to have a system.
266.215,271.468,"I told you, this is a huge grasp."
272.14,277.887,Sie sehen jetzt nicht draußen.
277.907,280.81,Sie müssen die Bilder draußen schicken.
280.83,282.512,"Ah, okay."
282.532,282.873,"Nein, nein, nein."
282.893,298.992,"Das ist die Grasp, die ich haben möchte, weil es die Möglichkeit gibt, die Lungen-Tissue am einfachsten zu behandeln, weil sie stark genug sind."
339.286,347.299,Hier seht ihr das arktische Kunstwerk.
347.319,349.803,Das sind zwei von unseren arktischen Wesseln.
349.823,360.94,"Ihr könnt euch vorstellen, dass das hier die Klebeart ist."
361.274,364.899,Und das ist eine Lunge von der anderen Seite.
364.979,370.928,"Wenn er sie ventiliert, kann man sehen, dass er den Dolomiten drückt."
370.948,376.055,"Und wenn er sie ventiliert, ist es eine rechte Lunge."
376.075,381.663,Das ist wieder einmal eine Autokarte.
381.683,388.653,Hier seht ihr den recurrenten Nerv.
388.673,389.494,Und hier seht ihr den phrenischen Nerv.
389.514,389.754,Diesen hier.
389.774,390.876,Und... Also...
392.037,394.342,Das ist die Hämide.
394.783,399.432,"Wie Sie sehen, ist die richtige Position hier."
399.452,401.897,Das wäre der tiefste Punkt dafür.
402.017,405.945,Und da werden wir den Trocker reinlegen.
427.846,443.492,"Und jetzt, wenn man am tiefsten Punkt der Chlorabdeckung ist, kann man wirklich alles sehen, was man wissen möchte."
