start,end,text
10.989,18.358,"Yes, you are. Yes, yes, yes, yes. Can you see me? You can. Yes. Okay, great. If you can."
18.858,28.28,"So, Vito, we are just getting started."
28.78,57.577,And I just first want to say thank you to you and to Thierry Pichot and Richard Gaston for the very kind invitation to participate in what arguably is the premier European meeting on robotics and laparoscopy. And it's been such a pleasure to be your friend and colleague over the past fifteen years as you have led this entire thing.
58.077,72.923,"So with that, I want to, we are still putting in the ports, et cetera, et cetera, but let me just, have you been shown the CAT scan of this patient? No, not yet. Okay."
73.423,80.565,"So we should show you the CAT scan and can we, can you see this? Nope."
81.065,84.126,How are we going to do it? Partially.
84.626,91.768,What is this? So this is a nice case.
92.268,104.533,The patient is seventy-three years old and his serum creatinine is normal. And serum creatinine is normal.
104.873,111.478,Prior history of hypertension and coronary artery disease. He's had coronary stenting.
111.978,119.824,"He's otherwise nice and thin. And he has a, how big is this tumor, guys?"
120.324,146.102,"The video displays a scan showing the liver, spleen, and right kidney, with a focus on a four-centimeter completely intrarenal mid-pole central hilar tumor within the kidney."
146.602,159.225,The right adrenal gland appears thin and feathery in texture. The right kidney is becoming visible in the surgical field.
159.725,165.067,The right kidney is being exposed and elevated into view during the nephrectomy procedure.
165.567,173.732,"The surgeon identifies the superior mesenteric artery, aorta, and vena cava, visible in the surgical field."
174.232,191.657,"The surgeon identifies the vena cava and aorta, then points out the left renal vein and right renal artery. The focus shifts to the right kidney, which appears visually intact."
192.157,199.139,"The surgeon points out the tumor located in the mid-pole of the right kidney, visually identifiable in the surgical field."
199.639,210.11,"The surgeon points out the tumor located centrally within the kidney, highlighting its distinct appearance amidst the surrounding renal tissue."
210.61,224.617,"The tumor is visible in the central sinus of the kidney, occupying a significant portion of the area."
225.117,236.125,"The surgeon points out the irregular contour of the tumor, which is completely intrarenal, highlighting the tumor mass within the kidney."
236.625,253.299,"The surgeon examines the contour of the tumor located centrally within the kidney, highlighting its irregular shape and intrarenal position."
253.799,265.509,"The tumor is visually observed extending almost to the posterior surface of the kidney, with its contour reaching near the surface."
266.009,284.531,"The video shows the tumor located centrally within the kidney, with its irregular contour visible."
285.031,295.947,"The surgeon examines the vascularity of the tumor, highlighting an artery that branches posteriorly and enters the tumor."
296.447,307.47,"The surgeon identifies a posterior arterial branch that extends directly into the tumor, indicating that this vessel will need to be ligated or removed."
307.97,322.733,"The surgeon identifies the anterior branch of the artery, noting its division from the posterior branch, and highlights the anterior artery itself in the surgical field."
323.133,347.153,"The surgeon examines the right renal artery, noting its bifurcation into the posterior and anterior branches. The anterior branch is followed visually as it extends from the bifurcation point."
347.653,362.869,"The surgeon identifies the bifurcation of the renal artery into the posterior and anterior branches. A branch is seen going directly into the tumor, with the main renal artery located at the interface between the tumor and the kidney."
363.369,379.19,"The video shows the tumor interface and contour adjacent to the kidney, with the main renal artery visible at the interface between the kidney and the tumor."
379.69,390.036,"The surgeon examines a small arterial branch near the tumor interface, emphasizing the need to preserve this artery to maintain kidney viability."
390.536,403.364,"The surgeon identifies the posterior branch of the renal artery and points out a small circumflex branch that appears to be located at the edge of the tumor, potentially extending into the tumor tissue."
403.864,424.886,"The surgeon identifies a smaller branch and a larger branch of the renal artery. The larger branch is observed supplying the kidney, while another branch is seen extending directly into the tumor, indicating a need for careful dissection."
425.386,440.052,"The surgeon identifies a branch of the renal artery that is directly entering the tumor, which measures approximately four and a half centimeters and occupies the central part of the kidney."
440.552,453.4,"And this kind of a tumor, we would typically tell the patient there's a fifty, sixty percent chance that this will be a radical nephrectomy."
453.9,466.262,"His opposite kidney is fine, opposite adrenal is fine. Obviously it's a challenging case, but I was just wondering what are your comments?"
466.762,481.26,"I would like to know, it's very challenging, I would like to know which is your plane of attack. Are you going to the ilum or are you going to the point where the kidney is near the surface? So our plan is going to be... Which is your plan?"
481.54,510.887,"The surgical team proceeds with a transperitoneal approach using the SI robot, with two assistant ports. The colon and small bowel are reflected medially, while the ureter and gonadal vein are retracted laterally. The surgeon follows the psoas muscle to reach the main renal hilum, where vessel loops are placed around the main renal artery and vein, and the kidney is circumferentially mobilized."
511.387,533.851,"The surgeon frees the ureter from the kidney and circumferentially mobilizes it. The kidney is rotated 180 degrees, bringing the posterior surface anterior and the upper pole to the lower pole. An intraoperative ultrasound is performed to score the tumor before proceeding with further surgical steps."
534.351,548.965,"The surgeon clamps the main renal artery and vein, proceeding with dissection to locate the posterior branch of the renal artery that is supplying the tumor."
549.025,559.937,"The surgeon proceeds through the scored area of resection on the kidney, carefully navigating the tissue to assess the extent of the tumor involvement."
