start,end,text
228.083,237.869,"During laparotomy, free fluid is observed in the abdominal cavity, particularly around the liver, extending into the small pelvis and the left flank."
237.889,250.956,"The surgeon identifies a tumor in the small pelvis with a volume of approximately six hundred milliliters, alongside a total of one thousand one hundred milliliters of fluid present in the abdominal cavity."
251.256,260.897,"A perforative hole in the tumor cavity is visible, measuring approximately one centimeter in diameter."
286.877,316.507,"The surgeon visualizes the right flank of the large salivary gland alongside the gallbladder flow. The border between the hepatoduodenal ligament and the tumor is clearly visible, and preparations are made for hematopoietic surgery on the right side."
317.007,321.829,The surgeon crosses the thick gut while continuing to immobilize the tumor within the abdominal cavity.
321.849,354.34,"The surgeon crosses the thin gut approximately twenty to twenty-five centimeters from the iliopsoas angle, using precise surgical technique to separate the intestinal segment."
354.84,364.508,"Assistants retract the anabretically expanded aorta, while the surgeon continues mobilization. The horizontal portion of the duodenum is visualized."
364.548,393.032,The surgeon observes that the transition area between the descending and horizontal sections of the duodenum is tightly adhered to the surrounding opulent tissue.
393.532,410.927,"The surgeon continues mobilization within the abdominal space, concealing the abdominal cavity to focus on visualizing the lower abdomen and veins. The gastrointestinal vessels are clearly identified to ensure a safe operation."
410.947,423.236,"The surgeon mobilizes the duodenum along the groin, revealing the lower half of the vein."
423.256,464.49,"The surgeon observes that the lower half of the vein is not connected to the tumor. The paranecral gland is resected, with visible separation from surrounding tissues."
464.99,519.405,"The surgeon mobilizes the tumor from the vascular vessels, revealing an aneurysm at the bottom of the wound that deforms the lower half of the vein and is located anteriorly. During mobilization, the tumor's growth into the duodenal wall becomes apparent."
519.905,560.087,"The surgeon performs a flat resection of the twelve-stranded bladder, followed by removal of the tissue. The bladder is then sutured using a two-row continuous seam technique."
560.587,610.492,"Following the removal of the tumor, the surgical field reveals the vascular vessels, the lower half of the vertebra, the aorta, the urethra, and lumbar structures. A two-row coloenteroanastomosis is formed."
717.398,743.383,"The surgeon observes a small amount of non-drained fluid between the intestines and the front abdominal wall, as well as approximately two hundred milliliters of fluid at the entrance to the small pelvis. The anastomosis zone is visualized and appears stable."
743.883,758.411,"A small amount of fluid is detected in the distal sections of the left lateral canal. The fluid is collected from the back of the pelvis, and the abdominal cavity is washed and re-drained. The surgical team replaces the drainage legs with new ones."
