start,end,text
9.295,46.206,The tension lever retractor is used to retract the left lobe of the liver during the laparoscopic fundoplication procedure.
46.706,175.88,"The surgeon begins separating the short gastric vessels approximately ten centimeters below the esophageal angle. The left hand retracts the stomach anteromedially while the assistant holds the greater omentum anterolaterally. Using a harmonic scalpel, the surgeon carefully dissects the vessels, progressing towards the fundus."
176.38,293.222,"During the fundoplication surgery, the surgeon carefully mobilizes the stomach fundus near the spleen, encountering minor adhesions between the stomach fundus and the upper pole of the spleen. Anterior traction is applied to the fundus to maintain a clear dissection plane, avoiding potential bleeding from the spleen."
293.722,383.93,"The surgeon has separated all adhesions and is now approaching the left crus, which is visible. The short gastric vessels have been dissected, revealing the pars placida and the caudate lobe of the liver below. Anterior traction is applied, and the gastrohepatic ligament is exposed. The transparent peritoneum over the pars placida is opened, revealing the lesser sac and the caudate lobe. The right crus is also visible, and the peritoneum over it is being separated."
384.43,539.122,"The surgeon completes the mobilization of the oesophagus, revealing the right crus and caudate lobe. The vena cava is visible below the caudate lobe. The anterior mobilization of the oesophagus continues, with separation from the right crus. In the splenic fossa, there is visible blood collection due to oozing from the splenic side, which is managed without hard coagulation. The peritoneum over the right crus is fully separated."
539.622,661.797,"The surgeon uses the left hand to pull the right crus while the right hand manipulates the esophagus with a harmonic device, facilitating posterior mobilization. The right crus is nearly separated from the esophagus, creating a window through which the fundus of the stomach becomes visible. Suction irrigation is used in the right hand, and a grasper in the left hand pushes the crus down, enlarging the window from right to left. The stomach is used as a retractor for further mobilization of the esophagus towards the apex of the crura."
662.297,733.331,"The surgeon completes the mobilization of the oesophagus from the right side, achieving a good plane of dissection. Approximately five centimeters of the oesophagus is positioned intra-abdominally. Adhesions are noted around the lower end of the oesophagus due to long-standing oesophagitis, causing fibrosis. The created window is visible, allowing for further enlargement to accommodate the floppy fundus and achieve the shoeshine effect."
733.831,818.791,"The surgeon creates a window and further separates the tissue, preparing to wrap the stomach fundus from left to right. An atraumatic grasper holds the wrap, which is pulled to form a symmetrical 'buttock sign.' The assistant maintains the position while the surgeon uses a curved needle with Ethibond suture to approximate the crura, with the stomach acting as a sling."
819.291,943.709,"The surgeon navigates behind the esophagus, identifying the left crus, which appears slightly bloody. A full-thickness bite is taken on the left crus, ensuring not to accidentally prick the caudate lobe to avoid damaging the vena cava. The needle is pulled through, and a surgeon's knot is tied, approximating the crura with a visible five-millimeter gap between the esophagus and the stomach, allowing for instrument passage."
944.209,1029.344,"The surgeon adds a single Ethibond suture knot to the crural approximation, then begins the placation process. The left part of the stomach is visible, and a bite is taken, followed by another bite on the right side to start suturing. The stomach is wrapped in a floppy manner, with a significant portion of the stomach visible. A full-thickness bite is taken through the stomach, forming the first Sahajan's knot."
1029.844,1226.32,"The surgeon performs a stomach-to-stomach suture, tightening a double wrap followed by two alternating wraps, and cuts the suture. A second knot is placed two centimeters below the first, using full thickness bites. Suction is applied around the surgical field, including the splenic fossa, subdiaphragmatic area, Morison's pouch, and pelvis, to check for bleeding. The Nathanson liver retractor is removed, and the abdomen is deflated."
