start,end,text
55.274,62.303,The case was presented at the tumor board and it was decided to perform a robotic left upper lobe sleeve lobectomy.
64.544,71.719,"After poor placement, we start the division of the inferior pulmonary ligament and the harvest of the lymph nodes."
90.717,99.9,"After retracting the lung anteriorly, we dissect the posterior mediastinal pleura and the pulmonary hilum and harvest station 7."
140.498,145.159,Then we dissect the anterior hilum and the left superior pulmonary vein.
178.147,184.022,We reach the artery by the fissure using a combination of monopolar and bipolar energy.
205.94,218.194,"We completed the anterior and posterior fissure using robotic staplers, and then we sectioned the arterial branches of the left upper lobe and the left upper pulmonary vein with robotic staplers too."
301.958,311.749,We harvest station 11 and retract the pulmonary artery posteriorly using a Penrose drain to improve the exposure of the bronchus.
335.067,338.639,Then the bronchus was cut using monopolar robotic scissors.
339.622,345.803,A frozen section of the bronchial margin was performed and it was negative for malignancy.
405.959,418.197,"Once the main bronchus and the lower left lobe bronchus had been sectioned and dissected, we performed a bronchial anastomosis using a running suture with V-Lock 4-0-1."
618.787,622.393,The patient was extubated in the immediate postoperative period.
