start,end,text
16.248,35.232,"The surgeon dissects fibrosed inflammatory adhesions of the omentum over the gallbladder, carefully freeing these structures to better identify the gallbladder."
68.64,103.351,"The surgeon continues to dissect the fibrosed omentum free from the gallbladder, aiming to expose the bottom of the gallbladder for further dissection."
103.851,117.945,"The surgeon attempts to open the peritoneum over the bottom of the gallbladder, preparing to expose the underlying structures for further dissection."
118.445,160.275,"The surgeon begins by moving laterally towards the right side, separating the peritoneum along the right lateral aspect of the gallbladder to facilitate retraction away from the liver bed."
160.775,174.787,"The surgeon begins dissecting around the cystic duct, revealing stones within the duct despite potential challenges in video projection."
202.183,206.325,"The surgeon exposes the cystic artery, which is visible in the surgical field."
206.825,223.272,The surgeon dissects both the medial and lateral aspects of the artery to elevate it away from the surrounding tissue within the surgical field.
223.772,248.045,"The surgeon attempts to visualize the window to the Calot's triangle, focusing on the spatial orientation necessary for further dissection."
248.545,258.532,"The surgeon performs bisection behind the gallbladder, revealing the cystic duct with a corkscrew appearance, folded back onto the bottom of the gallbladder."
259.032,280.61,"The surgeon attempts to unfold the cystic duct and dissects tissue behind the gallbladder towards the liver bed, aiming to establish a clear view of the liver bed through the triangle."
287.111,299.773,"The surgeon controls and cauterizes a bleeding vessel located near the cystic duct, temporarily stopping the bleeding."
324.455,338.116,"The surgeon continues dissection lower along the long, spiraled cystic duct, which is visibly extended from the gallbladder."
338.616,358.822,"The surgeon identifies a posterior branch of the cystic artery and opts to clip it instead of cauterizing to prevent further bleeding. The gallbladder is opened to reveal numerous stones, and the surgeon attempts to milk them out while completing the dissection window."
359.322,374.21,"The surgeon presses on the cystic duct, revealing a visible stone within the duct."
374.71,384.634,"The surgeon addresses bleeding at the junction of the cystic duct and gallbladder by applying a clip to control the bleeding, marking it as the proximal clip for removal."
385.134,398.939,The surgeon performs a ductotomy on the cystic duct and removes multiple stones from its lower portion.
399.439,415.273,"The surgeon places multiple small stones, previously removed from the cystic duct, above the kidney for later removal."
415.773,422.018,"The surgeon irrigates the surgical field, flushing out debris and stones from the cystic duct area."
433.393,454.09,"The surgeon milks stones out of the cystic duct, then clips and divides the duct. The surgical field shows the cystic duct being managed before the patient undergoes a subsequent ERCP."
454.59,470.491,The surgeon has completed the division of the cystic duct and is now proceeding to ligate and divide the cystic artery.
470.991,492.736,"The surgeon begins to detach the gallbladder from the posterior surface of the liver, carefully separating it from the liver tissue."
493.236,543.776,"The surgeon carefully manipulates the gallbladder, avoiding creating a hole in its wall, which is visibly packed with small stones."
544.276,581.41,The surgeon places the gallbladder into a retrieval bag. The previously collected small stones from the right upper quadrant are also placed into the bag. An endo-loop is applied to the cystic duct.
