start,end,text
15.194,31.203,"Hi, I am Dr. Shinjini and today we will discuss an interesting case of post-hysterectomy endometriotic adnexal mass. This surgery involved extensive adhesiolysis, ureterolysis and finally adnexectomy."
31.683,78.667,"So our patient was a forty-six year old lady who presented to us with chief complaints of severe pain abdomen. On ultrasound, she was detected with a large, ten-into-ten-into-nine-centimetres left adnexal cystic lesion with internal echoes which were suggestive of endometriosis. The right ovary was not seen separately. Her CA-one-twenty-five marker was about fifty-five units per ml and her ROMA index was normal. She was a para six living six, all normal deliveries and had undergone an abdominal hysterectomy about one year back at a small place in northern India of which no records were available. She had a vertical midline infraumblical incision for the same."
79.167,148.732,"The laparoscopic view shows the sigmoid colon adherent to the vault. The surgeon begins adhesiolysis using a laparoscopic shearer, following the white peritoneal reflection on the lateral pelvic wall to mobilize the sigmoid. Dissection progresses cranially along the virgin plane, exposing the genitofemoral nerve and the psoas muscle on the left side. The surgeon then releases the adnexal adhesions to the rectosigmoid with precise movements of the graspers along the fat line."
149.232,222.782,"The surgeon carefully performs adhesiolysis around the unruptured adnexal mass, following the white line along its margin. Blunt traction and counter traction are applied to gently release the rectosigmoid from the adherent adnexa. Small opening movements and following of fat planes are visible, with occasional releasing incisions using energy to aid mobilization. The infundibulopelvic ligament, the sole blood supply to the mass, is identified for division."
223.282,276.645,"The surgeon releases the sigmoid colon to access the left pararectal space, ensuring the ureter is safeguarded. The ovarian vessels in the infundibulopelvic ligament are ligated. The surgeon addresses bladder adhesions to the vaginal vault and opens the pelvic triangle by dividing the round ligament laterally, allowing visualization of pelvic wall structures."
276.925,320.394,"The surgeon uses a right-hand grasper to hold the infundibulopelvic vessels, which are then suture tied after skeletonizing the infundibulopelvic ligament. The pelvic triangle is further dissected, revealing the left external iliac vein and the obliterated umbilical artery below it. The ureterolysis is performed, showing the ureter closely adhered to the lateral aspect of the mass."
320.494,378.204,"The surgeon locates the uterine artery at its origin and seals and divides it, facilitating ureterolysis. The infundibulopelvic ligament is sealed above the ligated area to create a stump. The fascia below the infundibulopelvic ligament is gently opened to locate the ureter, which courses along the lateral margin of the adnexal mass."
378.625,458.077,"The surgeon traces the ureter involved with a periureteric endometriotic sheath, carefully dissecting the surrounding tissues. Attention shifts to the central part of the vault to lyse bladder adhesions, encountering fibrous adhesions. Counter traction is applied to the mass from the assisting port, focusing on the fat plane. The cleavage plane between the bladder and the adnexal mass is identified and developed. The ureter is found to be intimately involved with the adnexal mass and surrounding adhesions. The endometriotic cyst is ruptured, releasing chocolate fluid, facilitating easier handling of the mass. The peritoneum is excised, and the ovary is mobilized."
458.577,514.469,"The surgeon has successfully mobilized the mass from surrounding tissues, aided by the prior division of the uterine artery. Attention is now focused on the pararectal space, where the pararectal fat planes are mobilized and the inferior part of the mass is extracted. The right adnexa is mobilized, separating it from sigmoid adhesions by following the fat plane. The ovary is freed from adhesions, and efforts are made to release the central vault from adhesions. A rectal probe is placed in the rectum, visibly delineating the rectal axis."
514.969,591.62,"The surgeon releases adhesions from the superior aspect of the sigmoid colon, alleviating its buckling. The rectum is visibly stretched on the right side. The rectovaginal space is developed at the central vault, revealing a clear plane for mobilization. The mass is freed from the inferior and lateral aspects, with remaining connections near the bladder and ureter. Due to severe adhesions and fibrosis around the ureter, the surgeon debulks the adnexal mass while keeping some part attached to the ureter for subsequent ureterolysis."
592.12,674.864,"The surgeon follows the fat plane to safeguard the bladder while excising the main portion of the mass. The ureter is densely involved in the periureteric endometriotic sheath, showing kinking and external compression by the endometriotic tissue. Using a harmonic scalpel, the surgeon meticulously excises the fibrous tissue, keeping the ureter in view. After debulking the tissue, ureterolysis is performed using cold scissors to carefully remove the periureteric sheath, moving cranially into a virgin plane and opening the tissue around the ureter."
675.364,758.778,"The surgeon excises the remaining endometriotic tissue surrounding the ureter, which has been separated and safeguarded on the left side. The ureter appears supple with preserved vascularity. The posterior planes have been developed, and the tissue is elevated superiorly for complete release. The involved peritoneum is excised to prevent recurrence. A right adnexectomy is performed, removing the right adnexa and all indurated endometriotic tissue, leaving the retroperitoneal spaces open and tissues supple."
759.278,773.89,"The surgeon removes the right fallopian tube and ovary, followed by suture ligation of the right infundibulopelvic ligament. The final view shows the surgical field after these structures have been excised."
