start,end,text
2.068,183.21,"Welcome everyone who is participating in our webinar session. It's a digital dialogue on three D laparoscopy in gynecology with Dr. Selva. Thank you for joining us today. I'm going to run through the program with you before Dr. Selva takes over the session. Five minutes, welcome and introduction, which I'm currently doing. And I will also introduce you Dr. Selva in a few minutes time. We will have a thirty-minute session on three-D laparoscopy in gynecology by Dr. S. Selva. The difference between two-D and three-D and why a lot of gynae would prefer a three-D technology. Case presentation, so he has lined up a few case presentation as well for this afternoon and we will also then prolong this with a twenty-five minute question and answer session which you could ask while the theoretical or the case presentation is running, you can also already start putting in your questions so that Dr. Selva will be able to answer this later on. Of course, we have kept the duration of this entire program to an hour, but we will also extend this slightly later because we would like Dr. Selva to share all these cases and he needs a little bit more time because he would not want to edit too many of these videos. And we hope that you would stay until the end of this session. Let me first introduce Dr. Selva. He's a consultant obstetric and gynecologist from the Makota Medical Center, Malacca. It's a very nice historical town in Malaysia. He's one of our lead person who has bought the three-D Einstein many years ago as well. So I'd like to thank Dr. Selva for that. And since then, he has been using it very frequently. He is a consultant OBGY in this hospital. He also sub-specialized in reproductive medicine at the Makuta Medical Center and is the head of OBGY unit and CVF center. He was also the past president of the OBGY Society of Malaysia and he chairs the endoscopic subcommittee as well for Malaysia. Now, some guidelines and important messages. All your microphone will be muted because that would allow Dr. Selva to present his cases and also his presentation. You can post your questions in the question and answer section anytime throughout the session. And for your info, the sessions will be recorded. And without further ado, we would like to welcome Dr. Selva. for this eWebinar session and I'm handing over the session to Dr. Selva."
183.71,222.341,"Okay. Thank you, Raj. Firstly, let me thank B. Brown for inviting me to speak during this webinar. Is it shared? I think it is shared. Um, so, uh, my topic today is on treaty laparoscopy in gynecology. I, again, I would like to thank, uh, S club B Brown for inviting me to share my experience in using treaty laparoscopy in gynecology. I also like to thank all of you for spending your time, your afternoon with me."
222.841,264.576,"Okay, how I decided on three-D laparoscopy. In, I was invited by the late Dr. Rakesh Sinha to the first three-D laparoscopy workshop at his center in Mumbai. And he was using the version one Einstein vision, three D laparoscopy at that time. And I was very impressed with that system. In June, nearly one year later, I was able to test the camera system in Malaysia and I fell in love with it. And I got the system in December, So now I've been using it for more than six years."
265.076,320.268,"Now this is the Einstein Vision version one. As you can see, it has got a robotic arm. And this is the camera head, which is about almost two kilogram in weight. And this is Dr. Rakesh Sinha operating in his center in Mumbai. the first in the world to start a three-D laparoscopy. And I happen to be the first in Malaysia to start a three-D laparoscopy. And this is us operating in Makoto Medical Center using the old version one, which is a heavy instrument. The robotic arm is here. Sometimes we use the robotic arm. If not, I will make my assistant hold. This is a good exercise for her. Now, this is the three-D laparoscope. This is a photograph I took last Friday. It has got two lenses and it has got light source here. They can see that it has been used for almost nearly two thousand cases and it's still functioning very well."
320.768,412.348,"This is the version two. Now we already have version three. Now this is the version two. It's much smaller, lighter, and it's got this telescope. And this telescope is actually, I'm using a thirty degree lens. I like this thirty degree lens. We can discuss that later. And this is a sleeve. It comes with a sleeve. It is a little bit of a disposable, but It protects my telescope, and that's the part I like. I like sleeving. Some people don't like sleeving, but I like sleeving because you can actually preserve your laparoscope if you sleeve. So although it's a little bit expensive to have this sleeve, but it protects your camera system. There are some camera system now you can soak, but soaking actually spoils the camera. So here we are doing laparoscopic surgery in my operating theater, and I'm you know passing the laparoscopy use a ten millimeter troca and as you can see here it is blur because there are two visions and all of us are wearing spectacles when we do this surgery and I'm placing the troca and this is the system and I also have a two-d system with me as a backup and so here this surgery is performed performing the treaty laparoscopy So we are looking at a three D camera. You can actually attach another monitor, three D monitor, but we are working with just one three D monitor. So this is my, what you call as my list of cases that I've done in Makuta Medical Center. I've been working in Makuta Medical Center for twenty-five years and it's the only place that I operate except when I go out to do what we call as workshops. And of the eleven thousand five hundred and twenty-nine cases, I keep meticulous records. Every case that I operate is kept in a file with me. There are eight thousand nine hundred and sixty five days up to end of two thousand and nineteen. And out of that seven thousand two hundred and seventy six are major surgeries, of which six thousand ninety nine are laparoscopic surgeries. And these are laparotomies. Laparotomies basically are mostly ovarian cancers and very difficult cases. In my setup now, almost ninety-five percent of cases are performed laparoscopically."
451.475,558.704,"Now, there's a thousand six hundred sixty-five for laparoscopic cystectomy. In the early years, we were doing LAVH, and now we have moved on to TLH, and this is laparoscopic myomectomy. If you can see, for the last six years, I've been doing a three-D laparoscopy. I've done about thousand seven hundred eighty-seven three-D laparoscopies till December two thousand and nineteen. So I have a fair bit of experience doing a three-D laparoscopy, so much so that I've become lazy and I only do three-D laparoscopy now. Now, what are the advantages of three-D laparoscopy? Now, one thing is depth perception. Many people ask me, three-D laparoscopy or four-K? Okay, four-K can give you very detailed view, but three-D laparoscopy, you get this depth perception, which is wonderful when you're operating. Now, it is also, of course, high resolution. Of course, you can't compare this highest resolution to four K, but it's still very high resolution. and you get less tired, you don't realize it. Many people who do two-D laparoscopy tell me that I can do the surgery by two-D laparoscopy. But when you operate for a long time and your brain is actually trying to convert a three-D view into a two-D view to operate, you get tired, you don't realize it. Only when you do three-D laparoscopy you realize how less tiring it is when you're doing three-D laparoscopy. But there are some disadvantages of three-D laparoscopy. Now, the first disadvantage is the camera pod need to be at higher level in the umbilicus. As you can see here, most of the time I'm operating at a pod higher up and not in the umbilicus. The reason is because the three-D laparoscope has got a zoom view. We call it a plus one. as opposed to a zero point eight when you can do with a two D laparoscopy. So you have to be further away."
664.589,804.795,"The surgeon uses a 10mm telescope with a 30-degree lens to perform laparoscopic surgery on a 34-year-old patient with bilateral endometriomas and a small anterior fibroid. The transvaginal ultrasound shows the rectum adhered to the posterior uterine wall. The surgeon drains the cysts, separates the right fallopian tube from the ovary, and releases the ovary from pelvic adhesions. The chocolate cyst is aspirated, revealing thick, pasty contents. Tubal patency is tested, confirming both tubes are patent."
805.295,912.266,"The surgeon examines the anterior view, revealing the bladder adherent to the uterus with multiple nodules present. The technique involves hooking up the ovaries using a non-absorbable suture on a straight needle, leaving the cyst intact for later removal. The surgeon then works in the pouch of Douglas, where the rectum is stuck to the vagina. Using three-dimensional laparoscopy, the surgeon identifies the right pararectal space and aims to shave nodules from the uterus without affecting the rectum, carefully separating the rectum from the uterus."
912.766,997.806,"The surgeon successfully releases the rectum from the uterus, allowing it to descend. The next step involves locating and isolating the right ureter, which is identified amidst surrounding tissue. Using a bisect instrument, the surgeon excises nodules from the uterus and the right utero sacral ligament to reduce recurrence rates."
998.246,1133.727,"The surgeon palpates the tissue to identify endometriotic nodules, excising only the diseased areas while preserving normal tissue. Using a bisect instrument, the surgeon coagulates and cuts simultaneously, efficiently removing nodules near the ureter. The three-D laparoscopy provides enhanced depth perception, allowing precise dissection and excision of nodules on the peritoneum above the ureter."
1133.747,1322.813,"The surgeon performs a Michelin test by injecting water and air into the pelvis, revealing a serosal tear on the rectum. Using a 3-0 polyglecting suture, the surgeon repairs the tear by suturing the serosal areas together. Next, the surgeon proceeds with a cystectomy, carefully separating the cyst wall from the ovary using vasopressin for hydrodissection. The cyst wall is gently teased away using sharp and blunt dissection, preserving as much ovarian tissue as possible to maintain the patient's fertility."
1323.313,1482.041,"The surgeon completes the cystectomy and moves to the anterior wall of the uterus, identifying endometriotic nodules on the left utero-sacral ligament and bladder. Using scissors, the surgeon carefully excises the nodules to avoid burning the bladder, demonstrating precision in removing disease while preserving normal tissue. The surgeon then excises disease from the round ligament and continues to the right utero-sacral ligament, using a bisect for dissection away from the bladder and scissors for areas closer to the bladder, ensuring thorough removal of endometriotic tissue."
1482.061,1647.299,"The surgeon uses sharp dissection to excise the disease, employing a grasper to gently pull and remove the affected tissue. A small fibroid is visible and is enucleated and removed. The defect left by the fibroid removal is repaired using a polyglycine one suture, with an inverting baseball suture technique to close the defect completely. The surgeon then repairs the ovarian defect, performing an ovariopexy to secure the ovary to the peritoneum using a polyglycine two-oh suture."
1647.319,1722.853,"The surgeon identifies and excises a nodule using a bisect instrument. Another nodule located on top of the right ureter is carefully excised with sharp scissors to avoid using diathermy. The surgeon meticulously removes visible disease to improve the patient's chances of spontaneous pregnancy. Anti-adhesion barriers are placed, and the uterus is observed to be non-retroverted after removing the uterine manipulator."
1723.353,1861.872,"The surgeon uses a hook and suction instrument to open the peritoneum over the sacral promontory, exposing the posterior part of the uterus and the right utero sacral ligament. The space is opened to separate the rectum from the peritoneum, aiming to reach the levator ani for posterior mesh placement to support the uterovaginal prolapse. The surgeon clears fat tissue overlying the rectum and dissects the left lateral pararectal space down to the levator ani, utilizing three-D laparoscopy for enhanced depth perception."
1862.372,1990.987,"The surgeon performs slow dissection around the medial rectal artery, avoiding injury while accessing the levator ani muscle. The rectum is visible in the center as the surgeon opens the right medial pararectal space, aiming to reach the puborectalis muscle for mesh attachment. The subtotal hysterectomy is completed, removing the uterine body and leaving the cervix for mesh attachment. Fat tissue is excised to expose the rectum for posterior support, and a non-absorbable suture is placed into the left puborectalis muscle to attach the mesh."
1991.487,2104.385,"The surgeon ties down a non-absorbable suture, securing the mesh in place with multiple knots. The left stitch is placed, followed by the right stitch into the right puborectalis muscle, attaching the mesh for posterior support. The mesh sits well on the rectum, providing support. The surgeon then dissects the bladder anteriorly, reaching near the trigone to correct any cystocele, using a fine non-absorbable suture to attach the mesh."
2104.885,2200.358,"The surgeon places two stitches on the lateral side to attach the mesh to the vaginal wall, ensuring the mesh sits below the bladder. The mesh is then sutured down and attached to the sacral promontory using a number two stitch on the longitudinal ligament, completing the sacral colpopexy."
2200.858,2213.183,"So this is at the end of the surgery. I'm not showing the whole surgery, I'm just showing the difficult parts of the surgery where, where three D laparoscopy plays an important role. So yeah, I finished the surgery. Okay, I've completed the surgery."
2213.683,2279.514,"The surgeon performs a radical hysterectomy, focusing on de-roofing the ureteric tunnel using harmonic instruments. The left uterine artery has been cut, and the ascending branch of the uterine artery is visible. Careful manipulation is required to avoid injuring the ureter and causing fistulas."
2280.014,2345.363,"The surgeon uses the ERBI BiClan, a precise smart bipolar coagulative instrument, to release tissue from the knuckle of the ureter. The bipolar device is used to coagulate and cut the tissue, allowing for careful dissection near the ureter. The procedure is performed in the Yabuki space, medial to the ureter, with the aid of three-dimensional laparoscopy."
2345.863,2501.776,"The surgeon uses harmonics to carefully de-roof the ureteric tunnel on the right side, releasing the ureter from surrounding parametrial tissue. The ureter is isolated at the knuckle, a critical area where it shifts and turns, requiring precise dissection and coagulation. The bladder is released from the cervix, and the ureter is completely dissected, facilitated by the three-D laparoscopy."
2502.276,2583.617,"So those are my three cases, so now I'll conclude. In conclusion, I enjoy three-D laparoscopy. I'm a passionate laparoscopist, I think you all know. And because I do three-D laparoscopies, I enjoy my surgery. I enjoy it because identification and dissection of tissues is easier. It is safer for the patient. It is also suturing becomes very easy. And more importantly, I become less fatigued when I'm performing long surgery, especially endometriosis surgery. And when I want to do a good endometriosis surgery, I must do it with three D laparoscopy. It is of course more expensive than two D laparoscopy, but I think it is a worthwhile investment. And nowadays two D laparoscopy is already incorporated into a three D camera system. So you can get two in one. I hope that in future there will be some improvements in three-day laparoscopy and this will include thinner telescopes. We want eight millimeter telescopes. We want five millimeter telescopes. We want the ability to rotate the telescope so that we can see the sites. And I think this will come soon. And also the ability to zoom out. We can zoom in, but we cannot zoom out. If we can zoom out, then I can do a lot more surgery from the umbilicus. Okay, thank you very much for listening. And if there is any questions, I would be ever happy to answer this question. So back to you, Raj."
