start,end,text
45.58,69.836,"During the surgery, the surgeon observes that the afferent limb is positioned dependently, causing food to flow into it instead of the efferent limb. A partial obstruction is noted at the outflow from the duodenal ileostomy to the efferent limb."
70.336,81.625,The surgeon examines the efferent and afferent limbs and proceeds to take down the adhesions separating these two sections.
82.125,94.833,"The surgeon uses a ligature device to address the anatomical issues identified in the duodenal switch procedure, focusing on the afferent and efferent limbs."
95.333,118.32,"The surgeon places anti-obstruction stitches to reorient the duodenal ileostomy, aiming to facilitate bile flow from the afferent limb to the efferent limb and remove the obstruction."
134.39,148.698,"The surgeon replaces the anti-obstruction stitches in the duodenal ileostomy area, as the previous stitches have not held and are no longer visible."
149.198,184.622,The surgeon identifies a small piece of silk suture that has pulled out and replaces it with two simple interrupted silk sutures to adjust the orientation of the afferent limb and the anastomosis.
185.122,203.409,"The surgeon prepares to create an enteroenterostomy, positioned fifteen centimeters below the duodenal ileostomy, to ensure bile bypasses the duodenal ileostomy and prevents reflux into the stomach."
203.909,233.851,"The surgeon uses electrocautery to make an enterotomy on the afferent limb, followed by another enterostomy on the efferent limb, ensuring the incision is made on the inside to avoid the anti-mesenteric border and leave ample space."
234.351,272.541,"The surgeon uses a GIA stapling device to close the enterotomy defect after mating the two sides together, ensuring a secure closure of the anastomosis."
273.041,290.536,"The surgeon trims a section of the small bowel by gently pulling on it, aiming to preserve as much of the bowel as possible."
291.036,303.084,"The surgeon displays the wide-open configuration of the newly created enteroenterostomy, showing minimal blood loss of five cc's during the procedure, which was completed in eighteen minutes."
