start,end,text
1.623,20.491,"I would like to present a technique for laparoscopic proctocolectomy and eyelid patching anastomosis. The patient is a twenty-one-year-old female who initially presented in nineteen ninety-six with bloody diarrhea. Colonoscopy revealed ulcerative proctitis, which was controlled with maintenance, six MP, and acical."
20.991,36.924,"In October ninety-nine, however, she had a flare. Prednisone was started at forty milligrams and tapered to twenty in addition to the six MP and Asacol. She however continued with frequent bloody bowel movements and colonoscopy revealed pancolitis."
37.424,51.856,"On two twenty three she underwent laparoscopic proctocolectomy, pouch and loop ileostomy. The operative time was three hundred and twenty four minutes in the EBL two hundred cc's. She was discharged three days later."
52.356,78.083,"The surgeon begins by identifying the left ureter, visible on the left side of the surgical field. The left lateral peritoneal reflection is opened, exposing the area by retracting the left colon medially. The surgeon maintains dissection on the medial aspect of the peritoneal reflection to stay within the correct anatomical plane."
78.583,102.551,"The surgeon performs proximal dissection, enabling further traction and mobilization of the lower colon. In the region of the left pelvic brim, attachments are divided to define the proximal aspect of the presacral space."
103.051,143.743,"The surgeon moves towards the splenic flexure, dividing the lateral attachments using a combination of medial retraction and careful dissection. The spleen becomes more visible through this laparoscopic approach, allowing the splenic flexure to be mobilized off Girota's fascia and the left upper retroperitoneum."
144.243,160.583,"The surgeon achieves full mobilization of the splenic flexure by partially mobilizing the omentum, with the splenic flexure visibly separated from surrounding tissues."
161.083,195.527,"The surgeon moves to the right side, revealing the pelvis with the uterus visible deep on the left. By elevating the mesentery of the small bowel, the ureter is visible under the peritoneum. The surgeon distinguishes between the yellow fat and the white peritoneum, initiating dissection by scoring the peritoneum in the correct plane."
196.027,235.47,"The surgeon opens the lateral attachments along the peritoneal reflection, fully mobilizing the cecum and exposing the lower aspect of the right retroperitoneum. Increased tension is applied to the lateral attachments of the ascending colon, allowing further mobilization of the small bowel mesentery. The dissection reveals the right retroperitoneum, with the ureter, vena cava, and aorta clearly visible."
235.97,267.546,"The patient is positioned in reverse Trendelenburg as the surgeon reaches the hepatic flexure. The appendix is observed in an anomalous position with its tip adjacent to the liver. The surgeon divides the hepatocolic attachments using electrocautery or a harmonic scalpel, noting the absence of significant vessels in this area, which can be clipped if present."
268.046,300.591,"The surgeon identifies the duodenum and proceeds to mobilize the hepatic flexure off the retroperitoneum, ensuring the duodenum is protected. The transverse colon is mobilized sufficiently to allow for later exteriorization through a peri-umbilical incision."
301.091,332.173,"The surgeon lyses the final attachments to the retroperitoneum, revealing the full right retroperitoneum. Attention is then turned to rectal mobilization, continuing the prior left lateral peritoneal dissection down into the left pararectal peritoneum. Upon opening, the fine connective tissue of the proximal presacral plane is identified."
332.673,367.061,"Using a laparoscopic approach, the surgeon identifies nerves in the area with enhanced clarity. The dissection proceeds on the right side, connecting the presacral plane dissection with the previously performed left side dissection. The right pararectal peritoneum is scored, revealing a darker area on the peritoneum."
367.561,417.823,"The surgeon uses a combination of posterior and lateral dissection to apply tension circumferentially around the rectum. A fan retractor elevates the uterus, facilitating the initial dissection in the rectovaginal septum. The anterior attachments are lysed, increasing tension on the lateral attachments for easier dissection."
418.323,446.388,"The surgeon continues the circumferential dissection around the rectum, with smoke clearance being challenging due to the mobilized colon obstructing the pelvic inlet. The dissection progresses behind the rectum, revealing the pelvic floor."
446.888,496.104,"The surgeon mobilizes the flimsy attachments to facilitate later stapler deployment, enhancing tension on the lateral attachments for clearer visualization of the pelvic floor. The dissection proceeds anteriorly, revealing the vagina positioned anteriorly in front of the rectal dissection, as the posterior wall of the vagina is carefully dissected off the rectum."
496.604,551.265,"The muscle of the pelvic floor is visible on either side, with some posterior attachments that need to be lysed. An articulated stapler is placed across the distal rectum at the level of the pelvic floor. Tension is applied to the rectum, tenting it up, to perform the transection precisely at the level of the levators."
551.765,606.376,"The surgeon extends the supraumbilical port site incision around the umbilicus, creating a periumbilical incision approximately four to six centimeters in length. This incision allows for the exteriorization of the entire colon, from the terminal ileum to the transected rectum. The mesentery vessels of the exteriorized colon are then divided extracorporeally."
606.876,632.728,"After the colon is removed, the surgeon exteriorizes the small bowel through the peri-umbilical incision, running it to check for signs of proximal Crohn's disease. The incision provides access to the ileocolic pedicle, and the small bowel mesentery attachments are lysed up to the duodenum, which is visible through the incision."
633.228,673.454,"The surgeon creates a J-pouch using a linear stapler, with multiple firings to form the pouch. The spike of the EEA stapler is inserted through the anus adjacent to the staple line. After reestablishing pneumoperitoneum, the pouch with the anvil secured by a purse string is brought down to the stapler. The posterior wall of the vagina is elevated during the procedure, and stapling is completed."
