start,end,text
0.098,49.164,"Laparoscopic splenectomy anatomy is that laparoscopy generally the whenever you perform the massive splenectomy should be avoided and normally unless the spleen is double in the size it will be hidden into the rib cage so it has five ligament that is pancreas splenic ligament gastro splenic ligament phrenicoesplenic ligament, esplenocolic ligament, and phrenicocolic ligament. These all are the five ligaments which is important to keep in mind whenever you do laparoscopic esplenectomy."
49.664,88.309,"Case selection is important. Normal indications are idiopathic thrombocytopenic purpura, autoimmune hemolytic anemia, microspherocytosis, benign tumors of the cyst, and HIV-related thrombocytopenia. There are certain contraindications also. Relative contraindication is hematological malignancies and moderate splenomegaly. And the absolute contraindication is massive splenomegaly or if the patient has the portal hypertension, In those situations, it should be avoided."
88.809,126.108,"Patient position. Patient should be semi-lateral position. You will stand in front of the patient. One assistant will be behind the patient. Nurse should be on the right side next to the surgeon to give the instrument. And monitor, either you can one on the left side or you can take two also so that you and your assistant both can see. You have to put one cushion so that the costal margin will be little go up. And this is the usual position of the patient."
126.608,137.812,"The patient is positioned in a semi-lateral orientation with the monitor placed behind them, as part of the setup for the splenectomy procedure."
138.312,173.077,"The surgeon describes the port position for the laparoscopic splenectomy, indicating that it should be placed approximately five to ten centimeters above the umbilicus on the midclavicular line. A small incision is made, and the Veress needle is inserted perpendicularly into the abdominal wall."
173.577,217.893,"After creating pneumoperitoneum, the surgeon performs suction irrigation and the hanging drop test before inserting the trocar. The telescope is introduced, and the arc of visualization is adjusted based on the spleen size. If the spleen is massive, the procedure is contraindicated."
218.393,232.751,"The surgeon illustrates the baseball diamond concept, highlighting the target area of the splenic hilum, which visually resembles the shape of a baseball field or diamond."
233.251,249.5,"The surgeon begins the splenectomy procedure with port placements similar to those used in nephrectomy, noting that the ports are positioned slightly differently, with one port placed lower and another higher."
250,267.652,Because your toilet is shifting down. Yes. Vertically in the same line. And that also depends upon the size of kidney. Exactly same way as here it depends upon the size of the spleen.
268.152,290.172,"Now once you have entered, pneumo-peritoneum also has to be made in the same way. But it should not go vertical otherwise we can damage the bobble. So it should be perpendicular to the abdominal wall. And you will decide the position after putting the telescope. Because it may vary according to the size of the spleen."
290.672,316.773,"The surgeon positions the ports for the splenectomy procedure: the telescope is placed along the mid-capillary line, with two additional ports located at the mid-axillary and posterior axillary lines. An optional epigastric port is used for a liver retractor to elevate the liver."
317.273,337.227,"The surgeon begins the splenectomy by dissecting the inferior ligaments, specifically the splenocolic and phrenicocolic ligaments. Following this, the short gastric vessels are addressed, progressing towards the splenic hilum."
337.727,371.664,"The surgeon uses bipolar, ligature, or harmonic devices to dissect the short gastric vessels, with some opting for endo-GI linear staplers. The surgical field progresses to the hilum, where the vein is separated from the artery, prioritizing the artery first. The kidney is retracted upwards, allowing for the separation of the esplanocolic ligament."
372.164,414.438,"The surgeon uses a hook, tripolar, or harmonic device to carefully dissect near the inferior pole of the spleen, ensuring that the bowel is not injured during the procedure."
414.938,487.089,"The surgeon frees the inferior pole of the spleen, allowing the kidney and spleen to be lifted, enhancing visibility of the short gastric vessels and the hilum. Once the splenocolic and phrenicocolic ligaments are detached, the spleen's lower pole is elevated, facilitating access to the short gastric vessels."
487.589,507.329,"The surgeon applies a titanium clip to control bleeding while dissecting the short gastric vessels. For the hilum, a vascular stapler is recommended for securing the vessels, ensuring a straightforward surgical process."
507.829,611.584,"The surgeon uses a white cartridge stapler through a 12 mm port to secure vessels, applying three rows of staples on either side of the stapler line. The auto suture endo-GIA-II stapler is introduced, and the blade moves after each firing, with an indicator showing tissue thickness. Slight oozing is visible along the stapler line."
612.084,630.234,"The surgeon positions the stapler on the splenic side and vessel side, preparing to fire. Two cartridges may be required for complete vessel transection."
630.254,676.751,"The surgeon uses the auto-suture Endo-GIA-II stapler to fire and separate the remaining short gastric vessels. The frenico-splenic ligament is detached using a hook instrument, completing the separation."
677.251,697.935,"The surgeon introduces the stapler instrument near the spleen, spreading the tissue to facilitate the stapling process without requiring complete skeletonization of the vessels."
698.435,723.876,"The surgeon carefully negotiates the tissue with the stapler, avoiding capturing a complete bunch in one cartridge. The stapler is pressed to lock in place, and the indicator turns green, signaling readiness for firing."
724.376,751.865,"The surgeon uses a powered stapler to fire on the tissue, observing the blade move and cut through the tissue with each firing. The blade is then retracted, indicating the tissue thickness is appropriate for the cartridge."
752.365,780.502,"The surgeon prepares to remove the spleen by using a commercially available D size endo bag with a self-retaining metal ring, ensuring it can accommodate the spleen. The incision may be enlarged to facilitate the removal."
781.002,850.91,"The surgeon uses an auto-switcher endo bag, wrapped inside a reducer, and pushes it into the surgical field. The endo bag, with a metal ring, is deployed in a piston-like manner. The spleen is maneuvered into the endo bag, and a thread is pulled to apply a purse-string suture. An instrument assists in tightening the suture, securing the spleen inside the bag before it is removed from the surgical site."
851.41,893.94,"The surgeon extracts the mouth of the endo bag from the abdominal cavity, while the assistant holds it steady. Using ovum forceps, the surgeon mechanically morselates the spleen into small pieces, placing the tissue into a kidney tray to prevent contamination and avoid rupture of the endo bag. A nasogastric tube is inserted into the splenic fossa as a drain to manage any potential fluid collection."
894.44,910.802,The surgeon places several stitches to close the wound and applies cyanoacrylate glue for additional closure and sealing.
911.302,975.013,"Injecting little gylocaine if you want you can do. And then the plaster adhesive will be. Just stick there. Now sometime if you have to do the partial splint. In splenic abscess and all. Then you can use the stapler with the gotx tape. In older time, splenectomy was never partial. It was always complete. Total splenectomy was recommended. But now the stapler technology is so advanced that if you want you can do even the partial splenectomy. Even in cases of trauma. Even in cases of trauma it can be used. So we should try to save as much spleen as possible. In this case it was a lobulated abscess."
975.513,994.102,"The surgeon accesses the splenic pedicle and separates it. In case of oozing, a hemostatic agent, flow seal, is applied to control bleeding."
994.602,1011.626,There are many company which is making The backstab is making by the name of flow shield. That is hematinic matrix.
