start,end,text
133.512,160.246,"Αυτό που βλέπετε στον αριστερό θώρακα είναι η συλλογή με διάφορα διαφραγμάτια και επίπεδα, multiloculated συλλογή όπως συνηθίζουμε να λέμε και στη συνέχεια ο ασθενής είναι στο χειρουργικό τραπέζι με την πολύ μικρή τομή και την είσοδο ενός πολύ μικρού τροκάρ μπαίνει η κάμερα η οποία στην αρχή είναι πάντα φελωμένη."
160.266,162.068,Αυτό που βλέπετε είναι
162.588,186.418,το πίον που βρίσκεται πάνω στον νεύμονα αυτός είναι ο φυσιολογικός νεύμονας αριστερά η καρδιά και αρχίζω με μια πολύ ισχυρή αναρρόφηση να καθαρίζω τα διαφραγμάτια παρατηρείτε ότι πίσω και μέσα υπάρχει υγρό
187.107,195.276,"Αφαίρεσε συνολικά 700 εσέ υγρού και μαζί με το πίον συνολικά αφαιρέθηκαν 1,2 λίτρα βρομιάς."
196.017,198.961,"Βλέπετε, αυτό είναι το πίον, αυτό ακριβώς είναι το εμπίημα."
199.021,210.634,"Νομίζω λοιπόν καταλαβαίνουμε όλα, ακόμα και αυτού που δεν είναι γιατροί, ότι δεν μπορείς να περιμένεις πολλά πράγματα με μια απλή παρακέντρηση, με την υποθέτηση ενός σωλήνα, δεν πρόκειται αυτά τα πράγματα να φύγουν ποτέ."
213.955,240.233,με την ισχυρή αναρρόφησή μου αρχίζω σιγά σιγά και δημιουργώ χώρο αναρροφώντας όλες αυτές τις πλάκες από τοπίον δείγμα τόσο από το υγρό αυτό όσο και από το υλικό αυτό που βλέπετε θα στάει για μικροβιολογική εξέταση και ανέδειξε
240.584,251.677,δύο ισχυρότατα και ανθεκτικότατα δακτυρίδια για τα οποία ο ασθενής έπρεπε να πάρει ντεφλέβιο αντιβίωση και μόνο.
251.697,267.115,"Ένας λοιπόν ακόμα σημαντικός λόγος είναι ότι παίρνεις δείγμα από το υλικό, γνωρίζεις τον παθογόνο του οργανισμού και μετά στο αντιβιόγραμμα πας και αντιμετωπίζεις αυτό ακριβώς που πρέπει και όχι τυχαία."
275.279,280.284,Αυτά τα κομματάκια που μόλις τώρα έλαβα θα πάνε για μικροβιολογική εξέταση.
280.425,298.865,Πριν την έρθει της επέμβασης βροχοσκόπησα τον ασθενή όπως κάνω για κάθε επέμβαση και απομονώθηκαν ακόμα δύο μικρόβια που ταυτίζονταν με τα μικρόβια που βρίσκονταν μέσα στο εμπίημα.
298.885,303.97,Βλέπετε υπάρχει ένας φλοιός πάνω στον πνεύμονα από πίον
305.485,311.351,Γι' αυτό και η επέμβαση λέγεται αποφλύωση ή decortication στα αγγλικά.
311.371,320.92,Αυτό που βλέπετε πίσω είναι το θωακικό τοίχωμα το οποίο αρχίζει πλέον να καθαρίζει και να βλέπουμε σιγά σιγά τον υπεζωκότα.
320.94,327.226,Και κάτω στην κάμερα αρχίζει σιγά σιγά να φαίνεται ο πνεύμανας.
331.57,333.552,Ήταν αρκετά εκτεταμένη η βλάβη
335.017,355.156,"Νομίζω όλοι μπορούμε να φανταστούμε τι θα συνέβαινε αν περνούσαν λίγες μέρες ακόμα, ο παππούς θα πέθανε από συρψενία."
355.176,362.222,"Έχει καθαριστεία πολύ μεγάλο μέρος, έχουμε φτάσει σχεδόν μέχρι την κορυφή."
368.345,394.74,"με διάφορα αγκαλεία αναρώφηση, διάφορες λαβίδες αρχίζει γίνεται χώρος, βλέπετε εδώ είναι κολλημένος ο πνεύμονας πάνω σε διάφραγμα από παχύ στρώμα πίου και σιγά σιγά αρχίζει το ξεφλούδισμα της φλούδας, η αποφλύωση πάνω στον πνεύμονα"
402.162,409.392,Και τα κομματάκια που θα κρίνω θα σταλούν για μικροβιολογική εξέταση.
409.412,410.894,Εδώ είναι η καρδιά.
410.914,415.06,Βλέπετε πως τα μπρος φαίνεται να είναι φυσιολογικά.
415.08,420.267,"Αυτός είναι ο πνεύμονας, ο οποίος όμως είναι κολλημένος λόγω του εγκλήματος."
420.788,423.332,Και δουλειά μου είναι να τον απελευθερώσω πλήρως.
424.193,430.161,"Οπότε με ένα τολίπιο αρχίζω να απελευθερώνω τον πνεύμονα, ο οποίος είναι εντελώς φυσιολογικός."
430.867,442.042,Αφήνω λοιπόν πόσο κρίμα θα ήταν αυτός ο άνθρωπος να καταλήξει για κάτι σχετικά τόσο απλό.
442.062,459.827,"Μια πολύ μικρή περιοχή μόνο που είναι ακόμα επηρεασμένη, η οποία και αυτή θα καθαριστεί και όταν γίνει αυτό θα ρίξω μέσα ειδικό διάλειμμα βενταντίνου και με ένα τολίπιο"
461.798,485.288,"θα αρχίσω να ξύνω την επιφάνεια τόσο του πνεύμωνα όσο και του τυχώματος, ώστε αυτά τα κομμάτια να φύγουν σιγά σιγά, να πέσουν και να παροχευτευτούν με το σωλήνα που θα αφήσω μέσα."
485.308,488.312,"Το χειρουργικό αποτέλεσμα ήταν άριστο,"
