start,end,text
1145.536,1158.027,"So, knowing this surgical implication can be, instead of controlling the V6 here in the hilum, maybe controlling it just behind the bronchus."
1245.845,1255.869,"Again, this is the usual situation here and the birth of A7 here."
1745.345,1772.82,"in the usual way, whether or not you put a sloop or whether you use a different staple, doesn't make a difference now the next step is important you need to persevere with which is tackling the fissure just spend some more time to tackle the fissure, the reason for that is it will give you the artery, it will give you the bronchus so especially in this case with the sort of chronic infection that wasn't too straightforward, but it gave us the artery"
1773.577,1780.867,And the A4 and the A5s were coming from a single trunk and there was an excess of a little artery there.
1793.465,1801.677,"If they are anything less than 7 cm, our preferred method has changed into using the N-seal, the bipolar."
1895.029,1905.82,"Once we have disconnected it, then we bring the butterfly back and we put it onto the stump of the bronchus and we re-inflate it again."
1906.942,1913.909,And this maps for us this inflation deflation border between the different segments.
1914.77,1917.473,It becomes very clear here where you should put your staples.
1918.499,1946.616,"Yesterday, Diego pointed out that whatever you do, you'll have to include the stump, and this is extremely important So when you are putting your staples, make sure that it goes below your stump It has got no meaning to do it above the stump You would have left some of the load behind And then it becomes smaller and smaller as you go on, and it will be able to"
1947.035,1948.777,disconnect the lobe completely.
1955.407,1965.862,We try to dissect in the intersegmental area by either sharp dissection using a monopolar spatula or the bipolar encele.
1965.882,1969.567,And we always preserve the veins in the intersegmental space.
1970.589,1976.417,"I can't tell you much about it, I'm not the expert, but I think the Japanese contingency might be able to"
2409.443,2411.265,I'll stop the video sometimes.
2411.926,2415.31,And then we go back and step by step we do the operation.
2415.45,2417.653,So this is at the end of the resection.
2418.294,2419.736,So it's an anterior view.
2419.756,2421.878,I use the three-pore technique most often.
2422.8,2424.041,So you have an anterior view.
2424.782,2427.225,"This is the caval vein, the phrenic nerve is here."
2427.706,2429.528,And you're looking at the...
2429.508,2436.036,"upper lobe vein, and in this case the middle lobe vein was separate from the upper lobe vein."
2437.418,2443.626,"So first vein that you see here is the V3 for the anterior segment, which is spared."
2443.746,2448.051,And then this is a stump of a vein.
2448.311,2449.333,This was the V1.
2450.674,2454.179,"And then that's the central vein here, the V2."
2456.802,2459.245,Then the A3 is spared.
2459.95,2482.043,"this is the stump of the A1, this is the stump of the bronchus B1 and then the stump of B2 and if you flip over the the lobe so a nice feature between upper lobe and middle lobe in this case you see both stumps B1 and B2"
2485.837,2489.363,And then you see a vein here.
2489.823,2490.324,I'll go back.
2490.865,2497.435,"This is the V2 with V3C, the intersegmental vein from the anterior segment."
2498.157,2502.103,"And then this is the stump of A2, the posterior channels."
2505.869,2507.852,So that's the results.
2513.056,2517.965,So I changed my position to the camera posterior to have this view.
2520.69,2521.691,We then open the fissure.
2521.872,2527.882,"If the fissure is incomplete, we make a tunnel from interior to posterior and open the fissure completely to remove the nodes."
2532.412,2547.795,The view of the tunnel you have to find the A2 and the A6 and you go in between and it's highly useful to free the secondary corona first before you make this tunnel.
2547.815,2552.462,This is already the A2 that we are dividing.
2554.197,2579.007,"and then this is the anterior dissection so what you see here I'll stop it again so it's V3, you have to look for V2 which is behind this vein is coming from the back to anterior in the fissure so it lies behind the V3 and then this is V1 so we'll free it up a little bit more"
2581.079,2584.106,This is also the fancy hook I use also.
2589.898,2594.728,I just wanted to show you.
2594.769,2596.913,This is V1.
2598.857,2600.1,Let's divide now.
2601.127,2618.983,"If you do an anterior technique, the segment 1 and 2 are behind segment 3, so you have to work around segment 3 if you use this anterior view."
2619.976,2625.583,"OK, that was the A1."
