start,end,text
27.858,33.931,"After inspecting the chest, we reflect the lung medially and begin on the pleura."
37.458,39.783,We are along the posterior margin.
41.627,48.702,We like to keep the pleura intact with the esophagus and continue this all the way up to the level of the azagus.
49.306,54.994,come across underneath the azagus and then come down on the inferior pulmonary ligament.
55.014,60.522,One can see the penrose drain from the abdominal portion of the dissection and the esophagus is lifted.
63.166,66.851,Here we are continuing the dissection underneath the azagus.
76.705,78.047,The aorta can be seen
80.474,81.555,parallel to the spine.
83.577,93.886,"In dissecting circumferentially around the esophagus, we lift the Penrose drain and change the angle of the camera to work underneath the esophagus on the left side of the esophagus."
102.014,107.359,We continue to work up alongside the left atrium towards the carina
110.393,121.328,Here lymph nodes and bronchial vessels are divided and swept up with the esophagus.
138.51,139.692,The cartilaginous
141.106,144.53,Order of the bronchus intermedius can be seen to the right of the ligature.
147.434,151.659,Now we're working on the posterior aspect of the esophagus along the aorta again.
153.822,162.253,"It's important not to dig yourself in a hole and to continue to work circumferentially around the esophagus, moving the camera port as needed."
175.092,184.925,"In this view, the airway's to the right, the esophagus to the left, and you're looking underneath the esophagus at the subcranial space, dissecting out the lymph nodes in this location."
192.694,198.602,"These bronchial vessels can bleed a lot, and so in particular, one should be pretty careful here."
230.273,237.963,"Once an adequate margin has been dissected, a linear stapler is inserted and the esophagus is transected."
240.186,246.935,It's important to transect it perpendicular to the length of the esophagus in order to minimize tension.
250.019,256.568,And then the distal esophagus is elevated and our gastric conduit is delivered into the chest.
257.83,273.247,We will then transect the distal esophagus and save the margin on the cardia for the placement of the EEA stapler.
274.829,277.271,Here an additional lymph node is being harvested.
283.017,287.162,The laparoscopic scissors are used to cut the staple line
287.648,293.536,to allow passage of the NG tube portion of the oral stapler.
294.878,300.065,The stitch is cut and the NG tube component removed.
301.147,304.211,We then make a gastrotomy in our staple line.
306.815,314.145,The inferior incision is enlarged and the stapler is inserted through the gastrotomy
320.42,323.705,The anvil is brought through the gastric wall.
325.287,330.515,It's important to get the gastric wall past the arch band as seen here.
331.757,335.382,And then the stapler ends are mated.
336.804,341.751,"Here, the esophageal side must come over the arch band on the gastric side."
344.155,345.837,And then the stapler is fired.
348.905,350.867,and the gastric remnant resected.
359.015,363.939,"Next, we over-sew the anastomosis with interrupted 3-O ethabond."
370.025,376.431,It's important to sew entirely circumferentially around the anastomosis in order to prevent leaks.
378.402,382.084,as the stapler on its own is associated with a high leak rate.
433.094,438.104,Oversewing the anastomosis is technically the most challenging part of the procedure.
439.526,452.672,"Some of these needle angles are more challenging than others, and here one must be exquisitely careful as that's the membranous trachea seen underneath the anastomosis."
464.212,472.101,One must ensure that the sutures go circumferentially around the esophagus.
475.305,479.15,"From this view, we saw our sutures from the other side."
486.779,493.527,Occasionally we will pass the sutures underneath in order to help us rotate the anastomosis.
505.977,508.2,Here is the view of the entire gastric conduit.
509.001,515.249,We do not over-sew the linear gastric stapline as we have not found this to be necessary.
516.73,520.856,"Intercostal blocks are placed, a Blake drain as well as a chest tube."
