start,end,text
12.129,26.427,"The setup for this procedure sees the Maryland forceps in one with bipolar energy, the Cadea forceps in two and the thoracic grasper in three to position the lung as well as two cigars currently in the chest."
33.359,44.36,"In a right upper lobectomy, we start by going for the station 7 lymph node, carefully dissecting along the bronchus intermedius, and here just addressing a small bronchial artery."
46.023,56.143,"This allowing the opening of the subcarinal space for full dissection of the station 7 subcarinal lymph node, the most important node in thoracic surgery."
57.862,66.252,Use of the Maryland bipolar forceps allows for complete dissection without the need for swapping instruments throughout.
75.226,82.458,"Just moving ahead slightly now, you can clearly see the bronchus intermedius as we peel the station 7 lymph node off from behind it."
83.781,92.155,It is important to try and take the lymph node whole as opposed to in pieces in order to reduce any bleeding as well as making for a better lymphadenectomy.
99.391,107.869,One of the real advantages of robotics is the ability to lift with one arm whilst working with the other and having the third provide retraction.
110.394,118.311,So now we are getting the station 7 lymph node off the pericardium whilst moving towards the oesophagus which can be seen just to the left.
119.793,124.934,Here we are peeling off the final parts from the oesophagus whilst moving up towards the carina.
125.838,129.634,We may encounter some small vessels which come from both of these structures.
139.098,145.124,"As you can see here, the patient has some adhesions to the chest wall, although there was no evidence of invasion."
146.205,151.391,"We like to use the bipolar Maryland forceps, although they can charcoal a little bit."
156.956,164.544,"Now you can clearly see the bronchus intermedius, which goes to the right upper lobe bronchus, as well as the ozygous in the distance."
165.425,168.548,This is a station R10 hyaluronic lymph node.
169.895,184.64,It is always good to remove all of the nodes as not only does it help you identify your anatomy but in this case we will be passing a stapler around the back of the right upper lobe and therefore removal of this node will make that much easier.
185.702,193.776,As previously with station 7 we like to take the lymph nodes whole as this reduces bleeding as well as making for a more complete lymphadenectomy.
196.49,219.628,so to the right of the maryland bipolar forceps we have the right upper lobe and this is just above the right upper lobe bronchus below which is the bronchus intermedius above the right upper lobe bronchus is the right main bronchus which passes up under the azagus to join the left main bronchus and form the trachea
221.347,232.1,"So we spent a bit of time removing this station 10 lymph node, and that is to be sure that we've addressed all its blood supply, as well as the small lymphatic vessels in order to remove the node as a whole."
233.261,247.017,"We use the Cefolio method of port placement with a five mil port posteriorly, two eight mil ports in the eighth intercostal space with the camera in the middle and the assistant port in the ninth or 10th intercostal space anteriorly."
249.173,251.876,We now move on to the station R11 lymph node.
252.297,256.302,This is located between the right upper lobe and the bronchus intermedius.
257.263,262.57,It is important to take this out completely as it is going to show you where the pulmonary artery is.
263.871,266.474,"Because of this, we're just being slightly careful with the Maryland."
267.275,271.08,"As you can see, the pulmonary artery has just come into view to the right of the lymph node."
273.507,286.943,We always think it is vital to take this lymph node out in a right upper lobectomy as it will allow you to get around the right upper lobe bronchus and this will give you good vision for the pulmonary artery and maybe the posterior descending segmental vessel.
309.485,314.836,"Station R11 is an interlobar node between the upper, lower and middle lobes."
315.678,325.519,"More specifically, it is the R11S node, as it is the superior node, the inferior version of which sits between the middle and lower lobes."
349.597,352.789,Here we are just ensuring that we remove all of the lymph node.
367.18,370.084,Now we move to the fissure between the upper and middle lobe.
370.765,373.348,"As you can see, this patient does have some adhesions."
374.37,379.757,Taking these down would allow us to go into the fissure to visualize the pulmonary artery if needed.
380.958,386.506,"We don't always do this as if the patient does have a bad fissure, it can always be left until last."
387.787,391.973,"However, despite some of these small adhesions, this patient does have a good fissure."
400.728,410.59,"In this view, it does allow us to visualize the anatomy very well, as above you can see the upper lobe, to the right is the middle lobe, and just to the bottom left is the lower lobe."
411.472,417.285,"This also called the confluence of the fissures, where invariably you would see the pulmonary artery."
420.235,422.48,Here we have retracted the upper lobe downwards.
423.181,427.451,As you can see the ozygous just above where we are taking this station 10 lymph node.
428.673,432.642,As you can also see the right main bronchus and the SVC anteriorly.
443.236,448.715,Now we are going above the ozygous to do a lymphadenectomy of station R2 and R4.
449.758,454.073,"And as you can see, the posterior limit of the vagus nerve has just come into view."
463.013,466.677,Here you can see the removal of the station R4 lymph node.
467.538,473.484,It is important to take this completely as well as making sure it has been fully excised from under the ozygous vein.
474.965,476.767,Anterior to this lies the SVC.
478.669,484.075,"And following the lymphadenectomy, you aim to see the whole trachea and the vagus posteriorly."
484.095,491.282,"Whilst ideally, you do not want to leave any fatty tissue in this area as this makes for a more complete lymphadenectomy."
525.822,530.897,Now we are retracting the upper lobe posteriorly and identifying the upper lobe vein.
532.943,540.625,"As we try to get around this vein, it is important to be careful as to not to damage the pulmonary artery, which is just behind the cadia."
559.657,574.821,"Having got around the vane nicely, we're about to use a Tan 45 with a leader cath."
574.841,578.847,"As the leader cath is very soft, it allows for effective negotiation of the vessels."
594.352,597.097,Use of the leader cath provides guidance for the assistant.
597.638,600.122,This is particularly useful for those who are more junior.
612.725,616.191,It is important to rotate the staple around to get in line with the vein.
623.14,624.905,and now we see the stapler firing.
630.44,635.935,The stapler in use is the Signia powered stapler which gives a nice smooth firing.
645.787,647.789,Now we go back to the right upper lobe bronchus.
648.83,652.674,This can be seen very clearly by the right upper lobe and the bronchus intermedius.
653.374,659.2,"And the reason this is so clear is because we have taken the lymph nodes, station 11 and station 10."
661.963,664.505,You can also very clearly see the pulmonary artery.
667.929,674.275,"Sometimes a sling may be used, although with a leader calf, this does make negotiating the vessel much easier."
686.776,691.024,Here you can see we are using a purple 45 gold tip tri stapler.
694.371,703.148,We don't routinely do a test for inflation to test that we have not nipped the bronchus intermedius as anatomically you can see it very well from here.
704.331,707.637,Although if there are any doubts an inflation test should be carried out.
710.435,716.852,"Having divided the bronchus, we are now taking some lymph nodes from just behind it, and these will uncover the truncal branch."
717.895,720.462,"These being L10 hyalur lymph nodes,"
743.628,747.052,We've now come around to the front to identify getting around the vessels.
748.413,753.679,"Having exposed the pulmonary artery, we can see there's an anterior and apical truncal branch."
754.44,761.728,"So in this case, there are two truncal branches and it is not uncommon to see a lot of variation in right upper lobe arterial anatomy."
766.994,773.601,"Having already taken the bronchus, there is nothing behind, therefore making this a very safe method of firing the vessel."
774.88,780.01,"Again, using a leader cath to pull through the assistant, who's using a 10-45."
