start,end,text
0.749,13.83,"The surgeon begins the robotic Roux-en-Y gastric bypass by placing trocars at the angle of His, creating space for the procedure, and employing a perigastric technique approximately five centimeters below the diaphragm."
14.33,34.533,"The surgeon uses a vessel sealer to carefully dissect a space into the lesser sac, minimizing bleeding. The first transverse firing of the stapler is performed between two to three centimeters, with a bougie in place to guide the stapling process."
35.033,48.08,"The surgeon uses a vessel sealer with wrist articulation to dissect along the angle of His, creating a gastric pouch. Two stay sutures are placed to secure the pouch, aiding in surgical efficiency."
48.58,57.885,"The surgeon uses a 2-0 Stratafix suture to create the posterior row outer layer, while a Vicryl suture is used as a stay suture to secure the gastric pouch in place."
58.385,75.459,"The surgeon divides the thick omentum and reflects the colon upwards to locate the ligament of Treitz, preparing for an omegaloop anticholic-antigastric hand-sewn anastomosis."
75.899,91.624,"The surgeon creates a BP limb approximately sixty-five centimeters long, using previously placed sutures to form a running posterior row suture line along the visible staple line."
92.124,103.292,"The surgeon anchors the suture and uses scissors in the cut setting to create a gastrotomy and an enterotomy, preparing the sites for anastomosis."
103.792,122.384,"The surgeon uses a cut setting of six to make a clean entry, tying two seven-inch 2-0 Vicryl sutures together to create the inner layer of the anastomosis."
122.884,142.113,"The surgeon takes full thickness bites with the suture, starting at either corner or the center of the anastomosis site. The robotic sewing technique allows for precise suturing with either hand, although the surgeon is generally right-handed."
142.613,165.814,"The surgeon takes the suture from the opposite corner on the stomach side and creates the anterior closure, ensuring the sutures meet at the correct spot while sewing predominantly forehand."
166.314,176.796,"The surgeon snugly secures the sutures on the inner layer anastomosis, using Vicryl sutures to ensure a tight closure. Barb sutures are mentioned as an alternative option."
177.296,220.127,"The surgeon ties the sutures together upon meeting the other suture, then introduces a 2-0 Stratafix suture to close the anterior outer layer of the anastomosis."
220.627,233.093,"The surgeon checks the patency of the anastomosis by passing a bougie through it. Subsequently, the BP limb is separated from the roux limb by creating a window in the mesentery."
233.593,239.425,"The surgeon applies seam guard to the surgical site, using it as a handle to assist in manipulating the tissue during the gastric bypass procedure."
239.925,256.645,"The surgeon measures approximately 100 centimeters to create a side-to-side jejuno-jejunostomy, using the electrocautery set to a cut setting of six to make the enterotomies."
257.145,270.837,"The surgeon carefully positions the tissue to create a standard side-to-side anastomosis without using stay sutures. The defect is closed by hand sewing, although stapling is also an option."
271.017,306.509,"The surgeon begins suturing the opposite corner of the surgical site using a 2-0 Vicryl suture, ensuring a complete closure with a running one-layer technique."
307.009,322.693,"The surgeon closes the surgical site using a barb suture, tying it to the first stay suture previously placed."
323.193,356.483,"The surgeon closes the mesenteric window using a two O Ethabon suture, ensuring the mesenteric tissue is securely approximated."
356.983,371.513,"The surgeon ensures the suture cinches down effectively, pulling the tissue together to close the space. The Peterson defect can be closed if desired."
