start,end,text
7.293,54.242,"The preoperative staging of patients with peritoneal malignancy is challenging. Conventional imaging in the form of computerized tomography, MRI, and PET-CT will identify large lesions, such as those seen in the video currently running, in a patient with peritoneal malignancy of unknown etiology, where there is large volume disease in the right subdiaphragmatic space, the omentum, and the right paracolic gutter around the cecum. These imaging modalities do, however, have a poor sensitivity for small peritoneal lesions, with the result that the true extent of disease is often first encountered at the time of laparotomy performed with a view to planned cytoreductive surgery combined with intraperitoneal chemotherapy."
54.742,88.767,"Laparoscopy has been shown to be an effective means of staging the volume and distribution of peritoneal malignancy and reducing the rate of open and closed laparotomy. Having initially used a standard multi-port laparoscopy approach, we have evolved to the use of a single-port approach using a modified glove technique principally due to the risk of portside metastasis which are seen in up to one-third of patients and which can be difficult to deal with at the time of definitive surgery."
89.267,167.225,"The surgeon prepares a glove port using a sterile size seven and a half glove, cutting the digits to fit a ten millimeter trocar for the camera and two five millimeter working ports. A vertical inframullical incision is made using the open Hassan technique, extending the fascial opening to accommodate a small Alexis wound retractor. The glove is attached to the retractor, which is inverted to ensure a tight seal for access to the abdominal cavity."
167.725,224.65,"The surgeon establishes pneumoperitoneum and begins laparoscopy by inserting instruments and the camera through the facial defect. The laparoscopic view reveals significant disease in the right sub-diaphragmatic space and around the cecum, along with numerous small deposits on the small bowel and its mesentery, which were not visible on preoperative imaging."
225.15,245.216,The surgeon closes the fascial defect using standard suturing techniques and completes the skin closure with a subcuticular suture.
245.716,325.69,"During the single-port laparoscopy, the surgeon observes diffuse peritoneal abnormality in the upper abdomen, while the lower abdomen appears relatively spared. The appendix does not appear to be the source of the malignancy, and the small bowel is visually normal."
326.19,369.603,"The surgeon performs a cold biopsy on the abnormal peritoneum in the upper abdomen, extracting tissue samples for histopathological and immunohistochemical analysis."
370.103,422.745,"Preoperative laparoscopy may also be used to determine the peritoneal carcinomatosis index. This scoring system was devised by Sugarbaker and provides a reproducible means of objectively quantifying the volume and distribution of peritoneal disease throughout the abdominal cavity. The abdomen is divided into thirteen regions. and the tumor in each region given a score of naught to three, depending on its size. The preoperative PCI may facilitate selection for surgery, as multiple studies have shown a correlation between the PCI and outcome following cellular reductive surgery in HIPEC, particularly for patients with colorectal peritoneal metastasis."
423.245,453.441,"The surgeon performs a complete staging laparoscopy on a sixty-year-old female with presumed pseudomyxoma peritonei. The patient is in the supine position, and the glove port is established. An initial sweep of the abdomen is conducted to assess the extent of peritoneal disease."
453.941,562.727,"The patient is positioned in reverse Trendelenburg to visualize the peritoneum of the right hemidiaphragm, falciform ligament, and the surface of the right liver lobe. The right liver lobe is gently deflected anteriorly to view its undersurface and the gallbladder. The left liver lobe is deflected anteriorly to inspect the lesser omentum, lesser curvature of the stomach, porta hepatis, and left hemidiaphragm. With the left side of the table elevated, the spleen is visualized with gentle traction on the omentum. The greater omentum is elevated to inspect it and expose the transverse colon and mesocolon. The proximal omentum is elevated to visualize the proximal transverse colon, showing it tethered to a tumor mass in the right iliac fossa. The patient is then placed in Trendelenburg position to visualize the pelvic peritoneum and viscera, scanning the left lower parietal peritoneum, sigmoid colon, and multiple loops of small bowel. A small bowel walk is performed to examine the serosal surface and mesentery of the entire small bowel."
563.227,593.415,The surgeon visualizes findings from the ileocecal valve to the proximal jejunum. Suction is used to enhance visualization of the ovaries and uterus. A larger port may be inserted through the glove port for a ten-millimeter suction device.
593.915,623.529,"Histology in this case showed low-grade mucinous adenocarcinoma, while the tumour markers CA-I-II-V and CA-XIX-IX were marginally elevated and CEA was normal. We would be grateful if you would take two to three minutes and click on the link below to complete the online calculation of your estimation of the PCI in this case and then provide us with your opinion as to how this patient should best be treated by answering the short questions that follow. Thank you."
