start,end,text
1.742,10.975,"Hi, my name is Dr. Sunil Sharma from New Life Surgical and today I'll be showing you a robotic Roux-en-Y gastric bypass."
11.075,15.101,"The surgeon has placed the robotic ports and is now opening the pars flaccida, a thin membrane located at the lesser curvature of the stomach."
15.281,18.647,You can see the excellent view.
19.147,23.51,"The surgeon navigates towards the lesser sac, revealing the left gastric vessel in the surgical field."
23.73,27.934,"The camera provides a clear view of the underside of the stomach, revealing the anatomical structures and tissue characteristics in this area."
28.434,35.3,"The surgeon uses a vessel sealer to dissect the mesentery near the left gastric vessel, carefully separating the tissue."
35.8,51.128,"The surgeon inserts a 45mm intelligent stapler to create a gastric pouch, firing the first staple line. Subsequently, a bougie is inserted, and the surgeon begins removing fat tissue over the area."
51.628,70.238,"The surgeon fires the stapler along the greater curvature of the stomach, creating a vertical line to form a small gastric pouch. The third firing completes the formation of the gastric pouch."
70.738,80.945,"A surgical drain is placed around the small bowel at approximately 150 centimeters, followed by the splitting of the bowel."
80.985,82.506,This is creating a rollem.
83.006,92.733,"The surgeon passes a non-absorbable suture to create the first posterior layer of the gastrogynostomy, securing the gastric pouch to the small intestine."
93.233,127.302,"The surgeon uses a continuous V-lock suture to finish the posterior layer of the gastrogynostomy, ensuring there is no tension between the small bowel and the gastric pouch. An enterotomy is made on the gastric pouch and the rollem, with a stapler introduced to facilitate the procedure."
127.802,129.923,"The surgeon closes the enterotomy on the gastric pouch and the roux limb using sutures, ensuring the openings are securely sealed."
130.343,133.986,"The surgeon carefully places sutures under direct vision, ensuring precise alignment and closure of the surgical site."
134.486,138.449,"The surgeon uses an absorbable 2-0 V-lock suture to continue the suturing process, likely on the gastric pouch or the roux limb as part of the gastric bypass procedure."
138.949,143.353,"The surgeon begins suturing at two ends of the gastrogynostomy site and ties the suture at the center, ensuring secure closure of the gastric pouch and the roux limb."
143.853,151.818,"The surgeon closes the entrotomy site using a fourth layer of non-absorbable V-lock suture, ensuring secure closure of the gastric pouch and Roux limb."
152.318,157.222,"The surgeon buries the staple line to minimize the chance of leakage, ensuring the staple line is not exposed."
157.722,164.828,"The robotic system performs precise and hemostatic sewing on the gastric tissue, demonstrating straightforward suturing technique."
165.328,171.073,"The surgeon completes the fourth layer of suturing to finish the gastro-jejunostomy, using a non-absorbable V-lock suture to secure the anastomosis."
171.573,178.675,The surgeon measures the length of the Roux limb and creates an enterotomy at the 150-centimeter mark.
179.175,181.655,The surgeon visually identifies the biliary enteric limb within the surgical field.
181.995,184.736,The surgeon uses a hook to create an enterotomy in the intestinal limb.
185.236,199.202,"The surgeon uses a 45mm articulating stapler to join the two limbs, inserting them smoothly without assistance."
199.702,208.586,"The surgeon fires the stapler to establish a side-to-side connection between the gastric pouch and the jejunum, then proceeds to close the entrotomy."
208.786,212.047,The surgeon uses an absorbable 2-0 V-Loc suture to close the entrotomy.
212.547,219.09,"Make sure there is good hemostasis, there is no bleeding inside, the visualization is perfect, and"
219.59,223.357,This is essentially done even without using any assistance.
223.397,228.207,So you have the extra arm of the robot which helps you in assisting.
228.707,235.059,"The surgeon aligns the tissues, ensuring proper exposure for efficient surgical progress during the gastric bypass procedure."
235.299,244.416,"The surgeon closes the enterotomy and passes an endoscope to check the anastomosis, using air insufflation to ensure proper sealing and function."
244.516,244.837,Thank you.
