start,end,text
69.224,78.175,"The video shows the port placement for the da Vinci G robotic system, with the operator utilizing a configuration of two robotic arms on the left and one on the right."
78.675,108.111,"The surgeon initiates an incision on the right side of the upper mesorectum, revealing the dissectable loose fibrous layer beneath the tissue."
108.611,114.432,"The surgeon identifies the left hypogastric nerve, visually distinguishing it from surrounding tissues during the procedure."
114.932,126.335,"The surgeon applies ventral traction to the inferior mesenteric artery (IMA) pedicel, visibly extending the fibrous tissues located behind the pedicel."
126.835,133.828,"The surgeon continues the incision of the peritoneum up to the root of the inferior mesenteric artery (IMA), revealing the anatomical structure at its root."
134.328,153.022,"The surgeon performs dissection between the adipose tissues and neural tissues surrounding the inferior mesenteric artery (IMA). The root of the IMA is clipped and then divided, separating it from the surrounding structures."
153.522,163.829,"The surgeon applies ventral retraction to the distal edge of the inferior mesenteric artery (IMA), extending the dissection plane between the sigmoidal mesentery and the retroperitoneum."
164.329,178.177,"The surgeon continues posterior dissection of the rectum after mobilizing the left-sided colon, pushing up the posterior side to extend the loose fibrous layer visible around the rectum."
178.677,192.61,"The surgeon preserves the left hypogastric nerve during the dissection on the left side, ensuring the nerve remains intact amidst the surrounding tissues."
193.11,205.982,An intraperitoneal loose body is visible embedded in the anterior wall of the rectum.
206.482,211.827,"The surgeon carefully preserves the left hypogastric nerve during the dissection, ensuring it remains intact and undisturbed amidst surrounding tissues."
212.327,221.213,"The surgeon identifies the S-III pelvic splanchnic nerve on the left side, located on the anterior side of the rectum."
221.713,251.059,"The surgeon observes an intraperitoneal loose body firmly embedded in the anterior wall of the rectum, surrounded by dense pelvic fibrosis resulting from previous high-dose radiation therapy."
251.559,264.583,"The camera view shifts to the posterior side of the rectum, showing the anatomical structures in this area."
265.083,275.507,"The surgeon preserves the S-III and S-IV pelvic splanchnic nerves on the left side, ensuring these structures remain intact during the procedure."
276.007,303.209,"The surgeon mobilizes the rectum along the total mesorectal excision (TME) plane, carefully continuing the dissection while preserving the S-IV nerve branch and the neurovascular bundle."
303.709,317.66,"The surgeon divides the hiatal ligament on the posterior side and performs dissection between the rectum and the levator ani muscle, progressing until reaching the dissection layer established by the transanal approach."
318.16,335.856,"The surgeon extends the intersphincteric dissection bilaterally from the posterior right side to the left side, carefully navigating between the sphincter muscles."
336.356,366.717,"The surgeon examines the anterior side of the rectum, where increased fibrosis from prior radiotherapy obscures the dissection layer. Severe fibrous changes are visible in the connective tissues."
378.484,395.6,The surgical view shows the anterior left side where the inner ring of the wound retractor is visible.
396.1,417.384,"The surgeon detects a green fluorescent signal from the urethra stent using the firefly system, while attempting to identify dissection layers obscured by severe fibrosis due to prior radiotherapy."
417.884,441.007,"The surgeon continues anterior dissection using fluorescent information as a reference, with a bright signal and low background visible in the surgical field."
441.507,477.682,"The surgeon carefully dissects the tissue, using fluorescent information to guide the dissection line and avoid injury to the urethra, amidst severe fibrous changes due to prior radiotherapy."
478.182,494.258,"The surgeon divides the perineal body at the inferior border of the prostate, using precise dissection techniques."
494.758,507.73,"The final view of the anterior side is shown from the transabdominal approach, with the fluorescent signal from the lighted urethra stent aiding in determining the appropriate dissection line."
