start,end,text
0.231,9.938,"A forty-year-old woman presented to the emergency department with forty-eight hours of abdominal pain, nausea and constipation, with no signs of peritonitis."
10.398,15.322,"She referred similar symptoms one year before, spontaneously resolved after a couple of days."
15.702,24.088,"She had a CT scan done in another hospital twenty-four hours earlier, showing bowel obstruction due to ileocecal interception."
24.308,26.935,Urgent colonoscopy was performed.
27.435,41.824,"Approximately fifteen centimeters of terminal ileum is visibly invaginated through the ileocecal valve, with no signs of ischemia observed in the tissue."
42.324,61.758,"The surgical team prepares for an emergency laparoscopy, positioning trocars in standard locations for a right colectomy to address the unresolved intestinal invagination."
62.258,86.629,"The surgeon attempts laparoscopic reduction of the ileocecal interception to minimize the extent of bowel resection, using instruments to manipulate and reposition the affected bowel segments."
87.129,97.013,This procedure is considered safe for benign lesions but unfortunately it failed.
97.513,126.255,"The surgeon observes that bowel dilatation is limited to the distal ileum, while the rest of the small and large bowel appears well perfused and without tension."
126.755,130.018,"The surgeon performs a medial to lateral ileocolic resection, removing the affected segment of the bowel from the ileocecal region."
130.038,149.505,"The surgeon stretches the ileocecal junction to expose and divide the ileocolic vessels, preparing for further resection."
150.005,169.118,"The surgeon dissects in a plane anterior to the congenital layer of peritoneum, exposing the underlying retroperitoneum, duodenum, and ureter."
169.618,198.537,"The surgeon dissects the plane between the right mesocolon and retroperitoneum, moving upward along Toldt's fascia towards the hepatic flexure."
199.037,216.849,"The surgeon dissects the anterior and right aspects of the duodenum, revealing the anatomical structures and tissue planes in the surgical field."
217.349,233.475,"The surgeon seals and divides the thin right colic vessels using ultrasonic energy, completing the resection in the right colic region."
233.975,250.303,"The surgeon completes the mobilization of the hepatic flexure, joining it with the previously dissected area, revealing the anatomical continuity between these sections."
250.803,272.588,"The surgeon uses laparoscopic palpation to determine the site for column resection, visually assessing the area within the abdominal cavity."
273.088,282.897,"The surgeon uses a linear stapler to transect the transverse colon, completing the division of this section of the bowel."
283.397,297.755,"The surgeon dissects the cecum, appendix, and distal ileum from the retroperitoneal structures, carefully separating these anatomical components from the surrounding tissue."
298.255,320.688,"The surgeon seals the small bowel mesentery using ultrasonic energy and divides the thalallium, completing the separation of these structures."
321.188,386.012,"The surgeon performs a complete intracorporeal side-to-side staple anastomosis, using a double-layer technique to join the bowel segments, followed by the closure of the enterotomy."
386.512,391.795,The surgical specimen is extracted through a five-centimeter Pfannenstiel incision.
392.295,407.221,"Histology revealed benign ileocolic interception with mucosal and submucosal edema, pseudomembranous colitis involving the cecum and inflammatory debris in the terminal ileum with thirty reactive lymph nodes."
407.721,411.103,The patient recovered well and was discharged home on day six.
