start,end,text
0.824,4.57,This is a right upper lobectomy with robotic assistance.
5.211,6.753,I use my assistant port.
6.773,10.359,"I go subcostal and through the diaphragm, which you just saw the port coming through."
10.419,14.204,I usually start mobilizing the inferior pulmonary ligament.
14.224,18.19,"And in that location, I will get any station nine or eight lymph nodes."
18.21,27.104,"Once I'm up to the pulmonary vein, I then will retract the lung anteriorly and continue along the bronchus, freeing up the posterior mediastinum."
27.485,29.768,"I usually work in a clockwise fashion,"
30.17,36.239,"coming from inferior pulmonary vein, inferior pulmonary ligament to the posterior mediastinum."
37.06,44.731,"And I follow the bronchus along as visualized here, and I take out any station seven or subcoronal lymph nodes."
45.732,47.455,Usually you can take out the whole lymph nodes.
47.475,50.599,The caudate would grab the lymph node and remove the whole packet.
51.06,53.764,This is the area between the upper and lower low bronchus.
53.784,58.27,"There's usually a lymph node there, which is where the posterior ascending"
58.486,60.509,branch of the pulmonary artery is located.
61.01,65.898,"If you clean this out, it will open up the posterior ascending branch and also open up the fissure."
66.499,77.196,"And once I have removed that lymph node, I then proceed again to the apical part of the mediastinum with the station 2, station 4R."
77.516,79.339,This will take you to station 10 lymph node.
79.359,81.082,You can see the pulmonary artery to the right.
81.503,85.489,The lung is then retracted posteriorly as we continue around clockwise.
85.739,88.643,and I isolate the superior pulmonary vein.
89.044,96.715,"I now enter the fissure, and usually you have some lymph nodes in this area, especially around the middle lobe artery."
96.835,103.885,"And once you dissect this out, if you've dissected the posterior mediastinum, it'll open up the fissure."
103.965,106.428,We have a vessel loop through the fissure now.
106.488,112.437,"We come in with the robotic green stapler, and we divide the fissure between the upper and lower lobe."
112.557,115.341,Same thing about the fissure between the upper and middle lobe.
115.777,118.701,"If you've done a complete dissection, it's easy to get through."
118.762,120.584,This is the posterior ascending branch.
121.105,122.387,"And again, we have dissected it."
122.487,124.751,We're coming in with the robotic white stapler.
125.612,134.786,"With right-sided resections, almost always just use a single 12-port anteriorly where the inner space is larger or wider."
135.527,137.651,Less likely to get an intercostal neuralgia.
137.731,140.535,This is the fissure between the upper and middle lobes.
140.836,144.279,"Since we dissected the anterior mediastinum, it's easily to get around."
144.339,148.403,We then divide this again with a robotic green stapler.
149.203,150.885,This will really open up the fissure.
151.806,156.67,"And once the fissure is divided, we then will go back to the anterior mediastinum."
156.69,159.192,So this is the fissure between the upper and middle lobe.
159.973,163.556,We're completing the fissure again with the robotic green stapler.
163.997,169.081,"We now retract the lung posteriorly, again going to the anterior mediastinum."
169.341,170.202,And this is the
170.637,172.74,"pulmonary, superior pulmonary vein."
173.581,179.69,"We've identified the middle lobe vein, and we're staying away from that, and we're coming around the superior vein."
179.73,188.463,"I almost always take the arteries first, mainly so you don't get engorgement of the vein in the fissure, but the fissure's already completed, so now I'll do the superior vein."
189.004,194.151,"And then this really opens up the truncus anterior, which you can see visualized here."
194.191,199.058,"Again, we go through a vessel loop to hold the artery up out of the way."
199.477,202.74,And we come in with the robotic white stapler anvil tip.
202.78,209.107,The anvil tip is nice and smooth and you're not likely to damage any other vessels in the area as you come through.
209.887,214.792,"And then once we have divided the truncus anterior, we now have the artery and veins."
215.233,216.794,We now are ready for the bronchus.
217.034,221.679,So I will retract the lung straight up anteriorly.
222.179,224.742,That exposes the bronchus to the upper lobe.
225.025,232.072,"Then again, through my right hand, we'll come in with the robotic green stapler, which you see visualized here."
232.853,235.476,I will come and I will clamp the bronchus.
235.996,245.286,"And I'm still old school, so after clamping the bronchus before dividing it, I will give a puff on the lungs to make sure that the middle and lower lobes inflate normally."
246.107,251.032,So we're now going to inflate the lungs just to make sure that they come up and they come up normally.
251.052,253.294,So now we will divide the bronchus.
253.696,260.084,And that completes the mediastinal lymphadenectomy as well as the right upper lobectomy.
260.145,261.867,We now fill the chest full of saline.
261.967,265.071,"We look for an air leak, which we have an air leak here in the fissure."
265.512,268.095,So we will come back and use Pro-Gel on that.
268.696,275.205,I usually will position a 20 French chest tube under direct vision with the robot.
275.225,276.606,And I put it anteriorly.
277.347,279.47,We now will go back to that air leak.
279.55,281.593,We will spray it with Pro-Gel.
281.995,287.363,"35% of our lobectomies go home the next day, and we can't do it if we have an air leak."
287.384,289.507,So we make sure we don't have an air leak when we leave.
289.988,292.952,We then will place the specimen in an anchor bag.
292.972,300.084,"It's a 1500 milliliter, 15 millimeter anchor bag, and we'll pull it out through our assistant port."
300.945,304.13,"When we do that, usually the diaphragm will enlarge."
304.17,306.554,"It ends up subcostal, about a two inch incision."
306.594,309.859,We then repair the diaphragm with a V-lock
310.784,320.696,"2-0 monofilament suture, and with the XI robot, you can just look back and you can repair it, and you can see you don't have a very large tear in the diaphragm."
320.716,326.684,"It's in the direction of fibers, and that will complete our right upper lobectomy and diaphragm repair."
327.645,334.493,More videos for pulmonary resection can be found on JETMD.com.
334.914,339.019,That's J-E-T-T-M-D dot com.
339.573,342.126,And thank you for watching this video.
342.91,345.583,And more are available on JEDMD.com.
