start,end,text
99.881,127.892,"The surgeon mobilizes the area around the prior ileocolic anastomosis, addressing a short segment stricture. Omental adhesions to the anastomosis are carefully dissected, and the transverse colon is unfolded from the ascending colon."
99.881,127.892,"The surgeon mobilizes the area around the prior ileocolic anastomosis, taking down omental adhesions attached to the anastomosis. The transverse colon is unfolded from the ascending colon in preparation for resection."
128.392,152.386,"The surgeon performs an extracorporeal anastomosis and extraction through the phanaceal location, facilitated by the bowel redundancy observed during the ileocolic resection."
128.392,152.386,"The surgeon performs an extracorporeal anastomosis and extraction through the phanaceal location, facilitated by the bowel redundancy observed during the ileocolic resection."
152.886,191.814,"The surgeon performs lateral to medial mobilization of the bowel, opting for extracorporeal handling due to the thick Crohn's mesentery, aiming for better control during the procedure."
152.886,191.814,"The surgeon performs lateral to medial mobilization of the bowel, opting for extracorporeal handling due to the thick Crohn's mesentery, aiming for better control during the procedure."
236.148,304.077,"The surgeon performs a lateral mobilization of the right colon towards the hepatic flexure, taking care to avoid injury to the ascending colon. The focus is on preserving as much of the colon as possible while preparing to mobilize the hepatic flexure."
236.148,304.077,"The surgeon performs lateral mobilization of the right colon, progressing towards the hepatic flexure while carefully avoiding injury to the ascending colon. The focus is on preserving as much of the colon as possible, with preparations underway to mobilize the hepatic flexure from a lateral approach."
304.577,351.737,"The surgeon carefully dissects near the duodenum, visible beneath the dissection area, using controlled burns and cuts. A sponge is placed to protect the duodenum during the procedure."
304.577,351.737,"The surgeon carefully dissects near the duodenum, visible beneath the dissection area, taking care not to cut too deeply. A sponge is placed to protect the duodenum during the procedure."
352.237,398.249,"The surgeon continues mobilizing the bowel to ensure there is no tension when extracting through the suprapubic port site. The hepatic flexure is visibly lowered, and the reach is checked to ensure it extends adequately. The Alexis retractor is upsized at the suprapubic location, and adhesions to the gallbladder are noted."
352.237,387.578,"The surgeon continues to mobilize the colon, ensuring there is no tension on the mesentery or bowel as the hepatic flexure is brought down smoothly. The reach is checked to ensure the colon can be extracted through the suprapubic port site without tension."
388.078,444.168,"The surgeon addresses adhesions to the gallbladder, facilitating bowel mobilization for extracorporeal extraction. A sponge is used to manage minor bleeding without cauterization or clipping. The surgeon then takes a portion of the mesentery directly beneath the anastomosis, noting its manageable thickness for this approach."
398.749,444.168,"The surgeon continues to mobilize the bowel, facilitating extracorporeal extraction. A sponge is used to manage minor bleeding without cauterization. The surgeon then takes a portion of the mesentery directly beneath the anastomosis, noting its manageable thickness."
444.668,461.857,"The surgeon completes a side-to-side antiparastaltic anastomosis and checks the ICG fluorescence for perfusion assessment. The mesenteric defects are left open, as is the surgeon's usual practice."
444.668,461.857,"The surgeon completes a side-to-side antiparastaltic anastomosis and checks the ICG fluorescence to assess perfusion. The mesenteric defects are left open, as is the surgeon's usual practice."
