start,end,text
31.017,97.84,The surgeon incises the peritoneum over the aorta and extends the incision cranially towards the anticipated origin of the inferior mesenteric artery (IMA).
98.34,163.237,"The surgeon divides the inferior mesenteric artery (IMA) approximately three centimeters above its origin, taking care to avoid the surrounding sympathetic plexus."
163.737,183.874,The surgeon identifies the inferior mesenteric vein (IMV) lateral to the previously divided inferior mesenteric artery (IMA) and divides it. The dissection plane is established posterior to these divided vessels.
184.374,249.249,The left ureter and gonadal vessels are visible below the plane of medial to lateral mesentery dissection.
249.749,296.023,"The surgeon advances to the posterior dissection plane of the mesorectum, preparing to mobilize the sigmoid and rectum laparoscopically."
350.832,364.853,"The surgeon continues dissection along the posterior avascular plane, extending the dissection cordially as far as possible, with visible separation of tissue layers."
365.353,439.917,"The surgeon carefully continues the dissection, avoiding the use of monopolar diathermy to prevent accidental damage to the pelvic veins and potential bleeding."
440.417,539.31,"The surgeon detaches the sigmoid colon and left colon from their lateral pelvic attachments, achieving complete mobilization of the lower left colon."
539.81,652.927,"The surgeon divides the sigmoid colon using an endostapler, facilitating the pelvic dissection process."
653.427,740.649,"The surgeon incises the peritoneal fold anterior to the recto-vesical pouch, revealing the underlying anatomical structures."
741.149,781.931,The surgeon continues the lateral dissection deep into the pelvis before proceeding with the anterior plane of dissection of the mesorectum.
782.431,1025.205,"The surgeon carefully avoids dissecting too laterally to preserve the right and left hypogastric nerves and the inferior hypogastric plexus, ensuring these structures remain intact during the pelvic dissection."
1025.705,1231.958,"The surgeon performs anterior dissection, revealing the seminal vesicles. A thin, consistent plane of dissection is visible through the Denonvilliers fascia, extending towards the base of the prostate."
1232.458,1416.778,"The surgeon mobilizes the lowermost rectum by dividing the fascial attachments to the lateral and posterior pelvic wall, exposing the pelvic floor."
1417.278,1619.56,"The surgeon separates the rectum from the prostate, clearly delineating the two structures within the surgical field."
1620.06,1643.147,"The surgeon completes the dissection, revealing the muscular and rectal junction, which appears devoid of any surrounding fat tissue."
1643.647,1652.698,"After the perineal delivery of the specimen, the mesorectum is visible posterior to the rectum, displaying a glistening bilobed appearance."
