start,end,text
29.866,95.993,"The surgeon introduces a Veress needle at Palmer's point, located at the mid-clavicular line just below the costal margin, to establish entry. A port is placed in the epigastric region for telescopic access, which will also be used for the cholecystectomy. Another port is positioned in the lumbar area, with the telescope being transferred between the epigastric and hypochondrium regions."
96.493,131.843,"The surgeon performs irrigation, suction, and hanging drop tests to confirm proper placement of the varus needle. Pneumoperitoneum is initiated, visibly causing abdominal distension."
132.343,180.936,The surgeon removes the varus needle from the fully distended abdomen and enlarges the incision to 11 mm. A 10 mm optical trocar is then introduced at Palmer's point.
181.436,226.183,"Under visual guidance, the surgeon examines the abdomen using the initial port. The epigastric port is introduced just left of the falciform ligament. The telescope is removed and reintroduced into the epigastric port, which will be used for both cholecystectomy and myomectomy procedures."
226.683,267.265,"All surgical ports are positioned, and the myomectomy begins. The laparoscopic telescope is inserted through the epigastric port to visualize and remove adhesions on the anterior abdominal wall, particularly around the umbilicus."
267.765,309.22,"The surgeon uses a harmonic scalpel to separate omental adhesions, which are visible in the surgical field."
309.72,440.116,"The surgeon uses an aspiration needle to inject vasopressin mixed with saline into the tissue, causing a marble white appearance due to hydro dissection and transient ischemia. Following this, a myoma screw is applied to hold the myoma in place, and an elliptical incision is made."
440.616,508.328,"The surgeon makes an incision over the uterus to access the intramural myoma located in the thickened anterior wall. The myoma is then carefully separated from the uterine muscle, requiring the establishment of a clear dissection plane."
508.828,566.071,The surgeon uses a solid stainless steel myoma rod to slowly separate the myoma from the surrounding uterine tissue. The blunt rod facilitates enucleation and blunt dissection without risking damage to other instruments.
566.571,646.14,"The surgeon relocates the myoma screw closer to the base of the myoma, gradually separating it from the uterine tissue. The myoma appears soft with fluid in the center, indicating degeneration, which requires careful handling as the screw may not hold it securely."
646.64,766.873,"The surgeon relocates the myoma screw to the base of the myoma, demonstrating ambidextrous technique with the use of three ports for the procedure. Another myoma is visible, which will be removed later."
767.373,867.158,"The surgeon carefully dissects the base of the myoma using a harmonic scalpel to avoid opening the cavity. The myoma screw is removed and repositioned to maximize cranial traction, aided by the telescope positioned in the epigastric region."
867.658,996.772,"The surgeon has successfully removed the myoma and begins suturing the uterine muscle layers. A suture is introduced through the serosa to keep the tail outside, while continuous suturing is performed on the deep muscle layer. The needle and suture tail are pulled together to tighten the inner layer."
997.272,1104.436,"The surgeon begins continuous suturing of the serous layer, using the left hand to provide traction and stabilize the uterus while the right hand performs the suturing. The inner muscle layer has already been sutured and tightened. The procedure is conducted using three ports without the assistance of a myoma screw, uterine manipulator, or additional assistant."
1104.936,1197.414,"The surgeon repairs the uterine incision by inverting the edges, ensuring that the serosal and muscular layers are properly aligned and secured with sutures."
1197.914,1370.199,"The surgeon uses a strong number one Y grill suture to take individual bites, pulling the suture to tighten it progressively, ensuring secure closure of the tissue edges."
1370.699,1426.179,"The surgeon adjusts the suturing technique by taking an additional bite to ensure the suture is tight, demonstrating a step back in the process to reinforce the closure."
1426.679,1543.873,"The surgeon tightens the inner layer of sutures using a surgeon's knot, then cuts the suture near the needle to remove it. A small sub-serosal myoma is identified and removed using a harmonic device, placed over the anterior cul-de-sac for safekeeping. The procedure transitions to a cholecystectomy."
1543.933,1612.442,"The surgeon uses a 45 cm instrument from the left lumbar region to provide traction while the telescope is inserted at Palmer's point. The procedure involves performing a cholecystectomy using the epigastric port and one additional port, maintaining a three-port technique despite the challenges posed by the anatomy. The camera operator utilizes a 30-degree telescope for optimal visualization."
1612.942,1662.375,"The light cable is positioned at nine o'clock to improve visibility during adhesiolysis. The surgeon strips down the adhesions around the Hartsman pouch and cystic pedicle. The stomach appears distended due to the telescope's position at the palmar point, affecting the visual clarity."
1662.875,1714.685,"The surgeon separates the posterior peritoneum over the cystic pedicle, revealing the lymph node of Lund. The posterior peritoneum is carefully dissected away from the underlying structures."
1715.185,1797.147,"The surgeon forms an anterior window between the cystic duct and artery, completing the dissection of the cystic pedicle. Titanium clips are applied to the cystic duct using an instrument inserted through the epigastric port."
1797.647,1848.892,"The surgeon identifies the posterior window and places a flat clip near the cystic duct. The first clip is positioned towards the common bile duct (CBD), the second towards the gallbladder, and the third clip is placed three millimeters above the first. The cystic duct is then cut with scissors, followed by clipping of the cystic artery."
1849.392,1896.963,"A titanium clip is applied over the cystic artery, followed by coagulation using a harmonic device. The surgeon begins separating the gallbladder by applying anteromedial and anterolateral traction, with the peritoneum being opened first."
1897.463,2025.472,"The surgeon carefully separates the gallbladder from the liver, aiming to achieve a good areolar plane for a bloodless dissection. The gallbladder is pulled towards the appendix using a single instrument for traction, as the procedure is performed with a three-port technique."
2025.972,2140.187,"The final portion of the gallbladder is removed, completing the cholecystectomy. The gallbladder is extracted through the epigastric port. The surgeon prepares for morcellation, a process that involves careful and slow tissue fragmentation, though the full procedure is not shown. The port closure follows, marking the end of the laparoscopic myomectomy and cholecystectomy performed using a three-port technique."
