start,end,text
26.959,39.033,"The patient is positioned supine with arms extended, and an orogastric tube is inserted post-intubation. The surgeon makes a small stab incision in the left subcostal region and inserts a Veress needle."
39.533,46.762,The surgeon insufflates the abdominal cavity to fifteen millimeters of mercury and replaces the varus needle with a twelve millimeter port using an optical trocar.
47.262,69.438,"The surgeon places the remaining ports under direct visualization: a 12mm left peri-umbilical port for the laparoscope, a 5mm right subcostal trocar positioned approximately two fingerbreadths below the liver edge, and a 15mm port in the right hemiabdomen between the right subcostal port and the umbilicus."
79.601,93.733,The surgeon performs a bilateral TAP block by injecting diluted liposomal bupivacaine into the plane between the internal oblique and transverse abdominis muscle layers in four quadrants for postoperative pain control.
94.233,103.925,"The patient is positioned in reverse Trendelenburg, and a Nathanson liver retractor is inserted through a subxiphoid stab incision, visibly elevating the liver with a table-mounted retractor."
104.425,110.051,"The surgeon carefully positions the liver retractor, ensuring it is not wedged directly between the liver lobes to prevent tearing and bleeding."
110.551,127.787,"The surgical team reduces the insufflation pressure to eight, maintaining adequate working space and visualization for the gastrectomy procedure while minimizing postoperative pain and physiological effects related to pneumoperitoneum."
128.287,140.61,"The surgeon initiates dissection along the inferior aspect of the stomach's greater curvature, focusing on the junction between the body and antrum. The gastroepiploic tissue appears thin, facilitating entry into the lesser sac space."
141.11,148.191,"The surgeon uses a grasper to apply tension to the stomach near the dissection plan, while the assistant retracts the fat and vessels along the greater curvature."
148.691,156.525,"The surgeon uses a bipolar sealing energy device to dissect along the edge of the stomach, progressing towards the fundus and dividing the gastroepiploic vessels."
157.025,165.769,"The surgeon carefully dissects close to the gastric edge, ensuring the preservation of the gastroepiploic blood supply to the omentum and spleen, avoiding division too far laterally."
177.298,189.446,"The surgeon approaches the spleen, using a bipolar sealing device to apply double burns for hemostasis of the short gastric vessels. After ensuring hemostasis, the cut function is activated medially. Additional dissection is performed to address any posterior attachments."
189.946,198.638,"The surgeon carefully avoids deep posterior dissection to prevent division of branches of the left gastric artery, which are visible supplying the gastric sleeve."
199.138,213.966,"The surgeon reaches the spleen and focuses on the inferior greater curvature attachments, dissecting towards the pylorus. The dissection is performed from the assistant's side of the table, using techniques similar to those previously employed."
214.466,231.538,"The surgeon carefully dissects in the plane near the transverse colon mesentery, avoiding deep dissection that could penetrate into the infracolic space where the small bowel is located, preventing the creation of a potential internal hernia site."
232.038,244.329,"The surgeon carefully dissects near the pylorus, ensuring the distal stomach is free from adhesions in preparation for the first staple fire."
244.829,274.255,"With the distal stomach mobilized, the surgeon retracts the fundus anterior medially in a spiral motion to gain exposure and tension for further dissection. The superior splenic pole vessels are coagulated and divided, starting with the posterior short gastric artery and progressing cephalad to the final superior splenic vessels, ensuring no undue tension to prevent bleeding."
274.755,285.061,"The surgeon transitions to dissecting the phrenoesophageal capsule, separating the angle of His fibers from the left crus. The inferior phrenic artery becomes visible during this dissection."
285.561,307.371,"The surgeon identifies a significant arterial branch from the inferior phrenic artery feeding into the gastroesophageal junction. Efforts are made to preserve this branch to minimize the risk of ischemia at the gastroesophageal junction, a common site for leaks during sleeve gastrectomy."
307.871,327.526,"The surgeon begins the gastric stapling part of the sleeve gastrectomy at the junction between the antrum and the body of the stomach, visible on the greater curvature approximately three to six centimeters from the pylorus. The transition from disorganized to organized propulsion of ingested food is marked at this inflection point."
328.026,341.109,"The surgeon preserves the organized portion of the stomach, including the antrum and pyloric pump, ensuring these structures remain intact to facilitate rapid expulsion of food into the duodenum, enhancing the bariatric effect of the sleeve gastrectomy."
341.609,352.137,"The surgeon uses a left-handed grasper to stabilize the stomach at the junction of the antrum and the body, ensuring the antrum is flat in preparation for the first staple fire."
352.637,389.045,"The surgeon uses a powered stapler device to perform the sleeve gastrectomy. The orogastric tube is removed, and the stapler is positioned flat and even with the stomach. The stapler is articulated to the right to prevent narrowing at the incisura. The stomach is grasped, adjusted with the left hand, and the stapler is fully closed and fired."
389.545,411.307,"The surgeon initiates the sleeve gastrectomy by firing the first staple line at the junction between the disorganized and organized segments of the stomach, ensuring the disorganized portion is included in the resected specimen."
411.807,423.371,"The anesthesia team inserts a forty French bougie into the stomach along the lesser curvature, positioning it next to the pylorus. The surgeon then performs the second staple fire using a powered stapler device."
423.871,447.889,"The left hand grasper stabilizes the stomach by grasping the tail of the previous staple line. The stapler is inserted and articulated to closely align with the bougie, causing the stomach to slightly dimple upon palpation by the assistant."
448.389,461.548,"The assistant gently retracts the greater curvature of the stomach while the surgeon partially closes the stapler, ensuring the posterior stomach is included in the staple fire. The edge of the lesser curvature blood vessels serves as a visual guide during this process."
462.048,485.412,"The surgeon performs the second staple fire, which is crucial for determining the tightness of the sleeve gastrectomy, ensuring the staple line is appropriately aligned along the lesser curvature."
485.912,515.044,"The surgeon removes migratory crotch stitches to prevent bunching at the corners of staple fires during the sleeve gastrectomy. Black staple cartridges are used initially for the thicker antrum, followed by purple cartridges for the thinner tissue as the procedure progresses from the body of the stomach to the fundus."
515.544,526.054,"The surgeon applies staple lines reinforced with buttress material, using sixty-millimeter staple cartridges to secure the gastric sleeve along the stomach."
544.262,562.271,"The surgeon carefully aims the tip of the stapler towards the inferior phrenic artery while approaching the gastroesophageal junction, ensuring precise alignment to avoid disrupting the junction or incorporating the esophageal wall within the staple line. The stapler is positioned to prevent leaving an excessive dog ear by avoiding a lateral approach."
562.771,594.482,"The surgeon ensures that the lateral and posterior stomach are retracted during the final staple fire to prevent folding at the staple site. After closure, the stapler tips are visualized to confirm no tissue attachment, minimizing the risk of leaks due to improper staple firing."
594.982,624.107,The surgeon inspects the completed staple line and uses laparoscopic shears to cut and separate the stomach specimen from the newly formed gastric sleeve.
624.607,671.336,"The endoscope is inserted into the gastric sleeve and guided towards the pylorus. As the scope is withdrawn, the surgeon inspects the staple line for integrity and hemostasis, while the assistant irrigates the stomach to confirm a negative leak test. The staple line appears straight, without twisting, as viewed through the endoscope. The scope is then reinserted to the antrum, and insufflation is evacuated."
671.836,685.068,"The surgeon carefully removes the liver retractor. An uncut free stitch suture is used to take a bite at the end of the gastric specimen, and the needle is withdrawn through the trocar."
685.568,700.061,"The surgeon pulls the stomach specimen into the trocar and subsequently removes the trocar. A clamp is used to stretch the fascia, facilitating the removal of the gastric specimen from the surgical site."
700.561,717.963,"The surgeon extends the initial skin incision to facilitate the removal of the stomach specimen. The stomach is carefully extracted by alternating retraction between the staple line side and the greater curvature side, ensuring the specimen does not become stuck or tear at the incision site."
718.463,731.891,"The surgeon uses a commercially available fascial closure device to close the specimen retraction site, addressing the stretched fascia resulting from the specimen removal."
