start,end,text
16.169,20.653,The tissue spacer is inflated to create the subplatysmal plane.
22.035,28.401,5 mm working ports are introduced one on each side just lateral to the sternoclavicular joint.
29.9,38.549,The subplatysmal plane is extended along all the boundaries of supra-homohoid compartment of the anterior triangle of neck.
42.512,50.44,Here we tend to dissect a bit more on the contralateral side to generate more working space.
51.381,56.346,The space is used later on to park the specimen.
57.676,67.045,The principles of surgery remains the same as the open surgery here by hugging the platysma while dissecting this plane.
79.678,86.164,Level 1a node dissection is initiated in the midline just at the level of the hired bone.
91.51,103.45,All the fibro fatty tissue is taken out from the submantle triangle between the two anterior valleys of the digastric muscle on both the sides.
108.298,117.754,It is better at this level to sacrifice few fibers of the muscle instead of leaving behind some of the fibro fatty tissue.
123.674,130.663,The specimen is delivered and parked on the opposite side.
134.988,139.633,Dissection of level 1b node that is submandibular node is initiated.
140.174,143.298,The dissection continues along the lower border of the mandible.
146.241,152.449,Facial artery and vein is taken as a guide to dissect the marginal branch of the facial nerve
154.133,157.097,in cases where the angle of mouth function is preserved.
160.061,165.448,The facial artery is divided at the lower border of mandible with the use of the harmonic curved shears.
171.295,176.682,Further resection continues along the posterior valley of digastric muscle.
178.552,189.287,One should keep in mind at this level that the facial vein comes anterior to the posterior valley of the digastric muscle while the artery lies posteriorly.
190.889,197.258,This anatomical knowledge and alertness is very important to prevent the intraoperative bleeding.
200.462,203.867,"With the use of combination of sharp and blunt dissection,"
205.147,209.155,Both the artery and vein are skeletonized properly.
212.161,222.261,"After proper skeletonization, the facial artery is again divided at the origin with the use of a vessel sealing device."
235.572,243.205,The dissection continues along the myelohoid muscle.
244.287,251.679,Here the specimen should be pulled down to visualize the lingual nerve properly.
253.743,259.352,We should take utmost care in this region to prevent injury to the lingual and the hypoglossal nerves.
276.022,290.018,Dissection of level IIa and level III nodes are done together and started at the apex of the supra-omohyoid triangle where the superior belly of omohyoid and the anterior border of the sterno-master muscle unites.
292.04,299.869,Careful combination of blunt and sharp dissection is used to expose the anterior surface of the internal jugular vein.
302.617,310.364,Here the key is to decrease the CO2 pressure a little to allow the vein to dilate for better identification.
311.645,315.569,Dissection continues further to clear the vein properly.
322.175,329.282,The facial vein is divided at this junction with the use of a vessel sealing device.
350.474,357.711,Further resection continues along the internal jugular vein to clear the vein completely.
357.751,366.812,All the fibro fatty tissue is dissected.
374.69,385.43,Further dissection continues along the posterior border of the vein and along the posterior belly of digastric muscle to reach the level 2b lymph neural tissue.
386.392,394.707,Here layer by layer dissection is very much important to identify the spinal accessory nerve properly.
399.935,415.278,We should take care to use the inactive blade of the harmonic curved shears to prevent the collateral thermal damage to the spinal accessory nerve.
415.298,425.132,All the fibro fatty tissue from the 2B region is dissected and the specimen delivered from beneath the nerve
428.909,432.314,and all the remaining attachments are divided.
439.084,447.016,This completes the minimally invasive supra-omohyoid dissection by total endoscopic method using the CO2 insufflation.
447.737,449.8,The surgical bed is inspected.
451.022,452.925,Hemostasis is confirmed.
455.521,465.162,The specimen is put in a sterile plastic bag and delivered through the camera port.
