start,end,text
2.41,31.328,We describe a case of robotic left colectomy with staple colorectal anastomosis using indocyanine green fluorescence angiography. The patient is a fifty-three years old female presented with abdominal pain and cedropanic anemia. Surgery was indicated after colonoscopy showing an obstructive adenocarcinoma of the sigmoid colon and a CT scan showing no sign of metastasis.
31.648,80.162,"The DaVinci XI robotic system is docked on the patient's left side, with the operating table adjusted to the Trendelenburg position tilted to the right. Four robotic ports are positioned diagonally from the right femoral head to the intersection of the left midclavicular line and the left subcostal margin. The fourth robotic port, marked red, accommodates a 12mm endowrist instrument. Each port is spaced 8 centimeters apart, and a 5mm air seal assistant port is placed lateral to the midclavicular line, targeting the left iliac vessel."
80.662,148.945,"The surgeon visualizes the lesion on the sigmoid colon and begins the procedure with a middle to lateral approach. During dissection, the left ureter is identified."
149.445,173.597,The surgeon dissects the anterior mesenteric artery approximately 1.5 centimeters from the aorta and sections it using a 45-millimeter EndoWrist instrument with a vascular reload.
174.097,240.178,"The surgeon uses monopolar scissors and a bipolar fenestrated grasper to dissect the inferior mesenteric vein, which is then clipped and sectioned."
240.678,348.88,"The surgeon employs an extended medial-to-lateral approach for mobilizing the splenic flexure. The inferior mesenteric vein is ligated at the lower border of the pancreas. The superior surface of the pancreas is separated from the retroperitoneum, and the lesser sac is opened. The gastrocolic and pancreatic mesocolic attachments along the tail of the pancreas are divided. A sterile gauze is placed near the splenic hilum before sectioning the gastrocolic ligament."
349.38,414.389,"The surgeon completes the mobilization of the entire left colon by dissecting the total fascia, separating the colon from surrounding tissues."
414.889,493.14,"The surgeon transects the rectum at least five centimeters from the colic cancer using a vessel sealer, preparing the rectal stump for transaction. The rectum is then transected with a 45-millimeter endobriste grain recharge. The colon is extracted through a five-centimeter incision."
493.64,569.638,"The surgeon identifies the proximal transection margin using indocyanine green fluorescence angiography to ensure good vascular supply. The EEA stapler is inserted and secured, performing a colon-hepatic end-to-end anastomosis. The vascular viability of the intestinal tissue is rechecked with indocyanine green fluorescence, confirming a good vascular supply."
570.138,592.827,The surgical procedure was successful. The operative time was one hundred thirty-five minutes. The post-operative period was uneventful. The patient was discharged after three days. The pathological report confirmed a PT-N-A adenocarcinoma with twenty-two nodes negative.
