start,end,text
85.228,105.159,"The laparoscopic approach to the sigmoid colon is demonstrated using four trocars, providing a clear view of the surgical field."
105.659,143.929,"During exploratory laparoscopy, a giant diverticulum is observed rising from the sigmoid colon, now positioned in the greater pelvis."
144.429,154.353,"The surgeon performs a lateral-to-medial approach on the sigmoid colon, beginning with the detachment of the descending colon."
154.853,225.898,"The surgeon uses blunt dissection and monopolar scissors to take down the lateral margin of the diverticulum, which shows signs of diverticulitis."
226.398,231.861,The surgeon identifies and carefully preserves the gonadal vessels and left ureter during the laparoscopic procedure.
232.361,277.363,"The surgeon observes inflammatory signs, including edema and erythema, in the lateral wall of the diverticulum located at the recto-sigmoid junction."
277.863,280.429,"The surgeon initiates a vascular approach, focusing on the blood vessels associated with the sigmoid colon in the greater pelvis."
280.929,319.628,"The surgeon opens the peritoneum and identifies a window that communicates with the lateral disc dissection, verifying the location of the left ureter to ensure its preservation."
320.128,348.225,"The surgeon performs vascular ligation using a 60mm Echelon stapler with a white cartridge, securing the vessels in the surgical field."
348.725,366.656,"The surgeon completes the dissection of the recto-sigmoid junction using a ligature, followed by division with a 60mm Echelon stapler equipped with a blue cartridge."
367.156,393.228,"The surgeon extracts the specimen through a five-centimeter incision using an Alexis wound retractor protector, ensuring the incision is held open and protected during the extraction process."
393.728,411.441,"The surgeon performs a tension-free colloculonic anastomosis using a 31mm circular EEA end-to-end anastomosis device, ensuring proper alignment and connection of the colonic segments."
411.941,415.224,"The surgeon performs a successful intraoperative air leak test, visually confirming the integrity of the anastomosis."
415.724,420.622,"A blank drain is visibly left in place within the surgical field, indicating the completion of the procedure."
