start,end,text
0.2,9.223,Delorme Operation A Video Technique. We used this approach for the treatment of full thickness rectal prolapse in twenty years old female patient.
9.723,21.826,"With no prior history of vaginal delivery. The patient had a Wexner fecal incontinence score of ten. Due to patient's fertility fear, she refused ventral mesh rectopexy."
22.326,33.841,Patient received polyethylene glycol enema on the day of operation. One gram second generation cephalosporin and five hundred milligrams metronidazole at the time of the procedure.
34.341,40.286,The procedure was performed with the patient in modified lithotomy position under spinal anesthesia.
40.786,55.265,The surgeon injects adrenalized saline circumferentially into the submucosa just above the dentate line to facilitate the dissection.
55.765,107.956,"The surgeon begins mucosal stripping using electrocautery, starting one centimeter away from the dentate line and extending to the apex of the rectal prolapse."
108.456,160.331,"The surgeon vertically plicates the underlying muscle in four quadrants using Vicryl 3-0 sutures, starting at the apex of the dissection and extending to the distal cut edge of the mucosa. The sutures are placed and tagged, with additional sutures inserted between them, totaling eight to ten sutures. As the sutures are tied, the muscle visibly plicates."
160.831,254.505,The surgeon excises the excess mucosa and performs interrupted mucosa-to-mucosa suturing using Vicryl-III-O sutures.
255.005,343.332,"The surgeon performs an augmented post-anal repair through a five-centimeter curvilinear incision. Dissection is carried out into the intersphincteric space, reaching the upper part of the external anal sphincter and puborectalis muscle. The levator ani muscle and mesorectal fat are exposed, followed by the approximation of the levator ani using Prolene 2-0 sutures."
343.832,358.265,The surgeon performs skin closure using sutures to complete the procedure.
358.765,369.455,The patient was allowed to start oral intake on the same day of operation and discharged on the second postoperative day. The use of laxatives was recommended for six weeks.
