start,end,text
96.488,99.491,we discovered multiple phrenicopulmonary adhesions.
100.432,110.023,A pneumothorax with pressure of 6 mmHg served to compress the lung and stretch the adhesions which were meticulously dissected with ultrasound energy source.
111.164,119.053,Plane of dissection was maintained at a distance from the lung to diminish the risk of parenchymal injury and bronchopneural fistula.
121.396,125.042,Diaphragm was pulled up towards the thoracic apex with graspers.
126.204,130.01,An easily yielding diaphragm implied no additions to peritoneal organs.
131.031,134.236,The hitched up diaphragm is excised using endosteplars.
135.578,146.155,"The staple line extends from posterolateral to intermedial sectors about 2 inches away from the pericardium, adhering to the anatomical and physiological principles."
148.362,152.448,The staple line was examined and reinforced with sutures.
153.449,162.302,"In our belief, this additional reinforcement of the staple line with continuous non-observable sutures adds security against disruption."
163.904,169.071,Skillful suturing is required in a narrow working space and difficult ergonomic environment.
171.143,175.795,A chest tube was placed and pneumothorax was gradually relieved with lung inflation.
207.408,210.231,The procedure was initiated with similar port placements.
210.872,212.834,A survey of the thoracic cavity is performed.
213.634,216.237,The hyperconvexity of the diaphragm is visible.
216.277,219.701,Lung adhesions are separated meticulously.
220.561,225.026,The elevated left hemidiaphragm is seen in relation with the lung and pericardium.
226.207,232.774,Severe affliction of the diaphragm is evident due to the ease with which the spleen can be visualized and manipulated.
235.775,243.589,After ensuring that there are no adhesions to the underlying organs the redundant diaphragm is elevated and the endostepler is fired.
246.254,252.345,Superfluous thinned out diaphragm justified mechanically opposing endostepler all throughout its length.
255.391,259.538,Redundant diaphragm is extricated through the thoracic port.
261.728,268.036,"Similar reinforcement sutures were taken to overshoot the staple line, adding structural integrity to the diaphragm."
269.277,274.524,"After having completed the above reinforcement, we added another step of graded white plication."
275.565,279.771,The degree of plication was proportional to the laxity of segment being sutured.
280.812,289.643,"Plication increases the hemithorax volume, reduces the paradoxical motion and stiffens the diaphragm, overall improving pulmonary function."
290.787,294.534,The procedure was concluded with the insertion of an intercostal drain.
