start,end,text
0.959,29.733,"Hello, I'm sharing a repair of a fan and steel extraction site hernia. This is a patient who I did a very complex diverticulitis case about six months prior. Very surprising how little adhesions there are from the burden of her diverticular disease. And you can see the hernia there. This is the first hernia that I've seen in my own hands after a fan and steel extraction, but it does happen."
30.233,107.942,"The surgeon is performing a transabdominal preperitoneal (TAPP) repair in the upper abdomen, dissecting above the umbilicus to create a wide flap. An umbilical hernia defect is visible, which the surgeon plans to reduce."
108.442,188.658,"The surgeon continues lateral dissection to create a wide flap, avoiding a triangular point at the distal extent, in preparation for placing a wide piece of mesh. Care is taken not to tear the peritoneum during the dissection."
189.158,420.65,"The surgeon reduces the hernia, carefully ensuring that the posterior elements remain intact without any holes. The bladder is not visibly involved in the hernia, which is a common concern in this anatomical location."
421.15,433.208,"The surgeon prepares the surgical site for mesh placement, ensuring the area is wide enough for proper seating of the mesh without fully exposing both MPOs. The absence of inguinal hernias is noted."
433.708,477.498,"The surgeon closes the hernia defect vertically, despite the initial transverse opening, using sutures. The pressure is reduced to eight during this closure, and the muscles come together smoothly."
477.998,530.833,"The surgeon begins closing the umbilical defects from the top, imbricating the diastatic portion of the lower midline down to the hernia site."
531.333,590.19,"The surgeon trims a 20x20 cm Versatex mesh to 20x18 cm, adjusting the corners to fit into the myopectineal orifice (MPO) and applies a few points of fixation."
590.69,605.595,"The surgeon observes the mesh placement with a small corner protruding beyond the flap. The flap is then closed, utilizing its redundancy to cover the exposed mesh."
606.095,621.303,Case went very well. Just about an hour and fifteen minutes of total time. Discharge same day and very happy overall with this repair. Interested in comments and suggestions. Hope you enjoyed.
