start,end,text
0.813,25.939,"The robotic low anterior resection procedure is underway in a female patient with high BMI. A surgical sponge is used to keep the small bowel away from the inferior mesenteric artery (IMA) pedicle, highlighting the unique challenges in patients with high BMI."
21.158,52.319,"A sponge is used to retract the small bowel away from the inferior mesenteric artery (IMA) pedicle. The surgeon performs medial dissection to access the area beneath the superior hemorrhoidal artery, navigating through excess fatty tissue to locate the retrorectal plane."
26.359,52.319,"The surgeon performs medial dissection to access the area beneath the superior hemorrhoidal artery, navigating through excess fatty tissue to locate the retrorectal plane."
52.819,85.268,"The surgeon struggles with retraction as the sigmoid colon flops over the dissection area. Using hand-over-hand technique, the surgeon attempts to elevate the inferior mesenteric artery (IMA) pedicle and repositions the sponge to isolate the IMA superior hemorrhoidal pedicle."
52.819,85.268,"The surgeon struggles with retraction as the sigmoid colon flops over the dissection area. Using hand-over-hand technique, the surgeon attempts to elevate the inferior mesenteric artery (IMA) pedicle and repositions the sponge to isolate the IMA superior hemorrhoidal pedicle."
85.768,139.64,The surgeon performs medial to lateral dissection to locate the superior hemorrhoidal vessel amidst excess fatty tissue. A vessel sealer is used instead of scissors to enhance hemostasis and secure dissection through the dense adipose tissue.
85.768,139.64,"The surgeon performs medial to lateral dissection to locate the superior hemorrhoidal vessel amidst excess fatty tissue. The vessel sealer is used to enhance hemostasis and secure dissection through the fatty tissue, replacing the scissors for better control."
140.14,184.829,"The surgeon approaches the confluence of the superior hemorrhoidal and left colic arteries, carefully identifying the left ureter beneath retroperitoneal fat before proceeding to dissect the mesenteric branches at the pedicle junction."
140.14,196.28,"The surgeon approaches the confluence of the superior hemorrhoidal and left colic arteries, carefully identifying the left ureter beneath the retroperitoneal fat. With the ureter safely out of the way, the surgeon proceeds to transect the mesenteric pedicle at this junction."
185.329,240.998,"The surgeon identifies the ureter during dissection and proceeds to mobilize the descending and sigmoid colon. The splenic flexure is released using the same ports without redocking, preparing for a low colorectal anastomosis."
196.78,240.998,"The surgeon performs lateral dissection to expose the descending and sigmoid colon, having previously mobilized the splenic flexure using the same ports without redocking. The surgical field shows the colon portions involved in the dissection."
241.498,292.475,"The surgeon prepares for the total mesorectal excision (TME) dissection by suspending the uterus and right ovary with sutures to clear the surgical field. The right mesorectal excision dissection is performed, focusing on the posterior aspect, with visible excess fatty tissue in the plane."
241.498,292.475,"The surgeon prepares for the total mesorectal excision (TME) dissection by suspending the uterus and right ovary with sutures to clear the surgical field. The right mesorectal excision dissection is performed, with attention to the posterior aspect, navigating through an excess of fatty tissue."
292.975,354.843,"The surgeon moves down the left side and begins dissecting across the anterior portion, using a thirty-degree angle to access the rectovaginal septum."
292.975,354.843,"The surgeon moves down the left side and begins to dissect across the anterior portion, creating a thirty-degree angle to access the rectovaginal septum."
355.343,426.88,"The surgeon performs circumferential dissection around the rectum, navigating through various tissue planes to progress the total mesorectal excision (TME) in a challenging case."
355.343,426.88,"The surgeon continues circumferential dissection around the rectum, navigating through various tissue planes to progress the total mesorectal excision (TME) in a challenging case."
427.38,462.958,"The surgeon checks the position of the tumor to ensure the dissection is beneath it. Using a vessel sealer, the colonic and rectal mesentery are thinned out before deploying a 45-load stapler. The stapler is positioned deep in the pelvis, and two loads are fired to transect the rectum just above the pelvic diaphragm."
427.38,488.513,"The surgeon checks the location of the tumor to ensure the dissection is beneath it. Using a vessel sealer, the colonic and rectal mesentery are thinned out before firing a 45-load stapler. The stapler is positioned in the deep pelvis, and two loads are used to transect the rectum just above the pelvic diaphragm. The proximal colon mesentery is being taken in preparation for a stapled anastomosis."
463.458,485.19,"The surgeon prepares to perform a stapled anastomosis, noting the presence of approximately three to four centimeters of rectum beneath the planned anastomosis site."
485.25,500.458,"The surgeon is dissecting the proximal colon mesentery, visibly removing tissue to obtain lymph nodes. The surgical field shows the mesentery being carefully separated from surrounding structures."
489.013,503.06,The surgeon collects twenty-six lymph nodes during the dissection. The final pathology reveals a T2 N0 moderately differentiated cancer. The surgical field is prepared to extend the dissection up to the colon margin.
500.958,534.354,"The surgeon approaches the colon margin, ensuring the colonic mesentery is intact to facilitate exteriorization without tearing. The splenic flexure has been mobilized, and the surgeon checks perfusion using ICG mode."
503.56,534.354,"The surgeon checks the perfusion of the colon under ICG mode after completing the splenic flexure mobilization, ensuring the colonic mesentery is not under tension when exteriorized."
534.854,569.388,"The surgeon marks the charred portion of the tissue for removal during exteriorization. The stapled end is visible as the surgeon exteriorizes through a Pfannenstiel incision. The anvil is placed, and the surgeon prepares for anastomosis by mating the two ends using an EEA stapler, which is tightened while the surgeon operates between the legs."
534.854,545.508,The surgeon marks the charred portion of tissue for removal upon exteriorization. The stapled end of the colon is visible as it is exteriorized through a Pfannenstiel incision.
546.008,599.202,"The surgeon places the anvil and positions the EEA stapler to create the anastomosis between the proximal colon and rectum. Using robotic assistance, the surgeon mates the two ends and tightens the EEA stapler. A rigid scope is used to inspect the anastomosis, confirming no bleeding and a widely patent connection located approximately three centimeters from the anal verge. A leak test is performed, showing no leakage."
569.888,602.993,"The surgeon completes the anastomosis, inspecting the site with a rigid scope to confirm there is no bleeding. The anastomosis is positioned approximately three centimeters from the anal verge and is confirmed to be widely patent with no leakage during the leak test. Due to the patient's body habitus, no diversion is performed."
