start,end,text
0.638,4.681,"The surgeon performs a totally extraperitoneal inguinal hernia repair, utilizing a technique that does not involve a balloon dissector."
5.181,26.247,"The basic outline for performing a TEP, inguinal hernia repair is the development of the preperitoneal space, insertion of your working trochars, identification of the relevant anatomy, dissection of the hernia sac, search for the cord lipoma, placement of the mesh towards the end of the procedure, and the plus or minus fixation of the mesh."
26.747,31.234,"The surgeon performs preperitoneal dissection, typically aided by a commercially available balloon dissector, to develop the space necessary for inguinal hernia repair."
31.734,36.181,"In some countries, self-created dissection devices are utilized to aid in this dissection."
36.681,44.121,"The surgeon uses telescopic dissection to rapidly develop the preperitoneal space, facilitating the identification of critical anatomical structures during the totally extraperitoneal inguinal hernia repair."
44.621,65.9,"In this video, we will present the case of an eighty-six-year-old male with a history of previous open left inguinal hernia repair, which was performed about sixteen years ago. The patient's comorbidities include atrial fibrillation, for which he was on warfarin, and coronary artery disease. He was presented with same-day surgery for repair of a symptomatic right-sided inguinal hernia. The case went well. There were no complications."
65.92,71.225,The patient was discharged home from the recovery unit later that same day.
71.725,83.773,"The surgeon makes a corollary incision on the side opposite to the inguinal hernia repair site. Blunt dissection is performed through the subcutaneous tissues until the anterior fascia is reached, where a precise incision is made using a #11 blade."
83.793,95.38,The surgeon extends the incision using a hemostat and proceeds to bluntly dissect the underlying rectus muscle with S retractors until reaching the posterior fascia.
95.88,115.32,"The surgeon slides the S-retractor into the preperitoneal space and rotates it slightly to develop the space further. Subsequently, the Hassan trocar is inserted into the preperitoneal space."
115.82,127.967,"A ten millimeter, thirty degree angled laparoscope is inserted into the preperitoneal space and advanced bluntly towards the pubic symphysis. Upon reaching the pubic symphysis, the laparoscope is rotated from side to side."
127.987,140.554,The laparoscope is rotated laterally towards the side of the hernia to be repaired and then retracted back through the trocar. Slight posterior pressure is applied to the peritoneum to assist in the dissection process.
141.054,154.196,"Following the injection of local anesthetic, the surgeon inserts a five millimeter trocar and uses a blunt tip DeBakey Grasper to further develop the preperitoneal space, manipulating the tissue to expand the surgical field."
154.696,167.441,"The surgeon uses a DeBakey Grasper to navigate down to the pubic symphysis, then follows the pelvic brim laterally towards the side of the hernia for repair."
167.941,185.318,"The surgeon encounters adhesions from a previous left-sided inguinal hernia repair. Telescopic dissection is used to cauterize vessels, preventing potential bleeding that might occur with a balloon dissector."
185.818,207.002,"The surgeon continues lateral dissection, identifying anatomical structures as they appear. The epigastric vessels are carefully identified, ensuring they are not pulled down during dissection. The dissection proceeds in the plane between the epigastric vessels, peritoneum, and hernia sac."
207.502,231.945,"A second trocar is inserted to assist in the dissection of the preperitoneal space. The surgeon continues the lateral dissection, carefully avoiding forceful pressure on the peritoneum."
232.445,254.637,"The surgeon carefully dissects the dark space in the superior lateral aspect of the screen using retractors, working out laterally. The hernia sac becomes visible during the dissection."
255.137,266.744,"The surgeon carefully dissects into the indirect space, ensuring not to pull down the epigastric vessels while progressing with the dissection."
266.764,287.621,"The surgeon performs preperitoneal dissection along the pelvic brim, carefully identifying anatomical structures until Cooper's ligament is visualized."
288.121,301.77,"The surgeon uses blunt tip graspers to lift the hernia sac superior laterally, performing blunt dissection to separate the hernia sac from surrounding tissues."
302.27,318.743,"The surgeon carefully swipes away loose areolar tissue while avoiding entry into the peritoneal hernia sac, continuing the dissection around the cord."
319.243,342.724,"The surgeon dissects the hernia sac from medial to lateral, with the edge of the hernia sac becoming visible. The dissection is carefully performed to separate the hernia sac from the cord structures until it is completely freed."
343.224,371.826,"The surgeon carefully dissects tissue away from the spermatic cord structures, using blunt tip graspers to gently swipe and remove loose areolar tissue laterally."
372.326,381.574,"After reducing the hernia sac, the surgeon inspects the area for a cord lipoma but does not find one present."
382.074,398.324,"The surgeon inserts the mesh into position after ensuring all loose tissue is freed. Four tacks are placed to secure the mesh, with one tack visibly positioned near Cooper's ligament."
398.824,417.395,"The surgeon places a tack just above the pubic symphysis, followed by another tack positioned superior laterally, and a final tack placed superior medially to secure the mesh in position."
417.895,451.477,"The surgeon inspects the mesh to ensure it is properly positioned in the prepared space. The mesh is held down inferior laterally with an instrument as the preperitoneal space is desufflated, completing the procedure."
451.977,452.778,Thank you for watching.
