start,end,text
29.464,37.834,The superior pulmonary vein is identified and dissected using a thoracoscopic dissector and lymph node grasper.
70.535,82.435,"The lymph node grasper and thoracoscopic suction are then employed to dissect out and remove the level 11 interlobar lymph node, exposing the pulmonary artery in the fissure."
121.582,140.89,Dissection of the truncus anterior branch of the pulmonary artery is then attempted but complicated by adherent lymphadenopathy and intramural hematoma necessitating improved exposure and a modification in approach to avoid frank pulmonary artery injury.
142.304,152.972,The superior pulmonary vein is then encircled using a thoracoscopic right angle clamp and divided with a curved tip vascular load of the endoscopic stapler.
178.332,185.052,The left upper lobe bronchus is then dissected with a thoracoscopic lymph node grasper and a right angle clamp.
211.475,219.628,"Once it is encircled, an umbilical tape is placed facilitating its sharp division using the thoracoscopic scissors."
325.499,334.547,The fissure is then completed and the lingular and posterior ascending branches of the pulmonary artery dissected and divided.
404.305,407.913,The open proximal end of the bronchus is then addressed.
408.815,418.618,"A silk stay suture is placed to facilitate elevation of the bronchial stump, allowing a stapled closure using a thoracoscopic stapler."
470.118,477.883,"At this point, only the truncus anterior remains, allowing good visualization for stapled division."
