start,end,text
6.922,39.973,Laparoscopic sugar baker repair of an ileal conduit site hernia. We present a sixty-one-year-old male patient whose previous medical history included a cystoprostatectomy with retroperitoneal lymphadenotomy and formation of ileal conduit two previous inguinal hernia repairs and an existing umbilical hernia.
40.473,76.685,"Unfortunately, his progressive parastomal hernia was causing multiple regular bag changes and a plan was made to perform a laparoscopic sugar baker repair with a parietics mesh. We perform a preoperative CT scan to delineate the anatomy of the hernia and also to ensure that there is town clearance of the ureters. One can also identify the existing umbilical hernia on the preoperative CT scan."
77.185,100.606,"The surgeon covers the stoma and marks the abdominal wall to identify the hernia area, the umbilical hernia, and the intended position for the mesh placement at the end of the operation."
101.106,121.384,"Four laparoscopic ports are positioned on the left lateral aspect of the abdominal wall, contralateral to the hernia. The camera port is placed using an open cut down technique in the left upper quadrant."
121.884,215.297,"The surgeon identifies the exit point for the ileal conduit and begins reducing the hernia. Extraperitoneal fat is reduced, and peristomal adhesions are divided using a combination of blunt dissection and an energy device for hemostasis. Gradually, the ileal conduit is cleared from surrounding adhesions."
215.797,267.476,"The surgical field shows the ileal conduit cleared of surrounding adhesions. In the upper right corner of the screen, a defect is visible, located cranial to the ileal conduit. The surgeon uses a fascia closure device to close the fascia from the inside."
267.976,299.227,"The surgeon clears the fascia defect, visibly preparing the area for closure. The fascia closure is performed to prevent seroma formation, strengthen the repair, and facilitate the application and securing of the mesh."
299.727,359.908,"Two sutures are applied cranial to the ileal conduit to close the fascia, with the fascial edges approximated. The mesh is then introduced through the camera port."
360.408,431.537,"Sutures are placed at the corners of the mesh, positioned on either side of the stoma. The sutures are pulled through the abdominal wall using a fascia closure device, facilitating the mesh's application to the abdominal wall."
432.037,470.127,"The surgeon uses an absorbable tack applicator to anchor the mesh securely to the abdominal wall, ensuring stable fixation around the ileal conduit."
470.627,503.902,"The mesh is positioned to incorporate the umbilical defect, with sutures at the corners being anchored and pulled out of the abdomen using a fascia closure device."
504.402,546.557,"The surgeon secures the mesh to the mesentery of the stoma, ensuring it lies flat and properly positioned. Subsequently, the omentum is pulled over the bowel, surrounding the mesh for additional coverage."
547.057,571.324,This is a post-operative CT scan performed prior to follow-up appointment and you can see good repair of the parastomal hernia.
571.824,598.769,"At six months follow-up, the patient didn't have any evidence of recurrence. He had good functional result with limited requirement of bag changes and no regular appliance changes. In summary, we present a successful laparoscopic sugar-baker repair of a parureostomy hernia."
