start,end,text
94.554,118.419,"The surgeon uses the fourth robotic arm to lift the small bowel, exposing the posterior peritoneum. Dissection begins on the lateral aspect of the right common iliac artery to excise the iliac group of lymph nodes. The ureter is lifted superiorly, with careful attention to avoid injury."
118.919,164.135,"The surgeon uses monopolar scissors to sharply dissect the soft and lymphatic tissue along the lateral border of the inferior vena cava (IVC), proceeding cranially towards the right renal vein. The paracaval packet is lifted as a single tissue unit using traction, while avoiding injury to the IVC. The dissection reaches the cranial limit upon visualizing the right renal vein."
164.635,184.851,"The surgeon identifies the right gonadal vein draining into the right renal vein. The vein is carefully dissected, clipped, and divided."
185.351,217.585,"The surgeon dissects along the lateral border of the aorta to access the para-aortic lymph node packets. As the dissection progresses cranially on the left side of the aorta, the left renal artery is identified and carefully preserved. Sharp dissection is used to free the left renal artery from the surrounding lymphatic tissue."
218.085,252.329,"The surgeon dissects the anterior surface of the aorta, carefully avoiding the inferior mesenteric artery. The lymphatic packet is lifted upwards, revealing lymphatic channels, which are sealed with bipolar cautery. Monopolar scissors are used for sharp dissection to release the packet from its lateral attachment."
252.829,277.777,"The surgeon identifies the left renal vein, marking the cranial limit of the dissection template. Hemolog clips are applied to the lymphatic packet, which is then cut. Dissection continues into the interaortocaval groove for the interaortocaval packet."
278.277,323.758,"The surgeon performs sharp dissection between the aorta and the inferior vena cava (IVC) using monopolar scissors. As the dissection progresses cranially, the right renal artery is identified. The IVC is lifted upwards, revealing small and large lumbar veins on its posterior aspect, which are sealed with bipolar cautery or clipped with hemolog clips. Upon reaching the right renal artery, marking the cranial extent of the interaortic cable packet, the lymphatic packet is clipped and divided, ensuring adequate hemostasis throughout the procedure."
324.258,353.73,"Following the completion of the retroperitoneal lymph node dissection, the robotic system is repositioned to focus on the dissection of the spermatic cord remnant on the right side. The absence of a marking suture is noted due to the patient's prior simple scrotal orchidectomy. The dissection continues to the deep inguinal ring, where the spermatic cord is clipped and divided."
354.23,372.68,"The surgical field is inspected to ensure there is no active bleeding, confirming hemostasis. The final view shows the completed bilateral retroperitoneal lymph node dissection."
373.18,388.543,The surgeon removes FDG-AVID soft tissue from inside the right scrotal sac using a high inguinal incision. The previous scar on the anterior wall of the right scrotum is also excised.
