start,end,text
0.271,9.019,"In this video, we demonstrate the laparoscopic ileocolic resection and intracorporeal anastomosis with reduced port technique."
0.271,9.019,"In this video, we demonstrate the laparoscopic ileocolic resection and intracorporeal anastomosis with reduced port technique."
9.519,22.676,This forty-year-old gentleman with a three-year history of Crohn's disease was admitted multiple times to the hospital during a three-month period for enteroenteric fistulizing disease.
9.519,22.676,This forty-year-old gentleman with a three-year history of Crohn's disease was admitted multiple times to the hospital during a three-month period for enteroenteric fistulizing disease.
23.176,33.144,He was found to have ileocolic Crohn's disease causing obstructive symptoms and intra-abdominal abscess that was subsequently treated with antibiotics.
23.176,33.144,He was found to have ileocolic Crohn's disease causing obstructive symptoms and intra-abdominal abscess that was subsequently treated with antibiotics.
33.644,45.305,"Due to the poor response to medical treatment and continuation of the symptoms, risks and benefits of surgical approach discussed and patient agreed to proceed."
33.644,45.305,"Due to the poor response to medical treatment and continuation of the symptoms, risks and benefits of surgical approach discussed and patient agreed to proceed."
45.805,60.372,"A supraumbilical 12mm camera port is inserted, followed by the placement of three 5mm ports: two in the left lower and upper quadrants and one in the suprapubic location."
45.805,60.372,"A supraumbilical 12mm camera port is inserted, followed by the placement of three 5mm ports: two in the left lower and upper quadrants and one in the suprapubic location."
60.872,65.994,"Following the establishment of pneumoperitoneum, the surgeon performs laparoscopic exploration of the abdominal cavity using the camera and ports previously placed."
60.872,65.994,"Following the establishment of pneumoperitoneum, the surgeon performs laparoscopic exploration of the abdominal cavity using the camera and ports previously placed."
66.294,73.615,"The surgeon examines the proximal small bowel, running it from the diseased area to the ligament of Treitz to visually assess for any additional signs of disease."
66.294,73.615,"The surgeon examines the proximal small bowel, tracing it from the diseased area to the ligament of Treitz to assess for any additional pathological changes."
74.115,81.259,"The surgeon identifies the ileocolic portion of the bowel, which appears phlegmonous and is fistulizing to the mesentery and adjacent small bowel."
74.115,81.259,"The surgeon identifies the ileocolic portion of the bowel, which appears phlegmonous and is fistulizing to the mesentery and small bowel."
81.759,98.88,"The surgeon uses a vessel sealing device to take down a complex fistula, followed by mobilization of the ileocolic bowel segment."
81.759,98.88,"The surgeon uses a vessel sealing device to take down the complex fistula, followed by mobilization of the ileocolic bowel segment."
99.38,107.032,"The surgeon transects the terminal ileum proximal to the diseased area using a laparoscopic 60mm stapler, visibly separating the bowel segment."
99.38,107.032,"The surgeon transects the terminal ileum proximal to the diseased area using a laparoscopic 60mm stapler, visibly separating the bowel segment."
107.532,115.768,"The surgeon prepares and transects the ascending colon distal to the diseased segment using a laparoscopic sixty millimeter stapler, completing the resection of the affected bowel segment."
107.532,115.768,"The surgeon prepares and transects the ascending colon distal to the diseased segment using a laparoscopic sixty millimeter stapler, completing the resection of the affected bowel segment."
116.268,136.436,The terminal ileum is positioned next to the colonic segment in an isoperistaltic orientation. A stay suture is applied to the right lateral aspect of the bowel and secured with a Carter-Thomson instrument to the right upper portion of the abdomen.
116.268,136.436,The terminal ileum is positioned adjacent to the colonic segment in an isoperistaltic orientation. A stay suture is applied to the right lateral aspect of the bowel and secured with a Carter-Thomson instrument to the right upper portion of the abdomen.
136.936,146.46,"The surgeon stabilizes the bowel segment using a stapling device, ensuring secure alignment and positioning during the stapling process."
136.936,146.46,"The surgeon stabilizes the bowel segment using a Carter-Thomson instrument, preparing it for stapling."
146.96,178.618,"The surgeon performs enterotomy and collotomy using hot scissors, followed by a side-to-side isoperistaltic ileocolic anastomosis, joining the ileum and colon segments."
146.96,178.618,"The surgeon performs an enterotomy and collotomy using hot scissors, followed by a side-to-side isoperistaltic ileocolic anastomosis, visually aligning the ileum and colon segments."
179.118,202.654,"The surgeon closes the stapler insertion site using intracorporeal suturing, securing the area where the stapler was previously used."
179.118,202.654,"The surgeon closes the stapler insertion site using intracorporeal suturing, securing the tissue with precise needle placement and suture tying within the abdominal cavity."
203.154,215.519,The surgeon confirms hemostasis before inserting a large retrieval bag through a three-centimeter suprapubic incision. The specimen is then exteriorized from the abdominal cavity.
203.154,215.519,The surgeon confirms hemostasis before inserting a large retrieval bag through a three-centimeter incision in the suprapubic region. The specimen is then exteriorized from the surgical field.
216.019,223.962,Patient had an uneventful recovery with good postoperative pain control and discharged home on postoperative day four.
216.019,223.962,Patient had an uneventful recovery with good postoperative pain control and discharged home on postoperative day four.
224.242,230.684,The final pathology showed chronic active enteritis with features of severe fistulizing Crohn's disease.
224.242,230.684,The final pathology showed chronic active enteritis with features of severe fistulizing Crohn's disease.
231.125,231.885,"In conclusion,"
231.125,231.885,"In conclusion,"
232.355,240.745,"The surgeon performs a laparoscopic intracorporeal anastomosis using a reduced port technique with a Carter-Thompson instrument, facilitating the connection of intestinal segments within the abdominal cavity."
232.355,240.745,"The surgeon performs a laparoscopic intracorporeal anastomosis using a Carter-Thompson instrument, employing a reduced port technique."
