start,end,text
8.441,19.692,"The video begins with the repair of an immediate colorectal leak using transanal laparoscopy, following its discovery during an abdominal test after a laparoscopic colorectal anastomosis."
20.192,31.302,The surgeon introduces the transanal reusable D-port into the anus and applies a silicon cap with three orifices to facilitate the procedure.
31.802,43.192,"A 10mm, 30-degree rigid scope is inserted through the transanal D-port, providing a view of the surgical field. A monocurved grasping forceps is introduced through the orifice at the nine o'clock position for tissue manipulation."
43.692,61.941,"The surgeon inserts a monocurved needle holder into the orifice at the three o'clock position, following the introduction of the suture."
62.441,91.391,"The surgeon places a suture on the staple line at the level of the defect, initiating the repair process by taking multiple bites along the tissue."
91.891,114.868,"The surgeon completes the first repair by tying an intraluminal knot, using monocurve scissors to cut the suture within the rectal lumen."
115.368,152.956,"The surgeon begins another suture within the rectal lumen, demonstrating collision-free interluminal work using the transanal D-port setup."
153.456,165.385,"The surgeon ergonomically ties an interluminal knot, completing the procedure."
165.885,179.256,"The video shows a transanal laparoscopic repair of a late colorectal fistula, with the surgical instruments maneuvering through the anal canal to access the fistula site."
179.756,186.735,"The surgeon introduces a transanal reusable D-port into the anus, exposing the colorectal fistula for repair."
187.235,205.224,"The surgeon introduces a monocurve grasping forceps and a monocurve needle holder through the port orifice at the nine and three o'clock positions, respectively. The first suture is placed on the inferior edge of the defect and passed inside the defect."
205.724,229.817,"The surgeon passes the suture through the superior edge of the defect and performs a figure-of-eight suture by passing the same suture a second time, securing the tissue edges."
230.317,261.612,"The surgeon uses scissors inserted through the orifice at the three o'clock position to cut off the needle, followed by performing an interluminal knot tying."
262.112,288.687,"The surgeon performs another figure of eight suture using a similar method as previously shown, completing the suture with a final intracorporeal knot within the exposed colorectal fistula."
289.187,294.75,"The final view of the repaired colorectal area is shown, with a clear lumen and no signs of stenosis."
