start,end,text
0.231,10.658,"We present a case of laparoscopic total gastrectomy, omentectomy, splenectomy, or gastric adenocarcinoma."
11.158,21.94,"A seventy-six year old male presents with past medical history of pernicious anemia, hypertension, transient ischemic attack, hypothyroidism, dyslipidemia, pulmonary embolism, and prostate cancer."
22.44,33.069,"His past surgical history included open suprapubic subtotal prostatectomy done eight years ago and a bilateral inguinal hernia repair, both done at an outside hospital."
33.569,42.056,"He underwent screening upper gastrointestinal endoscopy for anemia at our institution, which showed a small size lesion in the fundus of stomach."
42.556,47.019,Biopsies obtained from the lesion came diagnostic for gastric adenocarcinoma.
47.519,50.827,"Preoperatively, placement of IVC filter was done."
51.327,55.931,"The video shows a small-sized mass located in the fundus of the stomach, visually confirmed through imaging."
56.431,65.779,"The surgeon performs diagnostic laparoscopy, visually inspecting the liver, peritoneum, and surrounding areas for signs of hepatic, peritoneal, or distant metastasis."
66.279,76.72,"The surgeon begins the dissection of the greater omentum from the transverse colon on the left side, progressing to complete the dissection on the right side."
77.22,89.886,"The surgeon performs dissection along the gastroepiploic blood vessels and station IV lymph nodes, carefully separating these structures from surrounding tissue."
90.386,104.017,"The surgeon dissects along the retroduodenal space, performing skeletonization of station V and station VI lymph nodes located in the suprapyloric and intrapyloric areas."
104.517,121.008,The surgeon performs a duodenal transection distal to the pylorus and oversews the duodenal stump using two 00 absorbable sutures.
121.508,130.72,The surgeon performs dissection along the pars flaccida and station III lymph nodes located along the lesser curvature of the stomach.
131.22,144.27,"The surgeon identifies and dissects the left gastric vessels away from the station seven lymph nodes, ensuring clear separation of these structures."
144.77,152.817,"The surgeon clips and divides the gastroepiploic blood vessels, completing the dissection around the station IV lymph nodes."
153.317,161.655,"The surgeon continues dissection into the retrogastric space, performing skeletonization of station eleven lymph nodes, carefully separating them from surrounding tissue."
162.155,171.739,"The surgeon performs dissection along the right and left crura, skeletonizing station one and station two lymph nodes, with visible separation of these structures from surrounding tissue."
172.239,191.8,"The surgeon dissects the phrenoesophageal fat pad and mobilizes the esophagus into the abdominal cavity, followed by the transection of the esophagus."
192.3,209.928,"The surgeon continues dissection along the greater curvature of the stomach, moving towards the spleen. The posterior and lateral attachments of the spleen are carefully dissected."
210.428,213.509,"The surgeon identifies the splenic hilum, visually distinguishing it from surrounding anatomical structures."
214.009,226.995,The surgeon completes the splenectomy and retrieves the excised spleen and associated specimens from the surgical field.
227.495,233.176,"The surgeon prepares to perform a Roux-en-Y operation, creating an esophago-jejunostomy by connecting the esophagus to the jejunum."
233.676,250.279,"The surgeon creates a side-to-side jejuno-jejunostomy between the biliopancreatic limb and the common channel, using surgical instruments to align and connect the two sections of the jejunum."
250.779,257.734,"The surgeon advances the Roux limb into the left upper quadrant, positioning it for the esophago-jejunostomy."
258.234,264.942,"The surgeon completes the esophago-jejunostomy using a 25 mm circular stapler, joining the esophagus to the jejunum with precise stapling technique."
265.442,294.945,The surgeon transects the candy cane segment and places anchoring sutures on the left and right crura to ensure a tension-free anastomosis.
295.445,301.11,"The surgeon performs a leak test to assess the patency of the esophagojejunostomy anastomosis, visually inspecting for any signs of leakage."
301.61,307.835,The operative time for this procedure was two ninety six minutes and the estimated blood loss was around twenty five ml.
308.335,317.057,"The specimens collected were total gastrectomy, omentectomy and splenectomy and there were no intraoperative complications."
317.557,330.702,The surgical pathology of the specimens retrieved showed moderately differentiated adenocarcinoma with dysplasia in background of chronic atrophic gastritis with multifocal intestinal metaplasia.
331.202,336.084,Metastatic adenocarcinoma was seen in four of the twenty-eight lymph nodes retrieved.
336.584,339.43,"The surgeon examines the omentum, which shows no visible evidence of tumor presence."
339.93,348.075,Spleen was histologically undemarkable and the splenic artery showed focal arterial calcification at splenic hilum.
348.236,350.957,Two splenic hilar lymph nodes came negative for cancer.
351.358,359.383,"This was T-II, N-I, M-Zero cancer and stage II according to AJCC classification."
359.883,363.806,The patient was transitioned to a fluid diet by post-operative day II.
364.306,369.585,He received an upper GI series which came back normal on post-operative day III.
370.085,375.746,The drains were removed and the drain amylase came negative on the post-operative day five.
376.246,386.048,The patient was discharged home in a stable condition on a post-operative day six with adequate pain control and the bowel movements present.
386.548,395.209,He was started on a Folfox therapy for twelve cycles on post-operative week seven.
395.709,399.077,Here's an image showing the normal upper GI series.
399.577,401.597,on the post-operative day three.
402.097,402.419,Thank you.
