start,end,text
4.827,16.11,Good afternoon. Thank you to SAGEs and the opportunity to present our case. We have no disclosures to make.
16.61,40.224,"This is the case of a twenty-three-year-old woman who presented with a history of constipation for five years. Her symptoms were progressive and increasingly refractory to dietary changes, linacletide therapy, and laxative use. She reported at that time three bowel movements per week and substantial abdominal distension that limited her quality of life. Her past medical history was significant for hypothyroidism and vitiligo."
40.724,58.388,"Physical exam and laboratory studies were unremarkable. Transenteric motility study demonstrated normal gastric and small bowel motility and moderately delayed colonic transit. Anal rectal manometry and MR defecography showed no pelvic floor dyssynergia, and colonoscopy was normal."
58.888,71.464,"Given the chronicity of the patient's symptoms and their recalcitrance to medical therapy, She was scheduled for single incision laparoscopic subtotal colectomy. A mechanical bowel prep was given preoperatively."
71.964,87.956,"The surgeon makes a three-centimeter transverse incision above the pubic symphysis, followed by a standard fan and steel incision. The rectus muscle is separated at the midline along the linea alba. A wound protector and gel point access system are placed in the incision."
88.456,104.142,"The surgeon scores the peritoneum over the iliocolic mesentery and creates a window in the mesentery. The iliocolic pedicle is isolated and divided using an energy device, with careful identification of the right ureter visible in the surgical field."
104.642,124.655,"The surgeon continues the medial to lateral mobilization of the ascending colon, carefully identifying and avoiding the duodenum as they approach the hepatic flexure. The duodenum is protected, and the right colon is freed, allowing for the commencement of hepatic flexure mobilization using a combination of blunt dissection and energy devices."
125.155,139.6,"The surgeon divides the lateral attachments along the white line from the cecum to the hepatic flexure, extending beyond the flexure to the transverse colon. The completeness of the medial dissection facilitates this step."
140.1,159.839,"The surgeon observes the medialized right colon alongside the pancreas and duodenum. The transverse colon is taken down by dividing the greater omentum and transverse colon mesentery together, a process facilitated by the lack of inflammation in the thin patient. This dissection continues until reaching the splenic flexure."
160.199,178.035,"The surgeon accesses the surgical area through the port at the fan and steel incision, facilitated by the patient's body habitus. The ease of access is visually apparent, with no need for additional trocars."
178.535,202.903,"The surgeon mobilizes the sigmoid colon in a lateral to medial direction, following the line of Toldt to mobilize the descending colon. The mesentery is divided using an energy device, starting proximally and then moving distally to the point where the taenia coli converge on the sigmoid colon."
203.403,232.414,"The surgeon focuses on the right lower quadrant, visualizing the ureter and terminal ileum. The remaining attachments between the colon and abdominal wall are divided. The terminal ileum and cecum are delivered into the wound, and the terminal ileum is divided with a stay suture placed."
232.914,248.861,"The surgeon exteriorizes the entire colon until reaching the mesocolon. Stay sutures are placed through the tinea coli, and the blood supply to the remaining upper rectum is verified using ICG fluorescence, which highlights the vascularization."
249.361,262.711,"The surgeon places a GIA stapler across the demarcation point and fires it, creating a transection. Subsequently, a hand-sewn side-to-end two-layered anastomosis is constructed between the terminal ileum and the upper rectum using Vicryl and silk sutures."
263.211,293.351,"The surgeon gently places the anastomosis into the abdomen, performing a final inspection to ensure hemostasis and rule out mesenteric twisting. A leak test is conducted to verify the integrity of the anastomosis."
293.851,311.695,and her quality of life had greatly improved as she reported increased exercise tolerance and a noticeable improvement in the anxiety pertaining to her bowel habits. Final pathology returned as total abdominal colectomy with scattered T cells within the myenteric plexus consistent with myenteric lymphocytic plexitis.
312.195,329.366,Colonic inertia is defined as the inability to modify stool to acceptable consistency and to move stool from cecum to recto sigmoid at least once every three days. The majority of patients with this condition are female and under forty years of age.
329.866,365.687,"Surgery is indicated for patients with persistent symptoms despite management with medicines, biofeedback, and dietary modification. For patients with chronic constipation, delayed transit, and intact pelvic floor function, subtotal colectomy with iliorectal anastomosis is the operation that's associated with superior results. The majority of patients undergoing this procedure for this diagnosis have improved quality of life parameters that are sustained in the long term. And preservation of the rectum can help minimize the incidence of urgency and incontinence. And then bowel movement consistency gradually will improve with intestinal adaptation."
366.187,388.178,"The surgeon performs a single incision laparoscopic colectomy using a fan and steel incision, demonstrating the technique's feasibility. The patient's body habitus is of sufficient length to allow ergonomic mobilization of the flexures, ensuring the incision remains appropriately positioned relative to the operative field."
388.678,406.081,"Regular coordination of positioning with the anesthesiologist can assist with mobilization and dissection. Our case demonstrates that such an approach is safe, ergonomically feasible, and likely associated with a lower incidence of incisional hernia when compared to single incision laparoscopic collecting performed through the midline."
406.581,423.733,"Finally, and perhaps most important to the patient, the resulting scar is more cosmetically sound than that which results from a midline approach. We have since duplicated the approach in another patient with the same underlying diagnosis, and their well-healed incisions are seen here side by side. Thank you."
