start,end,text
94.042,101.433,Now we got this patient in Balad when I was there in 2004.
108.104,116.657,"The Army was there for about two years before the Air Force showed up and discovered what a great place it was to be, especially when the war was going on pretty hot."
127.125,138.088,"And despite training and practicing at both level one and level two trauma centers throughout my career, we weren't able to get him through."
145.569,148.197,"And I got to tell you, it's something I still think about often."
182.686,186.616,"It's a pretty bad injury from an IED, really has no lower jaw there."
186.937,190.065,"It'll be reconstructed, but you know it'll never be the way it used to be."
193.433,194.957,It's hard to appreciate
196.388,202.54,"The fins of the RPG that struck this soldier, you kind of see them up there on the corner."
202.58,207.811,And here's the course of that RPG across his pelvis.
207.871,215.286,"As one of my other former residents, John Oh, treated this patient on an FST, basically."
221.144,227.831,"That explosive charge, of course, was to detonate the main charge that fell off as a destructive vehicle he was standing up in as the gunner."
228.612,230.974,And that penetrated his pelvis.
231.795,241.746,"Basically, Dr. Rowe turned to his FST because, you know, one of the mantras of military surgeons is you're not supposed to deactivate your operating room by getting blown up in it."
242.086,245.97,"And if you're the only surgeon there, you certainly don't want to get blown up in it, of course."
245.95,247.934,This patient was transported to the FST.
248.436,255.051,"John turned to his 19 FST members and said, I need two volunteers to help me take this out."
256.233,257.596,Raise your hand if you want to help me.
257.656,260.162,"Of course, 19 people raised their hands."
498.029,504.496,"So being military surgeons, having had lots of practice improvising in our home facilities, we improvised."
523.617,524.678,"And then on top of that,"
525.923,529.687,We put a couple of JP's that exit through the skin on top of that.
529.947,532.47,We put another sponge on top of that.
532.51,533.672,We put another eye band.
1100.753,1101.614,And there's his repair.
1132.51,1135.958,And there's a picture of a hole in his heart.
1138.638,1140.961,We had actually done a heart the month prior.
1141.021,1145.306,"My deputy commander, Dave Malave, was a cardiac surgeon, cardiothoracic surgeon."
1145.346,1148.409,He assisted me in fixing that hole at the apex of the heart.
1148.429,1150.532,"But for this kid, he wasn't on the compound."
1151.553,1154.156,And so I assisted another general surgeon in this repair.
1154.496,1158.781,"His pericardial sac was full of blood, and the hole had temporarily stopped bleeding."
1158.841,1164.848,"The photo, of course, doesn't really do justice to the beating heart as you're facing it in the operating room."
1165.317,1174.668,"So I told Tommy that the second that I touched the heart, or that he touched the heart with the needle, it was gonna start bleeding, and then I would put my finger on it to stop the bleeding."
1174.889,1179.534,I asked him not to stick me as he did the repair.
1181.837,1183.84,A lot of you guys know he's not that tall.
1184.54,1190.768,"Anyway, well, it did start bleeding the second he put the needle there."
1192.773,1195.115,And the good news is he didn't stick me.
1195.796,1199.52,"We also had done a temporary abdominal closure, unpacking of this guy's liver."
1200.861,1203.043,You can see one of our temp closure things.
2080.764,2086.552,"So here's a guy that comes in, basically has a pretty bad injury."
2086.592,2089.236,The medics wrapped him up pretty good.
2093.722,2099.61,"When we took his dressing off, that's what was there."
2100.251,2104.617,You can see the centimeter bridge of tissue that holds his
2105.575,2107.558,lower leg to his upper leg.
2107.879,2109.681,I'm not sure what the medics thought we were going to do here.
2109.701,2111.264,Maybe they were going to put it back on or something.
2111.284,2112.365,Not really certain about that.
2113.787,2118.415,"So, you know, one of my OR techs was in the EMT when we saw this guy, and I turned to him."
2118.435,2119.055,"I said, I saw him face."
2119.076,2120.117,Have you ever done an amputation?
2120.157,2120.798,"He goes, no, sir."
2120.818,2121.219,"I said, here."
2123.482,2124.704,There's a pair of scissors.
2125.746,2133.878,"And I was pretty certain this was in his zone of ability, if not in the OR tech zone of comfort."
2162.957,2165.08,"So we packaged him up, sent him away."
2248.525,2251.429,He kind of had his nose blown off.
2253.181,2258.069,"The outgoing commander, deputy commander, when we took over, Bilal was from the 21st Combat Support Hospital."
2258.089,2259.952,Bob Lyons was an old resident mate of mine.
2259.972,2260.914,He's a plastic surgeon.
2261.234,2263.017,You know those guys carry around these flat books.
2263.618,2264.52,And I saw his flat book.
2264.54,2266.523,"I said, leave your flat book."
2266.543,2267.004,I really want it.
2267.024,2267.384,And he did.
2267.585,2268.426,He was very gracious.
2268.446,2268.947,He left it.
2268.987,2272.793,The technique that we use is very straightforward to do this.
2272.773,2274.555,There's kind of a funny story associated with it.
2274.575,2280.443,The other general surgeon was actually an Air Force reservist that somehow wandered into our hospital one day during a mass.
2280.543,2281.785,Kyle and I didn't let him leave.
2282.726,2286.751,They were going to send him someplace near Baghdad to give out medicine and do sick call.
2287.072,2288.974,"And we were a little short at the time, so we kept him."
2289.535,2291.197,So his wife is a plastic surgeon.
2291.718,2294.281,"And so he wrote her an email and said, hey, we got this guy."
2294.301,2296.384,This is what we're going to do.
2296.404,2297.886,And her answer was quite memorable.
2297.926,2299.388,"She goes, yes."
2299.368,2300.489,That's the right operation.
2300.629,2304.314,It's the only chance that he has at a reasonable cosmetic result.
2304.534,2307.717,"Don't, I'll say, mess it up, is what she said."
2307.777,2308.718,But that's not what she said.
2309.299,2314.164,"And so basically, we did it after a month."
2350.094,2351.877,"You know, for all kinds of things."
2760.997,2763.941,"That's usually right, ENT, plastics, or OMFS."
2763.961,2764.902,There weren't any of those guys.
2764.942,2768.487,"We did, however, have somebody that did understand plate and screw technology."
2768.607,2769.789,"That's an orthopod, you know."
2770.43,2772.853,And a couple of general surgeons that were willing to be involved with it.
2772.933,2780.764,"So we basically, after talking with an OMFS on the phone about this and learning about arch bars a little bit, we took him to the OR."
2781.149,2785.474,We got pretty good apposition of the bone.
2785.494,2787.636,He did have some bone loss from the original injury.
3006.751,3007.733,"So, last case."
3008.755,3010.158,This was at the end of our deployment now.
3010.599,3012.543,"This guy shows up, basically, a mortar hits."
3012.623,3013.385,It was on Balad.
3013.485,3014.607,Mortars hit Balad every day.
3014.647,3016.952,Anybody that was out there knows that happened.
3016.972,3018.575,The good news is there's a lot of empty space.
3018.595,3020.399,He wasn't by an empty space place.
3021.141,3026.211,"And so, here's a better image, kind of what's going on."
3092.79,3104.46,"And as I'm putting the central line, I'm thinking, wow, you thought it was you against the world before."
