start,end,text
0.031,3.134,"Today's topic is, what is laparoscopy?"
4.015,14.305,"Laparoscopy is a surgical procedure commonly used to visualize and examine the organs inside the abdomen, diagnose and treat a number of medical conditions."
15.506,22.593,"Laparoscopy is a minimally invasive procedure with fewer side effects, low risks, and shorter recovery time."
51.856,58.044,Laparoscopy allows the doctor to see inside the body progressively without an open medical procedure.
58.826,62.751,The doctor can additionally acquire biopsy tests amid this method.
141.262,146.83,"During this kind of surgery, provision is made for general anesthesia, which is given intravenously."
147.411,150.475,This means the patient is asleep during surgery.
168.858,172.564,The surgeon then inserts the laparoscope through the incision
179.219,194.592,"Other instruments may be inserted into the small incisions depending on the specific procedures the surgeon is performing, whether it is removing an organ, diagnosing a specific disease, taking a sample of tissue, biopsy, or repairing an organ."
195.373,198.015,"When the surgery is finished, the instruments are removed."
