start,end,text
119.978,129.447,"So as you can see here, a 15-millimeter trocar was placed in the left midclavicular line, as well as a five-millimeter trocar in the epigastrium."
130.668,132.59,A gravity uterus was observed.
137.194,147.083,A desalysis of the left flank was done first to allow the insertion of the five-millimeter trocar that was used by the assistant.
153.104,163.902,Attachments of the lower pole of the spleen were divided with the harmonic scalpel first.
163.922,173.037,The colexplenic ligament was divided as well with the harmonic scalpel using contraction of the lower pole of the spleen with a grasper.
181.994,192.313,The fern colic and the fern splenic ligaments were taken down as well the spleen was free from the ventral surface of the left kidney.
196.68,202.551,So then the spleen was mobilized and a 4x4 was introduced
206.328,212.216,was introduced to provide anterior retraction of the left lobe of the liver.
214.099,224.573,"So now the gastro splenic ligament was exposed, and the assistant provides lateral retraction of the spleen, and the chargastric vessels were taken down with the harmonic scalpel."
234.728,238.212,"So finally, the spleen was freed from its attachments."
239.854,243.238,And you can see here the gastroesplenic ligament was taken down.
246.782,248.625,So then the splenic artery was identified.
250.968,258.857,And the dissection started with the hormonal scalpel and went down proximal using the hook artery.
260.339,261.36,You will see next.
262.758,267.827,So the hook artery was used to isolate the splenic artery from the tail of the pancreas.
274.899,281.01,"As the spleen was isolated, we realized that the splenic artery arteries was exactly there."
285.978,288.242,And it's shown in the video.
294.938,305.268,"So then a small accessory artery, splenic artery, was identified, and it was clipped and divided with scissors."
312.634,321.823,"Next, a window was created using the harmonic scalpel to allow the insertion of 45 NdGiA wide-low stapler with teamwork."
337.227,340.09,"As you can see, the iron is above the slipper."
340.931,346.477,So then the spleen was lifted with two graspers and the spleen vein was exposed.
347.438,352.844,"And in the endo-EI60, while the slipper was used to divide the spleen vein."
356.407,366.458,"So then an endocatchback was introduced to the 15-millimeter trocar, morselated and extracted through it."
