start,end,text
148.674,152.036,"Show it up here, Carlinhos, the handle there."
148.674,152.036,"Show it up here, Carlinhos, the handle there."
152.056,165.602,Come on.
152.056,165.602,Come on.
165.642,173.907,"Look there, the sword here."
165.642,173.907,"Look there, the sword here."
174.187,177.045,It was going up here when I saw it in the front. I think it's up there.
174.187,177.045,It was going up here when I saw it in the front. I think it's up there.
177.545,179.727,"There's a little block there, right?"
177.545,183.429,"There's a little block there, right? Let's see."
179.747,183.429,Let's see.
183.769,185.491,It's a long one.
183.769,194.157,"It's a long one. It's going up. It has a crack here. But we can't see it. It's going to be normal, man. We'll see it normally. And he's making a fold right here."
185.751,188.873,It's going up. It has a crack here.
188.893,192.696,"But we can't see it. It's going to be normal, man. We'll see it normally."
192.776,195.578,And he's making a fold right here. It's hard. It's really hard.
194.197,195.578,It's hard. It's really hard.
195.658,204.863,It's appendicitis. Are you talking?
195.658,204.863,It's appendicitis. Are you talking?
205.363,212.971,Just like the one I saw on the TC. From the Rookie.
205.363,212.971,Just like the one I saw on the TC. From the Rookie.
213.471,216.614,"The surgeon identifies a fecalith located near the base of the appendix, visible as a hardened mass within the appendiceal lumen."
213.471,221.798,"He has a fecalite lower. It's almost at the base of his fecalite. But the tip is already... After you see the TC, it's good to see, man. It's nice to see the TC. That's it."
216.634,221.798,"But the tip is already... After you see the TC, it's good to see, man. It's nice to see the TC. That's it."
