start,end,text
129.424,132.768,You can see a posterior lateral location of the suture needle that's there.
133.269,138.255,I also would note that you can see one of the bypasses pretty clearly when there's a rotation right here.
159.786,161.228,You can see the left arm is extended.
161.689,162.711,The full chest is prepped.
162.731,164.233,He has a roll in place.
165.395,166.477,Both groins are accessible.
182.037,186.063,"Upon entry into the chest, we encountered dense adhesions, not unexpected."
186.083,189.99,"We knew that they were in the chest, that we would need to do some work in order to get where we were going."
190.39,192.915,This is just kind of a first pan on entry into there.
192.955,197.602,"We are on one lung ventilation at that point too, so there's very limited working space at that time."
199.024,203.091,The adhesions were taken down using a combination of blunt dissection and electrocautery.
203.392,209.582,"in order to free up enough space in the chest in order to have some working room, very difficult at this time, but able to be done."
218.336,223.764,"Once we've freed up enough space in the chest, we put in the rest of our ports essentially under direct visualization."
223.784,229.213,This is going to be important because working in the posterior pericardium is where we'll need to find this needle to get enough space.
230.122,232.769,So this is the camera angle from that port we just put in.
232.929,240.368,We're clearing up the adhesions from the lung to clear up as much space as possible for the pericardium so we can find the needle.
242.778,262.305,There's still very limited amount of working space so in order to maximize this we undertook the next image here which is we put in a diaphragm retention suture and brought that out through another small incision so that we could get enough working space in the lower part of the thorax.
270.048,276.781,"And using one of our inferior ports here, we actually put in a ring force up and you could actually palpate the needle through the pericardium there."
276.801,280.248,"It's not easily seen on this, but using the instrument you could actually feel where it was."
289.646,292.191,Then a generous pericardotomy was made.
292.475,298.508,"It was, care was taken to make sure that we stayed posterior as the course of the phrenic nerve is there."
298.568,301.394,You want to make sure that you're either very clearly anterior or posterior to that.
302.296,305.944,There was a very small trace amount of pericardial fluid.
310.379,314.068,"And once you look inside, in just a second, it'll be very clearly visible."
314.088,314.709,There's our needle.
315.671,317.957,"Not a lot of adhesions around it, free."
318.879,322.768,And it's very easily removed with a five millimeter grasper in just a moment.
340.754,346.2,"After leaving the pericardium open, a single chest tube was placed into the thorax."
346.741,351.366,"Our incisions were all closed, and that's the needle."
355.792,358.995,We used three 1-centimeter incisions and one 3-millimeter incision.
359.015,360.958,That's where our diaphragm retraction suture came out.
361.078,362.88,Chest tube is through one of the working ports.
