start,end,text
2.298,37.445,"The video displays an anatomical diagram of the extrahepatic biliary system, highlighting the gallbladder, cystic duct, and common bile duct."
37.945,49.447,The port position that I use is what I call as reverse Aries position as per the constellation of the stars. And this is where we start.
49.947,82.023,"The surgeon begins dissection at the peritoneum near the neck of the gallbladder, aiming to define Calot's triangle. The goal is to identify the junction of the cystic duct and the neck of the gallbladder, along with other structures within Calot's triangle."
82.523,113.149,"The surgeon identifies the node of Loon and the cystic artery, continuing dissection along the anterior and posterior peritoneal folds. Fibro-fatty tissue is cleared around the cystic artery within the Calot's triangle."
113.649,147.654,"The surgeon proceeds with the dissection and incision of the posterior peritoneum, utilizing all possible planes to facilitate easier dissection in later stages of the surgery."
148.154,176.315,"The surgeon clears additional fibro-fatty tissue at Calot's triangle, encountering a few small vessels and achieving hemostasis. The cystic duct is observed to be positioned more anteriorly than typical."
176.815,205.368,"The surgeon performs additional clearance posteriorly, defining the cystic artery and the lymph node of Luschka. The dissection ensures a clear tunnel is formed, with careful clearance around these structures to prevent injury."
205.868,235.27,The assistant uses laparoscopic instruments to apply clips to the cystic artery and cystic duct. The surgeon then divides these structures and proceeds to separate the gallbladder from the liver bed.
235.77,287.232,now again this is a plane where I do not anticipate or I do not expect rather any major blood vessels however if one does encounter it can spoil the plane of surgery and the field of vision not to mention that it interferes with the delivery of the energy sources So my trick here remains to remain a little close to the gallbladder and I keep on adjusting my instruments and my vision to make sure that the plane that I wish to dissect in remains very fairly nicely visible.
287.732,321.111,"The surgeon navigates through minimal adhesions in the surgical field, smoothly dissecting the areolar tissue plane without injuring the gallbladder."
321.571,333.454,"It usually happens either in the end or in the start and at this stage I'll be extra careful to make sure it doesn't happen. So that's the conclusion of the surgery. Very neat and clean plane, no bile spill, no blood spill. Fairly simple and straightforward surgery and we finished in about thirty odd minutes. Thank you for watching."
