start,end,text
37.915,42.239,performing posterior approach three-port vats lobectomy.
42.7,46.303,So here's the wedge resection using a radial reload by Covidian.
46.964,49.986,It makes a lovely curve around sections.
50.647,53.89,"And that was the middle lobe, the cameras at the back of the patient."
54.491,57.233,And that was the quite large wedge resection.
58.495,60.537,And that came back positive for cancer.
61.057,66.302,"So using sort of standard endoscopic instruments and large staplers,"
66.282,68.945,That's the Gavidian Tristapular.
69.725,75.331,We're now taking the middle lobe arteries through a posterior approach.
76.311,85.16,"It's a fissure-based approach, posterior-based, so you open up the PA, take the arteries, and then the bronchus, and then the vein."
85.18,92.847,"This is the second middle lobe artery, again taken with a TAN45."
94.514,96.918,"And as I say, this operation was in 2014."
98.181,105.033,"We keep all our videos in a storage system, which I felt in this particular operation was particularly useful."
105.474,110.042,"That was the vein just going, and then this is completing the horizontal fissure."
110.157,114.607,So the camera is just behind the scapula and there's two lower incisions.
124.47,128.74,"So we used the anterior approach, microlobectomy."
128.72,134.208,So the first incision is a port which is 5mm inserted with CO2.
135.23,141.198,"And even though we knew there'd be lots of adhesions, the CO2 pushes the adhesions away, allowing you into the chest."
141.218,145.725,"So we've now got three 5mm ports in, and now we've got diathermy using only 5mm instruments."
145.945,149.47,"There's a 5mm diathermy, 5mm grasper, this is a Johans."
149.911,153.276,Now separating the upper and lower lobes from each other.
153.256,155.279,"We're now at the front, of course."
155.379,161.909,"The camera is in the standard three-port lobectomy approach, disconnecting adhesions."
161.929,165.495,"Of course, we expected adhesions, and adhesions is what we got."
165.515,170.843,They were always slightly worse where the previous incisions had been.
171.644,175.81,"But luckily, the previous incisions, having been posterior approach, were on the other side of the chest."
176.732,178.875,"So therefore, we got in the chest nice and safely."
180.982,183.565,Adhesions like this are easily takedownable.
183.585,185.187,It just takes time really.
185.207,194.039,"So now I've come to the front a little bit and just separating the two lobes a little, separating the upper and lower lobe a little bit more."
194.519,198.985,"Now this is at the front just over the pericardium, the SVC just behind this."
200.387,201.488,And really you can always...
201.772,202.894,get rid of adhesions.
202.914,209.826,"The most difficult adhesions are near the hilum, of course, and especially where the middle lobe vein has been taken."
209.886,212.09,That can be troublesome.
212.21,218.32,"Now we're at the back, just near the spine and oesophagus, getting rid of the posterior adhesions."
218.821,221.846,"As you can see by microlabectomy, we've got a sub-siphoid port in."
222.748,223.77,You get excellent vision.
223.79,225.573,It looks just like a normal anti-approach.
225.613,226.935,That's labectomy.
226.915,228.977,We've cleaned up the back as much as we could.
229.298,235.786,This is a 5mm lung grasper which you can then use to retract lung through the sub-xiphoid port.
235.806,243.955,"And even though in my mind I was going to do a fissure last, that's lobectomy because of the middle lobectomy, fissure actually wasn't too bad."
244.015,246.338,So that was me just taking the posterior oblique fissure.
246.799,252.045,Now this is me making a tunnel through to complete the anterior oblique fissure.
252.025,267.739,obviously through where the middle lobe's been taken but actually it looked better and obviously I was a little concerned that I might have difficulty around the higher upper lobe structure so I thought this was the safest thing to do complete the middle lobe just in this patient
267.719,272.025,"My plan was to do Fischer last, but I thought this was safer because the Fischer wasn't too bad really."
272.506,273.507,"Right, now coming to the front."
274.369,281.018,"Where the middle lobe vein was previously stapled, I thought, and I was right, that the adhesions would be quite bad here."
281.178,285.484,"And, you know, near SVC, near upper lobe vein."
285.504,292.174,So that's just a few adhesions that I decided to staple in case the stump of the middle lobe vein was there.
292.154,294.178,Now I've got the right upper lobe vein out.
294.659,298.388,You can maybe see the zygus and SVC in the distance there on phrenic.
298.408,304.361,"Now stapling this through the sub-siphoid port with a tan dry stapler, right upper lobe vein's gone."
304.842,311.496,Now we can see the truncal branch of the artery around the truncal branch.
313.771,316.373,And that was the truncal branch done quite nicely.
316.814,320.758,The adhesions weren't too bad from here on because we hadn't been here before.
321.238,324.461,And now here's the right upper lobe bronchus.
324.481,328.425,Just dissecting out some of the tissue and lymph nodes in front of it.
329.306,330.747,"As you can see, quite a good view."
332.148,333.63,"Obviously, we've not been here before."
334.591,336.292,And I'm getting it out really nicely.
337.313,343.339,"And my plan, and this is what I did, was to get down the right upper lobe bronchus, sub-xiphoid"
343.454,353.289,"advancement of the stapler, but also to do an inflation test, just to be absolutely sure that I didn't get the lower-wave bonkers."
353.95,366.93,"So, using a 5mm Maryland dissector, we get through, and we'd already cleaned up the back, and then we can advance with a stapler through the bonkers, this is through the sub-siphoid port,"
367.113,371.458,and we get round the back nicely and then we do an inflation test.
