start,end,text
1.12,32.551,"I'm sharing a case of a robotic cholecystectomy in a patient who's had a recent attack as an outpatient diagnosed on a ultrasound and CAT scan with a large stone impacted at the neck. Surprisingly, he was relatively asymptomatic. He was treated with a course of antibiotics and then presented about six weeks later for this operation. He had zero symptoms between the attack where he got his imaging and coming in for his operation."
33.051,55.324,"The surgeon carefully dissects and removes inflammatory adhesions between the omentum and the gallbladder, elevating the gallbladder to access its neck for further dissection, where a large stone is impacted."
55.824,89.454,"The surgeon visualizes the bottom of the gallbladder, positioned above Ruby sulcus, and identifies the cystic duct before beginning the dissection."
89.954,129.021,"The surgeon carefully opens the peritoneum, navigating through thickened tissue to locate the artery medially. Electrocautery is used selectively on visible structures to ensure safety during dissection."
129.521,189.344,"The surgeon continues dissection, creating a window behind a structure suspected to be the artery, while carefully avoiding clipping until confirmed. The peritoneum is opened further down to access the bottom of the gallbladder, revealing the stone beginning to move upwards, allowing better elevation of the gallbladder."
189.844,228.092,"The surgeon continues to dissect around the cystic duct, aiming to open the Calot's triangle. The upward movement of the stone aids in visualizing the cystic duct, and the gallbladder wall is clearly visible."
228.592,269.1,"The surgeon identifies the cystic duct and continues dissection, creating a window behind it. Upon further exploration, the surgeon locates the artery, which is visibly large and positioned near the duct."
269.6,344.052,"The surgeon dissects fatty tissue from the medial aspect of the gallbladder to expose the artery, creating a window behind it. The gallbladder is lifted to achieve a critical view, and the surgeon works within the triangle to make a window behind the cystic duct while continuing to dissect the artery free."
344.552,395.982,"The surgeon creates a window behind the artery, confirming its identity as it does not enhance with ICG. Clips are applied to the artery, which is then transected despite minor bleeding that is controlled. With the artery out of the way, the surgeon focuses on dissecting the cystic duct, feeling confident about its location."
396.222,430.762,"The surgeon clears inflamed fibrous, lymphatic, and fatty tissue surrounding the gallbladder, attempting to create a window between the gallbladder and the liver bed despite the fibrotic tissue present."
431.262,505.749,"The surgeon carefully thins the tissue over the top of the cystic duct, slowing the dissection to cautiously cauterize a suspected vessel. Upon releasing tension, bile visibly egresses from the cut ends of the duct, confirming its identification."
506.249,580.809,"The surgeon observes bile leaking from a hole in the gallbladder, with purulent bile visibly coming out. The surgeon closes the holes on the gallbladder and cystic duct to prevent further bile leakage, which is interfering with the use of ICG."
581.309,681.501,"The surgeon examines the area around the stump, considering whether it is flush with the common bile duct or extends further into the fatty tissue on the right. The surgeon marks the area and closes it temporarily, while carefully avoiding dissection into potentially ductal structures. Due to ICG staining, the surgeon irrigates the area but cannot remove the stain, leading to cautious cauterization of clearly normal tissue. The surgeon, with a partner observing, peels tissue layers upwards, gaining confidence that the cystic duct has been transected and there is no additional duct posteriorly."
682.001,731.546,"The surgeon encounters bleeding while removing the gallbladder from the liver bed and uses bipolar cautery to control it. The area higher up is unstained by ICG, allowing the surgeon to confirm the absence of additional ductal structures."
732.046,802.866,"I have said about a thousand times already in this case how much I hate gallbladders and that was even before I got myself into trouble. Anytime I'm dissecting through something that was a little thicker than anticipated, I keep using ICG to confirm that I don't see any bile leaking. Now that I'm up there, I'm going back down to the bottom and taking a really good look at things. Again, I can't use ICG down here, but I'm just looking at everything else and make sure I don't see any leakage of bile higher up, signifying that I might have come across something."
803.366,890.669,"The surgeon performs a top-down dissection in a scarred area near the top of the surgical field. After extensive irrigation, the surgeon carefully inspects the area for over fifteen minutes, confirming no further bile leakage. The cystic duct is believed to have avulsed from the common bile duct, which is visible lower down. The surgeon applies pressure to the bile duct to check for leakage but observes none, achieving hemostasis and continuing irrigation."
891.169,983.051,"And then just going into a normal speed for the final look, see what you all think. Nothing leaking out of there. Another final look. I really looked at this for a long time after the case and edited out a lot of just staring at this. But I was happy with it. I elected to put a drain in and to keep the patient in the hospital overnight. I hope there's some learning value there for you guys. There definitely was for me."
