start,end,text
3.072,10.198,Postoperative perineal hernia is a rare and difficult to treat complication of abdominal perineal excision.
3.072,10.198,Postoperative perineal hernia is a rare and difficult to treat complication of abdominal perineal excision.
10.698,18.345,"There are few records in literature and its repair remains an open issue, since there isn't a shared standard technique."
10.698,18.345,"There are few records in literature and its repair remains an open issue, since there isn't a shared standard technique."
18.845,22.809,Surgical repair can be achieved using different approaches.
18.845,22.809,Surgical repair can be achieved using different approaches.
23.309,28.714,"Transabdominal, transperineal, or combined abdominal perineal repair."
23.309,28.714,"Transabdominal, transperineal, or combined abdominal perineal repair."
29.214,36.416,"The defect can be closed by primary suture, mesh placement, or by creating a flap with autologous tissue."
29.214,36.416,"The defect can be closed by primary suture, mesh placement, or by creating a flap with autologous tissue."
36.916,43.377,"The surgeon performs a laparoscopic repair of a postoperative perineal hernia, positioning a Proceed mesh within the defect to reinforce the area."
36.916,43.377,"The surgeon performs a laparoscopic repair of a postoperative perineal hernia, utilizing a Proceed mesh to reinforce the defect."
43.877,55.88,"A seventy-five-year-old woman that underwent abdominoperineal resection for a squamous cell carcinoma of the anus about thirty years before, presented with perineal bulging and discomfort."
43.877,55.88,"A seventy-five-year-old woman that underwent abdominoperineal resection for a squamous cell carcinoma of the anus about thirty years before, presented with perineal bulging and discomfort."
56.38,62.282,"The pelvic MRI reveals the uterus visibly protruding through the pelvic floor into the perineal area, indicating the anatomical displacement associated with the hernia."
56.38,62.282,"The pelvic MRI reveals the uterus visibly protruding through the pelvic floor into the perineal area, indicating the location and extent of the hernia."
62.782,67.583,"During laparoscopic exploration, the surgeon observes few intra-abdominal adhesions, indicating minimal scar tissue formation within the abdominal cavity."
62.782,67.583,"During laparoscopic exploration, the surgeon observes few intra-abdominal adhesions, indicating minimal scar tissue within the abdominal cavity."
68.083,78.806,"The surgeon places two 10 mm ports in the right paraumbilical region and right lower abdomen, along with a 5 mm trocar positioned at the left mammary line at the umbilical level."
68.083,78.806,"The surgeon places two 10 mm ports in the right paraumbilical area and right lower abdomen, along with a 5 mm trocar on the left mammary line at the umbilical level, preparing for laparoscopic access."
79.306,85.974,"The patient is positioned in Trendelenburg to facilitate the removal of the small bowel and omentum from the pelvis, aiding in the exposure of the surgical field for hernia repair."
79.306,85.974,"The patient is positioned in Trendelenburg to facilitate the removal of the small bowel and omentum from the pelvis, enhancing the surgical field visibility for hernia repair."
86.474,92.537,The surgeon creates a peritoneal flap and identifies the peritoneal hernia located between the levator ani muscles.
86.474,92.537,The surgeon creates a peritoneal flap and identifies the peritoneal hernia situated between the levator ani muscles.
93.037,99.021,"The surgeon performs a laparoscopic primary closure of the peritoneal hernia defect using an absorbable running suture, visible through the laparoscopic camera."
93.037,99.021,"The surgeon performs a laparoscopic primary closure of the hernia defect using an absorbable running suture, visible within the pelvic region."
99.521,107.405,"The surgeon inserts a pre-shaped Proceed mesh into the abdomen through a ten-millimeter trocar, positioning it above the previously closed suture line."
99.521,107.405,A previously shaped Proceed mesh is inserted into the abdomen through the ten-millimeter trocar and positioned above the suture line.
107.905,112.575,"The surgeon fixes the Proceed mesh laterally and posteriorly within the abdominal cavity using absorbable tacks, securing its position over the previously closed defect."
107.905,112.575,"The surgeon fixes the Proceed mesh laterally and posteriorly within the abdominal cavity using absorbable tacks, securing it in place over the previously closed defect."
113.075,118.76,"The surgeon fixes the mesh to the posterior face of the vagina using surgical glue, securing it in place anteriorly."
113.075,118.76,"The surgeon fixes the anterior portion of the mesh to the posterior face of the vagina using surgical glue, securing the mesh in place."
119.26,124.145,"The surgeon performs a running suture of the peritoneum using a barbed suture, completing the closure of the peritoneal flap created earlier."
119.26,124.145,"The surgeon performs a running suture of the peritoneum using a barbed suture, completing the closure of the peritoneal flap over the hernia site located between the levator ani muscles."
124.645,127.728,Total operative time was ninety minutes.
124.645,127.728,Total operative time was ninety minutes.
128.228,131.491,There were no intraoperative complications.
128.228,131.491,There were no intraoperative complications.
131.991,140.284,The patient started soft diet intake and ambulation on postoperative day two and was discharged on postoperative day four.
131.991,140.284,The patient started soft diet intake and ambulation on postoperative day two and was discharged on postoperative day four.
140.784,148.471,She complained perineal pain during the two weeks following the procedure that was successfully treated with mild pain medications.
140.784,148.471,She complained perineal pain during the two weeks following the procedure that was successfully treated with mild pain medications.
148.971,153.875,During the six months follow-up there was no recurrence of the perineal hernia.
148.971,153.875,During the six months follow-up there was no recurrence of the perineal hernia.
154.375,162.282,"We believe that this technique is feasible, safe and effective and could be a valid surgical option to repair post-operative perineal hernia."
154.375,162.282,"We believe that this technique is feasible, safe and effective and could be a valid surgical option to repair post-operative perineal hernia."
