start,end,text
6.7,18.69,"Hello friends, this is a case of laparoscopic myomectomy for large myoma. This patient has a large myoma in the lower posterior right wall of the uterus and it is an intramural myoma."
19.19,47.657,so now we will start the surgery and here we will do the entry through the palmer's point and according to baseball diamond concept the camera port should be epigastric one lumbar and one contralateral so this is the index finger you will put in the myoma and this is a thumb is epigastric that will be umbilicus one snuff box is one port and another snuff box is another port and the third port is seven point five centimeter lateral
48.157,58.137,The surgeon creates a small stab wound in the right hypochondriac region using an #11 blade.
58.637,85.896,"The surgeon introduces the Veress needle, angling it towards the stomach. After hearing three clicks indicating entry, a syringe is used to perform an irrigation test, followed by a suction test and a hanging drop test to confirm the needle is inside the abdomen. The abdominal wall is lifted, causing the hanging drop to be sucked down."
86.396,109.349,"The surgeon attaches the tubing to the insufflator, initiating insufflation. The surgical setup follows the baseball diamond concept, with the thumb at the umbilicus and snuff box positions marking port locations."
109.849,136.466,"The insufflator is set to a preset pressure of eighteen, with a flow rate of one liter per minute. The actual pressure is gradually increasing, currently at nineteen, with 1.8 liters of gas already insufflated into the abdominal cavity."
136.966,161.047,"The surgeon removes the varus needle and enlarges the incision to 11 mm. An optical trocar is inserted, pointed towards the stomach. The trocar is then removed, and a telescope is introduced into the cannula to begin the initial diagnostic laparoscopy before starting the myomectomy surgery."
161.547,202.303,"The video shows a large intramural myoma located on the posterior wall of the uterus, extending to the anterior wall, measuring 13 centimeters. The fallopian tube and ovary on the right side are visible, along with the intestines."
202.803,230.297,"The surgeon identifies the triangle of doom and triangle of pain, with visible anatomical structures including the right ureter showing peristalsis, the common iliac vessel, external iliac vessel, and sacral promontory. The small bowel is lifted to reveal the aorta, and the infundibulopelvic ligament is observed above the ureter."
230.797,251.271,The surgeon injects vasopressin diluted in normal saline for hydro dissection. A myoma screw holds the myoma in place as the posterior wall of the uterus is cut longitudinally.
251.771,288.324,"The surgeon uses a harmonic scalpel to extend a longitudinal incision approximately six to seven centimeters on the uterine wall. The muscle layers are spread laterally, and a myoma screw is used to secure the fibroid. Suction irrigation is employed to assist in enucleating the fibroid, facilitating blunt dissection of the surrounding tissue."
288.824,336.832,"The surgeon uses a 10 mm stone holding forceps to slowly separate the myoma from surrounding tissues, revealing a clear dissection plane. The myoma is gradually being extracted, reaching up to the falciform ligament on the right side. Muscle fibers obstructing the myoma's removal are divided using a harmonic scalpel to facilitate complete extraction."
337.332,357.536,"The surgeon uses a harmonic device to prevent damage to the ascending uterine artery while lifting the myoma with a stone holding forceps. The myoma is carefully maneuvered to avoid damaging the triangle of doom or cecum, and is successfully separated and removed."
358.036,375.71,"The surgeon begins suturing the posterior wall of the uterus, applying mixed mistra knots to the internal muscle layer to approximate the tissue and provide tension. Intracorporeal suturing technique is used to secure the muscle layers."
376.21,413.119,"The surgeon applies a baseball suture using an extracorporeal knot technique to approximate the posterior layer of the uterus. The needle is taken out, and a Mishra's knot is tied with one hitch, followed by a wind and lock sequence to secure the suture."
413.619,438.989,"The surgeon uses a Vandarkar knot pusher to tightly approximate the sutures, applying tension to the muscle layer. The assistant holds the large tail of the suture to facilitate lifting, while additional tension sutures are placed in the deep muscle layer."
