start,end,text
0.231,4.657,We present an unusual case of bladder mass and its laparoscopic management.
5.157,14.349,"A fifty-one-year-old female presented with history of irritative L U T S for last one year with no history of hematuria, tobacco use, and comorbidities."
14.849,17.137,The physical examination was normal.
17.637,33.705,CT abdomen showed a heterogeneous mass in right lateral and anterior wall with calcification and hypodense area in the mass measuring four into three centimeters in size without perivesical extension and regional lymphadenopathy with normal adnexa bilaterally.
34.205,38.667,"The surgeon performs a cystoscopy, inserting the cystoscope through the urethra to visualize the bladder interior, followed by a transurethral resection biopsy to obtain tissue samples from the bladder mass."
39.167,46.142,The video shows a large grayish-white mass with visible hair follicles and soft yellowish necrotic tissue emerging from the dome of the bladder.
46.642,64.779,"The surgeon observes the urinary bladder, noting that the rest of the bladder and the ureteric orifices appear normal, without any visible abnormalities."
65.279,77.227,"The histopathology showed keratinized stratified squamous epithelium, presence of hair follicles, adipocytes, mucous glands in the subepithelium, with no evidence of malignancy."
77.727,83.472,"Therefore, final diagnosis of benign primary urinary bladder dermoid cyst was made."
83.972,88.415,And patient was planned for laparoscopic transperitoneal partial cystectomy.
88.915,95.677,"The video displays the standard port configuration for laparoscopic surgery in the reverse Trendelenburg position, showing the arrangement of surgical instruments and access points on the patient's abdomen."
96.177,113.662,"The surgeon begins detaching the anterior bladder wall from the anterior abdominal wall using a harmonic scalpel, employing traction and counter traction to facilitate the separation."
114.162,120.172,"The surgeon observes the right ovary and fallopian tube adhered to the anterior bladder wall near the dermoid cyst, highlighting the anatomical relationship between these structures."
120.672,131.937,"The surgeon carefully dissects the right adnexa from the bladder using a harmonic scalpel initially, followed by an endogeovascular stapler, ensuring precise separation of the adhered structures."
132.437,151.702,"The surgeon uses a harmonic scalpel to further detach the bladder from its lateral attachments, employing traction and counter traction to facilitate the separation."
152.202,156.084,"The dermoid cystic mass is visible in the dome region of the bladder, showing its distinct appearance against the surrounding bladder tissue."
156.584,165.889,"The surgeon begins excising the tumor from the bladder, maintaining a one-centimeter margin of normal bladder mucosa around the tumor using a harmonic scalpel, while applying traction and counter traction."
166.389,169.571,"The surgeon exposes the dermoid cystic mass in the dome region of the bladder, revealing visible hairs protruding from the mass."
170.071,215.171,"The surgeon completes the excision of the tumor from the bladder, ensuring the removal of the entire mass."
215.671,222.039,"The surgeon closes the bladder wall using freehand intracorporeal suturing with three OV lock sutures, ensuring the bladder is securely sealed after excision."
222.539,280.037,"The surgeon begins the procedure at the distal aspect of the anterior bladder wall and progresses towards the proximal portion, focusing on the surgical area for cystectomy."
280.537,283.52,"The surgeon displays the bladder, which is now completely closed following intracorporeal suturing, with no visible openings or defects in the bladder wall."
284.02,290.246,The surgeon distends the bladder with 200 ml of normal saline to visually assess the integrity and watertight closure of the bladder wall.
290.746,303.331,"The surgeon observes the bladder under saline distention, confirming there is no visible leakage from the closed bladder wall."
303.831,311.593,"The surgeon retrieves the cystectomy specimen using an endo-catch bag, followed by the placement of a surgical drain in the operative field."
312.093,313.993,"The surgeon displays the retrieved specimen, which was previously removed and placed in an endo-catch bag."
314.493,320.315,"The surgeon displays the excised tumor, which appears well-defined with a grayish-brown color and tuft of hair, surrounded by normal bladder tissue."
320.815,323.496,"The cut surface of the specimen reveals a yellowish appearance, indicating the internal characteristics of the tissue."
323.996,328.459,The operating time was seventy minutes and estimated blood loss was forty ml.
328.959,332.361,"At two year follow up, patient is asymptomatic."
332.861,338.099,The cystoscopy done three monthly intervals upto two years showed no tumor recurrence.
338.599,342.243,CT abdomen at one year and two year follow up are normal.
342.743,354.253,"So, we can conclude that if a mass with peripheral calcification with hair growth is found on anterior wall or dome of bladder, a dermoid cyst should be considered as a differential diagnosis."
354.753,359.998,Primary dermoid cyst of urinary bladder can be managed by laparoscopic partial cystectomy.
