start,end,text
89.592,164.156,"The surgeon incises the posterior wall of the bladder, maintaining a distance of one centimeter from the tumor. Care is taken to preserve the integrity of the tumor and avoid injury to the bladder triangle."
89.592,164.156,"The surgeon incises the posterior wall of the bladder, maintaining a one-centimeter margin from the tumor, ensuring the integrity of the tumor and confirming no injury to the bladder triangle."
164.656,250.448,"The surgeon sutures the muscular and mucosal layers of the bladder, followed by running sutures to embed the muscular layer within the peritoneum."
164.656,250.448,"The surgeon sutures the muscular and mucosal layers of the bladder, followed by a running suture of the peritoneum to embed the muscular layer."
250.948,401.733,"The surgical system lifts the inferior mesenteric artery, while the peritoneum is incised from the mesangial root of the right sigmoid colon to expose the underlying space. The space is extended, revealing the hypogastric nerve, which is carefully exposed and protected. The posterior rectal space is separated during the procedure."
250.948,401.733,"The surgical system lifts the inferior mesenteric artery, and the peritoneum is incised from the mesangial root of the right sigmoid colon to expose the space. The space is then extended, revealing and protecting the hypogastric nerve while separating the posterior rectal space."
402.233,535.15,"The surgeon dissects and ligates the inferior mesenteric artery at its root, followed by the division and ligation of the inferior mesenteric vein. The physiological adhesion of the sigmoid colon to the laparoscopic abdominal wall is mobilized."
402.233,535.15,"The surgeon dissects and ligates the inferior mesenteric artery at its root, followed by the division and ligation of the inferior mesenteric vein. The physiological adhesion of the sigmoid colon to the lateral abdominal wall is then mobilized."
535.65,618.968,"The surgeon incises the mesorectum ten centimeters away from the distal end of the tumor. A stapler is inserted to excise the rectum, followed by an end-to-end anastomosis using a twenty-nine circular stapler."
535.65,618.968,"The surgeon incises the mesorectum ten centimeters from the distal end of the tumor. A stapler is inserted, and the rectum is excised. An end-to-end anastomosis is performed using a twenty-nine circular stapler."
